symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,4102.889989,0.0,0.0,0.0,-257.17,18.49825444861054,0.0,0.0,3864.218243448611
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,2866.2335,0.0,0.0,-25.53,-55.77,1.3151035701300031,0.0,0.0,2786.2486035701295
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1862.96796,0.0,0.0,-29.37,-28.41,5.448899437478235,0.0,0.0,1810.6368594374783
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,1761.851385,0.0,0.0,0.0,-175.24,6.144448049581567,0.0,0.0,1592.7558330495815
SDS,PROSHARES ULTRASHORT S&P500,0.0,1016.210018,0.0,0.0,-26.99,-64.94,11.26700175620877,0.0,0.0,935.5470197562087
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,887.360199,0.0,0.0,0.0,-66.56,8.61001741386975,0.0,0.0,829.4102164138698
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,407.086303,0.0,0.0,-15.54,-111.18,7.714741308057465,0.0,0.0,288.0810443080574
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TSYY,GRANITE YIELDBOOST TSLA ETF,0.49581973,19.932349,0.0,0.0,-15.28,-1.42,0.32514200590600173,0.0,0.0,4.053310735906002
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-19.814685,0.0,0.0,-141.41,-37.38,1.439109951259283,0.0,0.0,-37.2810600987407
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,37.467311,0.0,0.0,-26.13,-75.36,8.218034605827583,0.0,0.0,-55.80465439417242
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,9.784815,0.0,0.0,-164.31,-7.97,0.4040654810752778,0.0,0.0,-57.66725725892472
EWV,PROSHARES ULTSHRT MSCI JAPAN,-379.67922922,148.38318,0.0,0.0,-1.46,-12.75,3.1793328331068427,0.0,0.0,-242.32671638689317
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-1080.447632,0.0,0.0,0.0,-471.92,10.828414352181754,0.0,0.0,-1541.5392176478185
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-1806.015048,0.0,0.0,-90.65,-242.28,14.660552205947733,0.0,0.0,-2127.6904540940527
