symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,4391.897211,4391.897211,1
SVIX,SVIX,volatility_etp_bucket5,-3474.12,3474.12,1
