etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.03313,0.75
ASTN,ASTS,-2.012002,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.015688,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.990218,0.75
CBRZ,CBRS,-2.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.023728,0.75
CONI,COIN,-1.924623,0.75
CRCD,CRCL,-2.007554,0.75
CORD,CRWV,-2.0125,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.001993,0.75
SDOW,DIA,-2.999179,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.00351,0.75
BTCZ,IBIT,-1.995775,0.75
IONZ,IONQ,-2.030929,0.75
IREZ,IREN,-2.017614,0.75
TWM,IWM,-2.002012,0.75
TZA,IWM,-2.997796,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.986091,0.75
MSTZ,MSTR,-1.998131,0.75
SMST,MSTR,-1.972922,0.75
NBIZ,NBIS,-2.043474,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.004613,0.75
NVDS,NVDA,-1.49459,0.75
OKLS,OKLO,-2.009391,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.006248,0.75
QID,QQQ,-1.996888,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.999992,0.75
RKLZ,RKLB,-2.012502,0.75
SMCZ,SMCI,-2.041218,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.007425,0.75
SPXS,SPY,-2.995953,0.75
SPXU,SPY,-2.994096,0.75
UVIX,SVIX,-1.983811,0.75
TBT,TLT,-1.998379,0.75
TBX,TLT,-1.370557,0.75
TMV,TLT,-2.990175,0.75
TSDD,TSLA,-2.010697,0.75
STSM,TSM,-2.005877,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.736266,0.75
DUG,XLE,-1.989495,0.75
SKF,XLF,-1.996654,0.75
FNGD,XLK,-2.913545,0.75
REW,XLK,-2.007424,0.75
TECS,XLK,-2.999879,0.75
WEBS,XLK,-2.79025,0.75
DRIP,XOP,-1.995896,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
