ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
AAPU,AAPL,1.98631,500,ols,0.083034,200000,0.083034,False,False,31.56999969482422,0.083034,1.0,False,True,False,False,False,False,False,False,False,0.478706,0.173498,0.238933,0.055922,0.173498,0.090464,0.090464,0.4965775,0.595893,0.5,0.595893,bucket_1,,False,0.083034,ETF_LS,631.4606794914633,-317.90640911613156,631.4606794914633,-317.90640911613156,2406.0338736273643,0.0,-0.0,2406.0338736273643,core_leveraged
AMUU,AMD,2.00734,260,ols,0.047556,25000,0.047556,False,False,78.5,0.047556,1.0,False,True,False,False,False,False,False,False,False,1.171992,0.492749,0.584821,0.34579,0.492749,0.445193,0.445193,0.501835,0.602202,0.501835,0.602202,bucket_1,,False,0.047556,ETF_LS,4365.406638057339,-2174.722088962178,4365.406638057339,-2174.722088962178,13105.916101570063,0.0,-0.0,13105.916101570063,core_leveraged
AMZU,AMZN,1.988917,500,ols,0.097435,70000,0.097435,False,False,38.38999938964844,0.097435,1.0,False,True,False,False,False,False,False,False,False,0.627622,0.211726,0.31478,0.097445,0.211726,0.114291,0.114291,0.49722925,0.5966751,0.5,0.5966751,bucket_1,,False,0.097435,ETF_LS,631.7379645443991,-317.6291240631958,631.7379645443991,-317.6291240631958,9892.519289818623,0.0,-0.0,9892.519289818623,core_leveraged
ASMU,ASML,2.003396,45,ols,0.1787969999999999,1,0.1787969999999999,False,False,24.940000534057617,0.1787969999999999,1.0,False,True,False,False,False,False,False,True,False,0.965727,0.348575,0.392219,0.15462,0.189255,0.169778,0.010458,0.500849,0.6010188,0.500849,0.6010188,bucket_1,,False,0.1787969999999999,ETF_LS,633.2692151977631,-316.09787340983166,633.2692151977631,-316.09787340983166,4342.797027721281,0.0,-0.0,4342.797027721281,core_leveraged
AVL,AVGO,1.986503,379,ols,0.0540489999999999,80000,0.0540489999999999,False,False,55.83000183105469,0.0540489999999999,1.0,False,True,False,False,False,False,False,False,False,0.853822,0.375948,0.427387,0.178978,0.375948,0.321899,0.321899,0.49662575,0.5959509,0.5,0.5959509,bucket_1,,False,0.0540489999999999,ETF_LS,2914.472723995395,-1467.1373383253865,2914.472723995395,-1467.1373383253865,7029.041760246713,0.0,-0.0,7029.041760246713,core_leveraged
BOEU,BA,1.991716,247,ols,0.053373,10000,0.053373,False,False,37.887001037597656,0.053373,1.0,False,True,False,False,False,False,False,False,False,0.60092,0.196368,0.306512,0.092785,0.194313,0.1429949999999999,0.14094,0.497929,0.5975148,0.5,0.5975148,bucket_1,,False,0.053373,ETF_LS,997.004281703868,-500.5755246751384,997.004281703868,-500.5755246751384,1628.8876618609686,0.0,-0.0,1628.8876618609686,core_leveraged
BABU,BABA,2.032756,44,ols,0.0533439999999999,6000,0.0533439999999999,False,False,16.989999771118164,0.0533439999999999,1.0,False,True,False,False,False,False,False,False,False,0.752295,0.243496,0.432285,0.196152,0.204418,0.190152,0.1510739999999999,0.508189,0.6098268,0.508189,0.6098268,bucket_1,,False,0.0533439999999999,ETF_LS,1108.46203445665,-545.3000923163675,1108.46203445665,-545.3000923163675,3909.2356236325695,0.0,-0.0,3909.2356236325695,core_leveraged
CONX,COIN,2.004371,101,ols,0.157039,15000,0.157039,False,False,11.619999885559082,0.157039,1.0,False,True,False,False,False,False,False,False,False,1.501431,0.672264,0.729612,0.535829,0.590511,0.5152249999999999,0.4334719999999999,0.50109275,0.6013113,0.50109275,0.6013113,bucket_1,,False,0.157039,ETF_LS,1906.3791192826814,-951.1109067546286,1906.3791192826814,-951.1109067546286,14861.879552164748,-12559.503158745876,12559.503158745876,2302.376393418872,core_leveraged
CSCL,CSCO,2.0218,204,ols,0.099062,3000,0.099062,False,False,35.44300079345703,0.099062,1.0,False,True,False,False,False,False,False,False,False,0.53358,0.197962,0.253787,0.066529,0.172927,0.0989,0.073865,0.50545,0.60654,0.50545,0.60654,bucket_1,,False,0.099062,ETF_LS,635.1943807488369,-314.17270785875803,635.1943807488369,-314.17270785875803,635.1943807488369,0.0,-0.0,635.1943807488369,core_leveraged
GGLL,GOOGL,1.994872,500,ols,0.086812,90000,0.086812,False,False,109.16999816894533,0.086812,1.0,False,True,False,False,False,False,False,False,False,0.574296,0.192236,0.286942,0.081703,0.192236,0.1054239999999999,0.1054239999999999,0.498718,0.5984615999999999,0.5,0.5984615999999999,bucket_1,,False,0.086812,ETF_LS,632.3695379250967,-316.9975506824983,632.3695379250967,-316.9975506824983,3365.874568598114,0.0,-0.0,3365.874568598114,core_leveraged
