symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17589.858222420902,17589.858222420902,1
DUST,flow_program,12949.7462784,12949.7462784,1
ZSL,flow_program,10648.189398599998,10648.189398599998,1
SDS,flow_program,10542.447389219999,10542.447389219999,1
FAZ,flow_program,9814.7869516,9814.7869516,1
LABD,flow_program,8427.610229499998,8427.610229499998,1
TSLQ,flow_program,7858.417217200001,7858.417217200001,1
SQQQ,flow_program,7618.6644156,7618.6644156,1
NVDQ,flow_program,5830.739795790001,5830.739795790001,1
EWV,flow_program,3180.234180978,3180.234180978,1
SOXS,flow_program,1458.3769167,1458.3769167,1
TSYY,flow_program,-68.21789364,68.21789364,1
NVYY,flow_program,-98.861316825,98.861316825,1
TQQY,flow_program,-473.92058805,473.92058805,1
