symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,5831.46684096,5831.46684096,1
SVIX,SVIX,volatility_etp_bucket5,-5364.84,5364.84,1
