etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.028014,0.75
ASTN,ASTS,-1.996674,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.009724,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.992612,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.001884,0.75
CONI,COIN,-1.927275,0.75
CRCD,CRCL,-1.995916,0.75
CORD,CRWV,-2.012187,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002266,0.75
SDOW,DIA,-2.999292,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.006213,0.75
BTCZ,IBIT,-1.997031,0.75
IONZ,IONQ,-2.021271,0.75
IREZ,IREN,-2.014449,0.75
TWM,IWM,-2.002358,0.75
TZA,IWM,-2.996005,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.002347,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.974758,0.75
MSTZ,MSTR,-1.995151,0.75
SMST,MSTR,-1.969143,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.039219,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.0019,0.75
NVDS,NVDA,-1.494835,0.75
OKLS,OKLO,-2.002295,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.998957,0.75
QID,QQQ,-1.996834,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.988298,0.75
RKLZ,RKLB,-2.003932,0.75
SMCZ,SMCI,-2.001513,0.75
SNDQ,SNDK,-2.024864,0.75
SPCG,SPCX,-2.0,0.75
SSPC,SPCX,-2.0,0.75
HIBS,SPHB,-3.007633,0.75
SPXS,SPY,-2.995132,0.75
SPXU,SPY,-2.993363,0.75
UVIX,SVIX,-1.990985,0.75
TBT,TLT,-1.999435,0.75
TBX,TLT,-1.371707,0.75
TMV,TLT,-2.98986,0.75
TSDD,TSLA,-2.009549,0.75
STSM,TSM,-1.996907,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.736851,0.75
DUG,XLE,-1.992337,0.75
SKF,XLF,-1.996951,0.75
FNGD,XLK,-2.90592,0.75
REW,XLK,-2.007374,0.75
TECS,XLK,-2.998735,0.75
WEBS,XLK,-2.767945,0.75
DRIP,XOP,-1.995058,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
