symbol,underlying,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
IREN,IREN,IREN LTD,0.0,2898.2471882560667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2898.2471882560667
CRWV,CRWV,COREWEAVE INC-CL A,0.0,2458.7612899810183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2458.7612899810183
NBIS,NBIS,NEBIUS GROUP NV,0.0,1282.5901762497672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.5901762497672
MSTR,MSTR,STRATEGY INC,0.0,405.4143150621797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.4143150621797
XLK,XLK,SS TECHNOLOGY SELECT SECTOR,0.0,157.24993558336885,0.0,0.0,0.0,-0.15040615904661458,5.553886267002249,0.0,0.0,162.65341569132448
DIA,DIA,SS SPDR DOW JONES INDUS AVG,0.0,116.7551268009045,0.0,0.0,0.0,-0.16367680669874565,6.047150291786955,0.0,0.0,122.63860028599271
CLSZ,CLSK,TRADR 2X SHRT CLSK DAILY ETF,0.0,104.054555,0.0,0.0,0.0,-0.36,1.327584314372112,0.0,0.0,105.02213931437211
TTXD,XLK,DX D TECH TOP 5 BEAR 2X ETF,0.0,70.331316,0.0,0.0,0.0,-0.67,1.9392884481230468,0.0,0.0,71.60060444812305
WEBS,XLK,DIREXION DAILY DOW JONES INT,0.0,67.833745,0.0,0.0,0.0,-0.32,1.7006054954510186,0.0,0.0,69.21435049545101
QQQ,QQQ,INVESCO QQQ TRUST SERIES 1,0.0,61.95221530095971,0.0,0.0,0.0,-0.0771814869510705,2.8461548323149555,0.0,0.0,64.7211886463236
DXD,DIA,PROSHARES ULTRASHORT DOW30,0.0,-77.782285,0.0,0.0,0.0,-0.52,1.89996442071568,0.0,0.0,-76.40232057928432
QID,QQQ,PROSHARES ULTRASHORT QQQ,0.0,-79.555207,0.0,0.0,0.0,-0.24,1.904008239314632,0.0,0.0,-77.89119876068536
SDOW,DIA,PROSHARES ULTPRO SHRT DOW30,0.0,-85.997348,0.0,0.0,0.0,-0.31,1.4338643897998773,0.0,0.0,-84.87348361020013
CLSK,CLSK,CLEANSPARK INC,0.0,-96.72303861930625,0.0,0.0,0.0,-0.17423673107305354,6.675562132283573,0.0,0.0,-90.22171321809573
