symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
SOXS,flow_program,10921.38895544,10921.38895544,1
LABD,flow_program,10261.42612176,10261.42612176,1
DUST,flow_program,9900.486983359999,9900.486983359999,1
ZSL,flow_program,9654.74592264,9654.74592264,1
SQQQ,flow_program,9539.69618448,9539.69618448,1
FAZ,flow_program,9491.8194026,9491.8194026,1
EWV,flow_program,9456.68660573,9456.68660573,1
TSLQ,flow_program,8610.28606914,8610.28606914,1
NVDQ,flow_program,8469.77518926,8469.77518926,1
SDS,flow_program,8331.46978752,8331.46978752,1
TSYY,flow_program,-12.783353400000001,12.783353400000001,1
NVYY,flow_program,-20.66888742,20.66888742,1
TQQY,flow_program,-75.06491970719999,75.06491970719999,1
