underlying,net_notional_usd,gross_notional_usd,orphan_frac
DIA,-17478.72,17478.72,1.0
QQQ,-17445.82,17445.82,1.0
XLK,-16637.5,16637.5,1.0
CLSK,-9494.400000000001,9494.400000000001,1.0
