ETF,Underlying
AAPW,AAPL
AMDW,AMD
AMZW,AMZN
ARMW,ARM
AVGW,AVGO
BABW,BABA
BRKW,BRK-B
COIW,COIN
COSW,COST
GOOW,GOOGL
HOOW,HOOD
METW,META
MSFW,MSFT
MSTW,MSTR
NFLW,NFLX
NVDW,NVDA
PLTW,PLTR
TSLW,TSLA
UBEW,UBER
UNHW,UNH
TSYW,TLT
GLDW,GOLD
GDXW,GDX
TOPW,TOP
