symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
CRMX,-14915.99701400494,-11796.8,3119.1970140049416,3119.1970140049416,14915.99701400494,11796.8,-3119.1970140049416,True,borrow_band,True,False,True,False,False
CRWG,-6360.749562005159,-3330.3,3030.4495620051584,3030.4495620051584,6360.749562005159,3330.3,-3030.4495620051584,True,none,False,False,False,False,False
NVDQ,0.0,-2844.66,-2844.66,2844.66,0.0,2844.66,2844.66,False,borrow_band,True,False,True,False,False
FAZ,0.0,-2794.56,-2794.56,2794.56,0.0,2794.56,2794.56,False,none,False,False,False,False,False
NVTX,-17378.95966244907,-14636.16,2742.7996624490697,2742.7996624490697,17378.95966244907,14636.16,-2742.7996624490697,True,borrow_band,True,False,True,False,False
SQQQ,0.0,-2704.1000000000004,-2704.1000000000004,2704.1000000000004,0.0,2704.1000000000004,2704.1000000000004,False,net_edge,True,False,False,True,False
BEG,-6444.55361481508,-3796.0,2648.5536148150804,2648.5536148150804,6444.55361481508,3796.0,-2648.5536148150804,True,borrow_band,True,False,True,False,False
CWVX,-5693.747232045209,-3064.7,2629.047232045209,2629.047232045209,5693.747232045209,3064.7,-2629.047232045209,True,none,False,False,False,False,False
AMDL,-1224.0423250909987,-3717.4799999999996,-2493.4376749090006,2493.4376749090006,1224.0423250909987,3717.4799999999996,2493.4376749090006,False,none,False,False,False,False,False
QBTX,-8894.995333896151,-6611.999999999999,2282.9953338961523,2282.9953338961523,8894.995333896151,6611.999999999999,-2282.9953338961523,True,none,False,False,False,False,False
CRWU,-4584.73995457949,-2531.98,2052.7599545794897,2052.7599545794897,4584.73995457949,2531.98,-2052.7599545794897,True,none,False,False,False,False,False
OKLL,-6843.447629414617,-4975.82,1867.6276294146173,1867.6276294146173,6843.447629414617,4975.82,-1867.6276294146173,True,none,False,False,False,False,False
CRCG,-3363.9105935182797,-5195.92,-1832.0094064817204,1832.0094064817204,3363.9105935182797,5195.92,1832.0094064817204,False,none,False,False,False,False,False
CIFG,-5754.997804424899,-3934.111,1820.8868044248993,1820.8868044248993,5754.997804424899,3934.111,-1820.8868044248993,True,none,False,False,False,False,False
LABD,0.0,-1814.7799999999997,-1814.7799999999997,1814.7799999999997,0.0,1814.7799999999997,1814.7799999999997,False,none,False,False,False,False,False
RGTU,-3400.9063311386626,-1725.24,1675.6663311386626,1675.6663311386626,3400.9063311386626,1725.24,-1675.6663311386626,True,borrow_band,True,False,True,False,False
BEX,-15379.77457911247,-13745.5,1634.2745791124707,1634.2745791124707,15379.77457911247,13745.5,-1634.2745791124707,True,none,False,False,False,False,False
SNDU,-7882.479383155138,-9497.53,-1615.0506168448628,1615.0506168448628,7882.479383155138,9497.53,1615.0506168448628,False,none,False,False,False,False,False
ONDG,-4349.874672134589,-5949.4400000000005,-1599.5653278654117,1599.5653278654117,4349.874672134589,5949.4400000000005,1599.5653278654117,False,none,False,False,False,False,False
EWV,0.0,-1570.9319999999998,-1570.9319999999998,1570.9319999999998,0.0,1570.9319999999998,1570.9319999999998,False,none,False,False,False,False,False
CRMU,-24342.601415714224,-22773.12,1569.4814157142246,1569.4814157142246,24342.601415714224,22773.12,-1569.4814157142246,True,none,False,False,False,False,False
IREX,-9567.417295141731,-8070.05,1497.3672951417311,1497.3672951417311,9567.417295141731,8070.05,-1497.3672951417311,True,none,False,False,False,False,False
