ETF,Underlying
ABNY,ABNB
AIYY,AI
AMDY,AMD
AMZY,AMZN
APLY,AAPL
BABO,BABA
BRKC,BRK.B
CONY,COIN
CRCO,CRCL
CVNY,CVNA
DISO,DIS
DRAY,DKNG
FBY,META
GMEY,GME
GOOY,GOOGL
HIYY,HIMS
HOOY,HOOD
JPO,MARA
MARO,MARA
MRNY,MRNA
MSFO,MSFT
MSTY,MSTR
NFLY,NFLX
NVDY,NVDA
PLTY,PLTR
PYPY,PYPL
RBLY,RBLX
RDYY,RDDT
SMCY,SMCI
SNOY,SNOW
TSLY,TSLA
TSMY,TSM
XOMO,XOM
XYZY,XYZ
