date,daily_long_pnl_usd,daily_short_pnl_usd,daily_pair_gross_trading_pnl_usd,daily_pair_gross_mtm_pnl_usd,gross_vs_mtm_diff_usd,daily_borrow_cost_usd,daily_underlying_borrow_cost_usd,daily_margin_debit_cost_usd,daily_short_credit_income_usd,daily_net_financing_cost_usd,daily_txn_cost_usd,daily_turnover_usd,daily_total_cost_usd,daily_pair_net_pnl_usd,b2_actual_symbol_netted_txn_cost_alloc_usd
2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2505.181035149,1237608.4668169022,2505.181035149,-2505.181035149,2586.484709411046
2025-10-08,0.0,0.0,0.0,-345.80647897720337,345.80647897720337,224.83383133450374,0.0,30.366559736955967,0.0,30.366559736955967,0.0,0.0,255.2003910714597,-255.2003910714597,0.0
2025-10-09,-1728.7905960083008,-287.9587035179138,-2016.7492995262146,-2016.7492995262146,0.0,225.9568108177951,0.0,30.56267233522237,0.0,30.56267233522237,0.0,0.0,256.51948315301746,-2273.2687826792317,0.0
2025-10-10,-23738.60391998291,38432.34412384033,14693.740203857422,14693.740203857422,0.0,212.39491105075513,0.0,27.619426748185578,0.0,27.619426748185578,0.0,0.0,240.0143377989407,14453.725866058481,0.0
2025-10-13,6545.468170166016,-11067.576128482819,-4522.107958316803,-4522.107958316803,0.0,214.70955116373975,0.0,29.36910747499837,0.0,29.36910747499837,0.0,0.0,244.0786586387381,-4766.1866169555415,0.0
2025-10-14,-7915.878616333008,10465.5096616745,2549.6310453414917,2549.6310453414917,0.0,210.6233873938874,0.0,28.907834848164374,0.0,28.907834848164374,0.0,0.0,239.53122224205177,2310.09982309944,0.0
2025-10-15,2140.6374893188477,714.11541223526,2854.7529015541077,2854.7529015541077,0.0,209.83378071859033,0.0,29.893148692047856,0.0,29.893148692047856,0.0,0.0,239.72692941063818,2615.0259721434695,0.0
2025-10-16,-6037.127426147461,7924.735911369324,1887.6084852218628,1887.6084852218628,0.0,206.9093636702697,0.0,28.875878063815897,0.0,28.875878063815897,0.0,0.0,235.78524173408562,1651.823243487777,0.0
2025-10-17,-138.9920883178711,6502.497848510742,6363.505760192871,6363.505760192871,0.0,203.436863723558,0.0,27.983332515039788,0.0,27.983332515039788,0.0,0.0,231.42019623859778,6132.085563954273,0.0
2025-10-20,10261.939544677734,-12840.54664850235,-2578.6071038246155,-2578.6071038246155,0.0,207.5267166334225,0.0,29.126415694607992,0.0,29.126415694607992,0.0,0.0,236.6531323280305,-2815.260236152646,0.0
2025-10-21,-431.92808532714844,-861.7832326889038,-1293.7113180160522,-1293.7113180160522,0.0,206.63144871441844,0.0,28.390875896439365,0.0,28.390875896439365,0.0,0.0,235.02232461085782,-1528.73364262691,0.0
2025-10-22,-12548.160461425781,18035.203370571136,5487.042909145355,5487.042909145355,0.0,200.42236020207397,0.0,26.362322700435072,0.0,26.362322700435072,0.0,0.0,226.78468290250905,5260.258226242846,0.0
2025-10-23,4759.944808959961,-10416.424734592438,-5656.479925632477,-5656.479925632477,0.0,202.90269619464823,0.0,27.167441676520447,0.0,27.167441676520447,0.0,0.0,230.0701378711687,-5886.550063503646,0.0
2025-10-24,8469.217163085938,-11648.133888244629,-3178.9167251586914,-3178.9167251586914,0.0,208.0000919247978,0.0,28.367203442256606,0.0,28.367203442256606,157.88924964210634,78447.70828056335,394.25654500916073,-3573.173270167852,164.73985010423613
2025-10-27,11634.670623779297,-11756.209473609924,-121.53884983062744,-245.26315212249756,123.72430229187012,219.12461447017108,0.0,32.469538206072485,0.0,32.469538206072485,0.0,0.0,251.59415267624357,-373.133002506871,0.0
2025-10-28,-723.6438903808594,-55.65196132659912,-779.2958517074585,-779.2958517074585,0.0,218.40362746863008,0.0,32.01101094308191,0.0,32.01101094308191,0.0,0.0,250.41463841171196,-1029.7104901191706,0.0
2025-10-29,647.7380599975586,286.1158709526062,933.8539309501648,933.8539309501648,0.0,217.75978156031636,0.0,32.289221787048334,0.0,32.289221787048334,0.0,0.0,250.0490033473647,683.8049276028,0.0
