etf,under,daily_long_pnl_usd,daily_short_pnl_usd,daily_pair_gross_trading_pnl_usd,daily_pair_gross_mtm_pnl_usd,gross_vs_mtm_diff_usd,daily_borrow_cost_usd,daily_underlying_borrow_cost_usd,daily_margin_debit_cost_usd,daily_short_credit_income_usd,daily_net_financing_cost_usd,daily_txn_cost_usd,daily_turnover_usd,daily_total_cost_usd,daily_pair_net_pnl_usd,active_days,avg_gross_notional_usd,max_gross_notional_usd,avg_borrow_rate_annual
HMYY,HIMS,1171.1104145050049,47597.391948223114,48768.50236272812,48612.33012533188,156.17223739624023,403.865401229297,0.0,146.92320748565456,0.0,146.92320748565456,470.8033150553017,221087.40927028656,1021.5919237702533,47746.910438957864,106,85712.28063130828,110370.53716468811,0.0143715
MTYY,MSTR,-15281.39877319336,64302.83372974396,49021.4349565506,49195.76218509674,-174.32722854614258,3357.3186822370217,0.0,291.82249777407884,0.0,291.82249777407884,489.3870470834226,242818.27867603302,4138.528227094524,44882.906729456074,148,98062.33019221474,137760.77952575684,0.080703375
COYY,COIN,-17870.28807067871,54213.82170343399,36343.53363275528,34955.59460926056,1387.9390234947205,5574.915926536775,0.0,320.17699960513664,0.0,320.17699960513664,483.72000968984895,240347.6430644989,6378.81293583176,29964.72069692352,148,99379.66771006584,142315.5872297287,0.1363878333333333
MAAY,MARA,3736.459201335907,27730.9434800148,31467.402681350708,31516.117197036743,-48.714515686035156,989.9015944220357,0.0,191.54021740244966,0.0,191.54021740244966,480.78308101827025,206648.08827018738,1662.2248928427557,29805.177788507954,125,88303.72469388199,105410.14226913452,0.02957725
IOYY,IONQ,5675.970941543579,18898.547492980957,24574.518434524536,24650.363962173462,-75.84552764892578,704.4943105548601,0.0,199.73803364557173,0.0,199.73803364557173,451.98736597890445,217310.8336277008,1356.2197101793363,23218.2987243452,125,88875.47475299072,110306.66470813751,0.0211444166666666
QBY,QBTS,420.60997200012207,23515.841948509216,23936.45192050934,24203.193985939026,-266.7420654296875,1669.7412526227824,0.0,149.3119784262685,0.0,149.3119784262685,406.44539726312087,188852.40258216858,2225.4986283121716,21710.953292197166,106,86146.89859255304,108267.34562301636,0.0593082083333333
HOYY,HOOD,-17499.38842010498,47106.05588722229,29606.66746711731,28478.000940322876,1128.6665267944336,7449.899447213951,0.0,325.87591454575085,0.0,325.87591454575085,514.8506763232239,253449.7777581215,8290.626038082926,21316.041429034383,148,99682.01151536284,143887.68225860596,0.1827750833333333
FBYY,META,-1039.0604858398438,19305.951007843018,18266.890522003174,18076.078453063965,190.81206893920898,0.0,0.0,315.4422227678932,0.0,315.4422227678932,426.63437999507994,212739.79730510712,742.0766027629732,17524.8139192402,135,90569.95092771319,109073.48834228516,-0.0117717916666666
XBTY,IBIT,-15255.597961425781,31803.325212478638,16547.727251052856,15566.399015426636,981.3282356262207,270.37933915506756,0.0,379.05911214990095,0.0,379.05911214990095,428.4048828611533,207973.6620235443,1077.8433341661218,15469.883916886734,148,99939.62769523183,139736.18953037262,0.007101125
TSYY,TSLA,-369.63970947265625,14547.064644098282,14177.424934625626,13699.259545564651,478.1653890609741,518.6646131956495,0.0,400.4028987896936,0.0,400.4028987896936,428.59914045378514,213422.80916786194,1347.6666524391283,12829.758282186496,148,104125.3704102136,146938.74737262726,0.01316425
SMYY,SMCI,-11638.610591888428,27192.241101264954,15553.630509376526,16582.1701669693,-1028.5396575927734,3781.0716486201795,0.0,254.71395237409183,0.0,254.71395237409183,555.8539965132233,265195.25904750824,4591.639597507495,10961.99091186903,148,99544.62430229703,140682.94872283936,0.085088
RTYY,RIOT,14292.155121803284,3465.7088899612427,17757.864011764526,17885.892444610596,-128.02843284606934,6866.169660807897,0.0,160.4426624588162,0.0,160.4426624588162,423.8781853493449,190157.41147613525,7450.490508616058,10307.373503148468,106,86858.3567773711,107501.13446044922,0.246503
AZYY,AMZN,9356.099029541016,-536.2228212356567,8819.876208305359,8652.169177055359,167.70703125,325.7753616838011,0.0,435.193053331384,0.0,435.193053331384,468.5391036936451,232477.98753643036,1229.5075187088303,7590.368689596528,148,103893.42953797289,152417.76645851135,0.008705625
PLYY,PLTR,-7783.958694458008,15736.298053741455,7952.339359283447,7851.1167821884155,101.22257709503174,860.4816813586916,0.0,383.8350273421891,0.0,383.8350273421891,486.29497788658506,240669.2731103897,1730.6116865874658,6221.727672695981,148,104521.42138936713,154630.86278629303,0.0212416363636363
BBYY,BABA,-5018.550018310547,9026.728554725647,4008.1785364151,4075.266303062439,-67.08776664733887,2445.8304069777423,0.0,313.86309625781166,0.0,313.86309625781166,422.66989521644234,208995.1423959732,3182.363398451996,825.8151379631041,135,90728.81539125796,111191.34075260162,0.0771567083333333
AMYY,AMD,17705.22039794922,-15187.468929290771,2517.7514686584473,5214.1068868637085,-2696.3554182052612,1432.1980534776997,0.0,265.16956586856026,0.0,265.16956586856026,646.1399000085844,320711.678273201,2343.507519354844,174.24394930360336,148,108183.13553466668,171309.62651634216,0.0292499999999999
