etf,underlying,delta
DAMD,AMD,-2.024919
ASTN,ASTS,-1.997024
AURU,AUR,-1.0
AXUP,AXON,-1.0
BEZ,BE,-2.001464
BKNU,BKNG,-1.0
BLSX,BLSH,-1.0
BMNZ,BMNR,-1.995998
CELT,CELH,-1.0
CONI,COIN,-1.9277
CRCD,CRCL,-1.989841
CORD,CRWV,-1.998654
DASX,DASH,-1.0
DXD,DIA,-2.002002
SDOW,DIA,-2.998487
DKUP,DKNG,-1.0
HOOZ,HOOD,-2.011681
BTCZ,IBIT,-1.995664
IONZ,IONQ,-2.005253
IREZ,IREN,-2.004063
TWM,IWM,-2.002287
TZA,IWM,-2.99684
BTFL,KEEL,-1.0
LITZ,LITE,-2.001301
LYFX,LYFT,-1.0
MSTZ,MSTR,-1.993346
SMST,MSTR,-1.970756
MUZ,MU,-2.0
NBIZ,NBIS,-2.021446
NWMX,NEM,-1.0
NETX,NET,-1.0
NVD,NVDA,-2.002419
NVDS,NVDA,-1.499946
OKLS,OKLO,-1.99561
OKTX,OKTA,-1.0
QBTZ,QBTS,-1.99023
QID,QQQ,-1.995038
QSX,QS,-1.0
RGTZ,RGTI,-1.980544
RKLZ,RKLB,-1.994265
SMCZ,SMCI,-2.007054
SNDQ,SNDK,-2.014532
SNK,SPCX,-2.0
SPCG,SPCX,-2.0
SSPC,SPCX,-2.0
HIBS,SPHB,-3.004452
SPXS,SPY,-2.994556
SPXU,SPY,-2.991377
UVIX,SVIX,-1.987161
TBT,TLT,-1.998669
TBX,TLT,-1.371253
TMV,TLT,-2.991218
TSDD,TSLA,-2.006868
STSM,TSM,-1.999219
PXIU,UPXI,-1.0
SCO,USO,-1.762563
DUG,XLE,-1.993321
SKF,XLF,-1.997654
FNGD,XLK,-2.872976
REW,XLK,-2.00646
TECS,XLK,-2.997669
WEBS,XLK,-2.721289
DRIP,XOP,-1.997561
GXRP,XRPZ,-1.0
XRP,XRPZ,-1.0
