symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
CWY,-161892.52737309705,-34699.5,127193.02737309705,127193.02737309705,161892.52737309705,34699.5,-127193.02737309705,True,no_locate,True,True,False,False,False
CRY,-124024.35207442536,-18295.4,105728.95207442535,105728.95207442535,124024.35207442536,18295.4,-105728.95207442535,True,none,False,False,False,False,False
HMYY,-127430.38903222408,-43446.895,83983.49403222409,83983.49403222409,127430.38903222408,43446.895,-83983.49403222409,True,none,False,False,False,False,False
HOYY,-48025.63809328902,0.0,48025.63809328902,48025.63809328902,48025.63809328902,0.0,-48025.63809328902,True,borrow_band,True,False,True,False,False
NBIG,0.0,-42116.060000000005,-42116.060000000005,42116.060000000005,0.0,42116.060000000005,42116.060000000005,False,no_locate,True,True,False,False,False
QBY,-105486.65988806396,-70792.92,34693.73988806397,34693.73988806397,105486.65988806396,70792.92,-34693.73988806397,True,borrow_band,True,False,True,False,False
ASTX,-48536.58090208449,-15037.86,33498.72090208449,33498.72090208449,48536.58090208449,15037.86,-33498.72090208449,True,none,False,False,False,False,False
QBTZ,-5242.171120637707,-36218.56,-30976.38887936229,30976.38887936229,5242.171120637707,36218.56,30976.38887936229,False,none,False,False,False,False,False
IOYY,-116561.49224922236,-85609.56,30951.93224922236,30951.93224922236,116561.49224922236,85609.56,-30951.93224922236,True,none,False,False,False,False,False
MAAY,-116675.6067714938,-87828.1661,28847.440671493794,28847.440671493794,116675.6067714938,87828.1661,-28847.440671493794,True,none,False,False,False,False,False
COYY,-62954.69862727201,-90661.515,-27706.81637272799,27706.81637272799,62954.69862727201,90661.515,27706.81637272799,False,none,False,False,False,False,False
AAOX,-65685.93698138079,-91294.5,-25608.563018619214,25608.563018619214,65685.93698138079,91294.5,25608.563018619214,False,none,False,False,False,False,False
NEBX,-24758.536858741656,0.0,24758.536858741656,24758.536858741656,24758.536858741656,0.0,-24758.536858741656,True,none,False,False,False,False,False
CORD,-4488.759783539857,-22942.01,-18453.25021646014,18453.25021646014,4488.759783539857,22942.01,18453.25021646014,False,none,False,False,False,False,False
RKLX,-3545.1996952334216,-21939.55,-18394.350304766576,18394.350304766576,3545.1996952334216,21939.55,18394.350304766576,False,none,False,False,False,False,False
TMYY,-69149.01785727547,-51270.899999999994,17878.117857275472,17878.117857275472,69149.01785727547,51270.899999999994,-17878.117857275472,True,no_locate,True,True,False,False,False
AXTX,-81903.49399048532,-99401.67,-17498.176009514675,17498.176009514675,81903.49399048532,99401.67,17498.176009514675,False,none,False,False,False,False,False
AXTU,-15831.379643265229,0.0,15831.379643265229,15831.379643265229,15831.379643265229,0.0,-15831.379643265229,True,none,False,False,False,False,False
CRWG,-20217.064894415114,-4653.45,15563.614894415114,15563.614894415114,20217.064894415114,4653.45,-15563.614894415114,True,none,False,False,False,False,False
IREX,-35734.716353159616,-20416.399999999998,15318.316353159618,15318.316353159618,35734.716353159616,20416.399999999998,-15318.316353159618,True,none,False,False,False,False,False
MTYY,-95286.52994471828,-80874.36,14412.169944718276,14412.169944718276,95286.52994471828,80874.36,-14412.169944718276,True,none,False,False,False,False,False
SNDQ,-4415.549237861767,-18790.2,-14374.650762138233,14374.650762138233,4415.549237861767,18790.2,14374.650762138233,False,none,False,False,False,False,False
SNXX,-36861.80942994183,-51179.04,-14317.230570058171,14317.230570058171,36861.80942994183,51179.04,14317.230570058171,False,none,False,False,False,False,False
FBYY,-61562.23482052893,-48459.869999999995,13102.364820528936,13102.364820528936,61562.23482052893,48459.869999999995,-13102.364820528936,True,no_locate,True,True,False,False,False
BMNU,0.0,-11528.352,-11528.352,11528.352,0.0,11528.352,11528.352,False,no_locate,True,True,False,False,False
QBTX,-9933.313035785332,-21154.95,-11221.63696421467,11221.63696421467,9933.313035785332,21154.95,11221.63696421467,False,none,False,False,False,False,False
IONL,-10775.845849881318,0.0,10775.845849881318,10775.845849881318,10775.845849881318,0.0,-10775.845849881318,True,none,False,False,False,False,False
ONDG,-8057.235370183873,-18435.69,-10378.454629816126,10378.454629816126,8057.235370183873,18435.69,10378.454629816126,False,none,False,False,False,False,False
RTYY,-72437.85218276482,-82728.375,-10290.522817235178,10290.522817235178,72437.85218276482,82728.375,10290.522817235178,False,none,False,False,False,False,False
AMUU,0.0,-9572.16,-9572.16,9572.16,0.0,9572.16,9572.16,False,none,False,False,False,False,False
XBTY,-53091.335861676445,-44037.86,9053.475861676445,9053.475861676445,53091.335861676445,44037.86,-9053.475861676445,True,none,False,False,False,False,False
AMZO,0.0,-8487.179999999998,-8487.179999999998,8487.179999999998,0.0,8487.179999999998,8487.179999999998,False,none,False,False,False,False,False
DUST,0.0,-8208.64,-8208.64,8208.64,0.0,8208.64,8208.64,False,no_locate,True,True,False,False,False
GLXU,-8767.704453381479,-16536.2862,-7768.58174661852,7768.58174661852,8767.704453381479,16536.2862,7768.58174661852,False,none,False,False,False,False,False
IONX,0.0,-7411.320000000001,-7411.320000000001,7411.320000000001,0.0,7411.320000000001,7411.320000000001,False,none,False,False,False,False,False
BEX,-28154.37293672022,-35350.68,-7196.307063279779,7196.307063279779,28154.37293672022,35350.68,7196.307063279779,False,none,False,False,False,False,False
ZSL,0.0,-7167.42,-7167.42,7167.42,0.0,7167.42,7167.42,False,none,False,False,False,False,False
CIFG,-7104.122296617282,0.0,7104.122296617282,7104.122296617282,7104.122296617282,0.0,-7104.122296617282,True,borrow_band,True,False,True,False,False
RKLZ,-6215.377157623962,-13285.16,-7069.7828423760375,7069.7828423760375,6215.377157623962,13285.16,7069.7828423760375,False,none,False,False,False,False,False
NBIZ,-4624.6205796779695,-11285.24076,-6660.620180322031,6660.620180322031,4624.6205796779695,11285.24076,6660.620180322031,False,none,False,False,False,False,False
BBYY,-43551.942121451866,-36907.403399999996,6644.5387214518705,6644.5387214518705,43551.942121451866,36907.403399999996,-6644.5387214518705,True,none,False,False,False,False,False
BMNG,-6020.372466467615,0.0,6020.372466467615,6020.372466467615,6020.372466467615,0.0,-6020.372466467615,True,none,False,False,False,False,False
GEMG,-4257.671665412253,-9946.9446,-5689.272934587748,5689.272934587748,4257.671665412253,9946.9446,5689.272934587748,False,none,False,False,False,False,False
SMYY,-116656.39412392829,-111528.24,5128.1541239282815,5128.1541239282815,116656.39412392829,111528.24,-5128.1541239282815,True,none,False,False,False,False,False
AMDG,-5062.880148453587,0.0,5062.880148453587,5062.880148453587,5062.880148453587,0.0,-5062.880148453587,True,none,False,False,False,False,False
PLU,-2762.2312605081124,-7816.599999999999,-5054.368739491887,5054.368739491887,2762.2312605081124,7816.599999999999,5054.368739491887,False,none,False,False,False,False,False
LITZ,-5780.447783289126,-10531.84,-4751.392216710874,4751.392216710874,5780.447783289126,10531.84,4751.392216710874,False,none,False,False,False,False,False
ETHU,0.0,-4737.12,-4737.12,4737.12,0.0,4737.12,4737.12,False,no_locate,True,True,False,False,False
SMCX,-4836.348860124047,-277.35,4558.998860124047,4558.998860124047,4836.348860124047,277.35,-4558.998860124047,True,none,False,False,False,False,False
