symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,29307.164608236002,29307.164608236002,1
SVIX,SVIX,volatility_etp_bucket5,-31341.15,31341.15,1
