symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,4833.816186,0.0,0.0,0.0,-179.35,27.877538696517526,0.0,0.0,4682.343724696517
SOXS,DIREX DAI SEMI BE 3X ETF-USD,0.0,2530.047821,0.0,0.0,-25.53,-55.25,3.0578007728994843,0.0,0.0,2452.3256217728995
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,1756.303862,0.0,0.0,0.0,-131.37,9.996681057566517,0.0,0.0,1634.9305430575664
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1552.328082,0.0,0.0,-29.37,-24.42,8.87738138085902,0.0,0.0,1507.4154633808591
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,1171.860642,0.0,0.0,0.0,-54.43,13.0477995570318,0.0,0.0,1130.4784415570318
LABD,DIRE DLY SP BT BE 3X ETF-USD,0.0,886.582916,0.0,0.0,-15.54,-85.94,10.339062626915558,0.0,0.0,795.4419786269156
SDS,PROSHARES ULTRASHORT S&P500,0.0,817.499892,0.0,0.0,-26.99,-53.3,17.328229850646757,0.0,0.0,754.5381218506468
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,9.641186,0.0,0.0,-11.97,-0.86,0.4648144097282357,0.0,0.0,-2.7239995902717653
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-18.911611,0.0,0.0,-127.43,-24.37,1.8742078099860728,0.0,0.0,-8.952888240013918
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,4.795803,0.0,0.0,-158.52,-7.47,0.5368470521715002,0.0,0.0,-56.23348768782849
FAZ,DIREX DLY FIN BEA 3X ETF-USD,0.0,-34.544878,0.0,0.0,-26.13,-65.41,13.261556801011759,0.0,0.0,-112.82332119898822
EWV,PROSHARES ULTSHRT MSCI JAPAN,-379.67922922,125.667878,0.0,0.0,-1.46,-10.44,3.5954783901306024,0.0,0.0,-262.3158728298694
ZSL,PROSHARES ULTRASHORT SILVER,0.0,86.042368,0.0,0.0,0.0,-405.29,13.595821484550894,0.0,0.0,-305.65181051544914
DUST,DIR DLY GOL MN IDX BR 2X ETF,-3.4059583,-958.049378,0.0,0.0,-90.65,-174.98,19.440960844572324,0.0,0.0,-1207.6443754554277
