underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
U,U,-2.1e-07,1621.015037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0150367899998
ASML,ASML,523.1782535,627.782543,19.01,-2.85,0.0,0.0,0.0,0.0,0.0,1167.1207965
NVO,NVO,0.0,1151.624532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.624532
RDW,RDW,0.0,1150.976004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.976004
CRWV,CRWV,15.10061921,1090.460916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.56153521
GDX,GDX,326.8017131,704.185044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.9867571
LAC,LAC,0.0,1028.881207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.881207
ARM,"ARM, ARMW",177.34866151999998,947.051542,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,968.25020352
ORCL,ORCL,0.0,950.829972,7.5,0.0,0.0,0.0,0.0,0.0,0.0,958.329972
XOP,XOP,0.0,874.245572,19.14,0.0,26.22,0.0,0.0,0.0,0.0,919.605572
EWY,EWY,-1.4e-07,887.15264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.15263986
QS,QS,0.0,871.817741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.817741
ETOR,ETOR,0.0,846.021229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.021229
COIN,"COIN, COIW, CONY",2211.62752499,-1215.820906,0.0,0.0,-165.33,-17.740000000000002,0.0,0.0,0.0,812.73661899
DUOL,DUOL,-5e-07,735.749886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.7498854999999
LRCX,LRCX,0.0,720.260743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.260743
AFRM,AFRM,22.39998152,692.593738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.99371952
SATS,SATS,0.0,686.107729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.107729
META,"FBY, FBYY, META, METW",764.52776493,1357.649709,12.6,0.0,-1501.34,-137.95000000000002,76.18088019329812,0.0,0.0,571.6683541232984
ACHR,ACHR,0.0,454.579954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.579954
OKLO,OKLO,2e-07,448.180488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.1804882
SBET,SBET,-4.11732649,430.029852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.91252551
NFLX,"NFLW, NFLX, NFLY",66.78401167000004,840.526914,0.0,0.0,-461.23,-34.870000000000005,0.0,0.0,0.0,411.21092567000005
FCX,FCX,0.0,399.509486,6.15,0.0,0.0,0.0,0.0,0.0,0.0,405.65948599999996
COHR,COHR,0.0,392.382743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.382743
BULL,BULL,-1.9e-07,339.183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.18367281
SRPT,SRPT,0.0,325.339968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.339968
JOBY,JOBY,0.0,319.773537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.773537
MP,MP,2.5e-07,270.503105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.50310525000003
FXI,FXI,0.0,250.96114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.96114
MRNA,MRNA,93.9783874,145.047252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0256394
ARKK,ARKK,0.0,210.964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.964286
OKTA,OKTA,0.0,180.547986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.547986
SOUN,SOUN,0.0,130.133987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.133987
RDDT,"RDDT, RDYY",806.4011985000001,-566.36448,0.0,0.0,-105.7,-10.620000000000001,0.0,0.0,0.0,123.71671850000007
B,B,0.0,110.106743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.106743
EWW,EWW,0.0,99.709686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.709686
ABNB,"ABNB, ABNY",208.21088874999998,0.0,0.0,0.0,-99.24000000000001,-11.59,0.0,0.0,0.0,97.38088875
DKNG,DRAY,194.9998085,0.0,0.0,0.0,-88.37,-14.9,0.0,0.0,0.0,91.72980849999999
QQQ,"JEPQ, QQQ, QQQX, QYLD, QYLG",-399.36648267000004,553.233586,0.0,0.0,-59.99,-18.42,0.0,0.0,0.0,75.45710332999992
IWM,IWM,0.0,70.352243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.352243
FLY,FLY,0.0,62.379466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.379466
CLS,CLS,-52.83831383,101.475467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.63715317
SPY,"JEPI, SPY, SPYI, XYLD, XYLG",4.239159799999989,135.823943,-0.34,0.0,-64.38,-26.71,0.0,0.0,0.0,48.633102799999996
