underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
CRWV,software,override,1.0,letf,2.920453197830077,computed,5138.24963378,70775.17036622
MARA,crypto-equity,override,1.0,letf,3.148174695598902,computed,4723.241116857,34623.258883143004
PLTR,software,override,1.0,letf,1.7903566787716079,computed,4673.46356428,54629.33643572
MSTR,crypto-equity,override,1.0,letf,3.0464572926156737,computed,4446.24606066,56440.01393934
RCAT,drones,override,1.0,letf,3.4425252927923906,computed,4403.178941440001,22349.22105856
OPEN,consumer,override,1.0,letf,2.9277202223031993,computed,3612.039303665399,50083.8806963346
CRML,metals,override,1.0,letf,3.6140463211839493,computed,3443.939357216401,54383.220642783606
ONDS,drones,override,1.0,letf,3.4686835559571576,computed,2961.1287747199985,22697.43122528
CVNA,consumer,override,1.0,passive_low_delta,2.31905558736976,computed,2796.0,2796.0
SOFI,fintech,override,1.0,letf,2.546608447289008,computed,2690.693233552799,21835.9267664472
MSFT,mega-cap-tech,override,1.0,letf,0.8003185269488805,computed,2675.2841970900045,59727.05580290999
ETHA,crypto,override,1.0,letf,2.96948281034266,computed,2437.0967009099986,66596.02329909
HOOD,fintech,override,1.0,letf,3.050341544698058,computed,2347.41935432,33264.58064568
ASTS,space,override,1.0,letf,3.228723229175,computed,2327.7662462400003,23257.25375376
NFLX,mega-cap-tech,override,1.0,letf,0.3217623315790996,computed,2255.9992272900017,53957.520772710006
HIMS,healthcare,override,1.0,letf,2.6063267784483917,computed,2170.430592999998,21100.529407
RBLX,software,override,1.0,letf,1.696768280751925,computed,2040.1001382000009,9037.3398618
IONQ,quantum,override,1.0,letf,3.359187887182876,computed,2003.4500834395008,80886.5499165605
FLY,evtol,override,1.0,letf,3.159727083891268,computed,1666.336072,23924.163928
META,mega-cap-tech,override,1.0,letf,1.4465829767171845,computed,1651.9568801699988,36579.10311983
QBTS,quantum,override,1.0,letf,4.077310935356446,computed,1620.9459467200013,39115.05405328
LEU,nuclear,override,1.0,letf,3.245878264789174,computed,1606.5620919999983,19547.537908
