etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,haircut_factor,ema_applied,prev_w_book
AMUU,AMD,479.0,272.0,0.2748153392142456,0.09156558660561169,1.050453257502433,0.005746420348883277,1.0,True,0.005099664913977769
AMZU,AMZN,479.0,500.0,0.05729474531846235,0.07301989067273439,0.27462600500646417,0.0015023195484716856,1.0,True,0.0017739993452759771
AVL,AVGO,479.0,391.0,0.1413311508968339,0.08068106665188655,0.6131042246543627,0.003353937519235094,1.0,True,0.003224076079483737
BOEU,BA,479.0,259.0,0.055137942129139,0.07801059026916192,0.24738025540651984,0.001353273859095701,1.0,True,0.0016517162190598604
METU,META,479.0,478.0,0.07101414248016169,0.07301989067273439,0.3403860186459773,0.0018620544322678497,1.0,True,0.0020672930663699534
MSFU,MSFT,479.0,500.0,0.04801401738809715,0.07301989067273439,0.2301414851626031,0.0012589705482040814,1.0,True,0.0015654254603060008
MUU,MU,479.0,391.0,0.33713884514002523,0.08481648312617515,1.3912224540537848,0.0076105709251698735,1.0,True,0.00644489577054302
NFXL,NFLX,479.0,396.0,0.06752613286114806,0.11258380496719447,0.20992492222383596,0.0011483774610523269,1.0,True,0.0014945442967087058
NVDU,NVDA,479.0,500.0,0.07708896070734375,0.07301989067273439,0.3695039255604509,0.002021341608175182,1.0,True,0.0021933935726427215
PALU,PANW,479.0,277.0,0.09065630942691791,0.07301989067273439,0.43453513839988717,0.0023770896456096133,1.0,True,0.0024683469002856058
PLTU,PLTR,479.0,348.0,0.2297592814627173,0.08454104399148438,0.9512036368991509,0.005203483254462087,1.0,True,0.004615142667410393
QCMU,QCOM,479.0,216.0,0.10915044821007686,0.09323693253980302,0.40973738445565133,0.002241435520255609,1.0,True,0.002406925904977863
SHPU,SHOP,479.0,187.0,0.1382252343269848,0.11447289986960685,0.4226225776542026,0.002311922936869933,1.0,True,0.002510976568336763
TSLL,TSLA,479.0,500.0,0.15637708752792445,0.07559891474630548,0.7239783906745607,0.003960465757625038,1.0,True,0.0036422035217427875
YINN,FXI,479.0,500.0,0.088083256101669,0.1195643050176153,0.25784568087475707,0.0014105241302913812,1.0,True,0.001740484426851327
SOXL,SOXX,479.0,500.0,0.16677228042095493,0.14074566502559435,0.41472181851369766,0.0022687024672561115,1.0,True,0.0025333861258088255
CWEB,KWEB,479.0,500.0,0.09636249958192031,0.07301989067273439,0.4618861318874271,0.0025267110632371465,1.0,True,0.0025816732238607702
NUGT,GDX,479.0,500.0,0.21488861006114596,0.07301989067273439,1.0300072052762586,0.005634571858978863,1.0,True,0.004812008222391899
JNUG,GDXJ,479.0,500.0,0.2173321980968905,0.07712594712016706,0.9862604243341823,0.005395258600241975,1.0,True,0.004683313155476228
URAA,URA,479.0,465.0,0.19805976663712183,0.09998019130362101,0.6933465261381432,0.0037928965978941036,1.0,True,0.003651165841071949
MSTU,MSTR,479.0,407.0,0.04306919697835314,0.14482314838569088,0.10408708214434173,0.0005694000400477078,1.0,True,0.0009195524287270137
NVDX,NVDA,479.0,500.0,-0.0330393082768397,0.08331329695659806,0.0,0.0,1.0,True,0.0
TSLT,TSLA,479.0,500.0,0.11750324387020766,0.0819861584618686,0.5016229096000425,0.002744087920718399,1.0,True,0.002771000604531963
BTCL,IBIT,479.0,456.0,0.15507177613779183,0.07751286519746291,0.700207914001915,0.003830431270246593,1.0,True,0.003558604859791977
ETU,ETHA,426.0,381.0,0.47820192005135387,0.0887923888524796,1.8849664276523166,0.010311557758007144,1.0,True,0.008784358200716302
CRWU,CRWV,255.0,194.0,0.6570749393405568,0.1428727891938139,1.6096573047035634,0.008805501267585666,1.0,True,0.009068817581491345
