bucket,etf,underlying,w_book,frac_sleeve,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,prev_w_book,delta_w_book,haircut_factor,ema_applied
core_leveraged,MSFU,MSFT,0.09999956429899069,0.14814750266517138,479.0,500.0,0.04801401738809715,0.07301989067273439,0.2301414851626031,0.0012589705482040814,0.0015654254603060008,0.0984341388386847,1.0,True
core_leveraged,CWEB,KWEB,0.09999950416118313,0.14814741357212313,479.0,500.0,0.09636249958192031,0.07301989067273439,0.4618861318874271,0.0025267110632371465,0.0025816732238607702,0.09741783093732236,1.0,True
core_leveraged,TARK,ARKK,0.059830112091761645,0.08863720309890613,479.0,500.0,0.016421516801473905,0.12286082680111973,0.046780825346549634,0.0002559107554658088,0.0006451613905259064,0.059184950701235736,1.0,True
core_leveraged,BITX,IBIT,0.045704028612000576,0.06770967201777862,479.0,500.0,0.17014358798308754,0.07301989067273439,0.8155347158896349,0.004461317296260643,0.003983405446304325,0.041720623165696254,1.0,True
core_leveraged,BITU,IBIT,0.045064354579345635,0.06676200678421575,479.0,500.0,0.1479567374364543,0.07301989067273439,0.7091883817637028,0.0038795581993319723,0.003569571473211268,0.041494783106134366,1.0,True
core_leveraged,BTCL,IBIT,0.04423089253195548,0.06552724819548959,479.0,456.0,0.15507177613779183,0.07751286519746291,0.700207914001915,0.003830431270246593,0.003558604859791977,0.04067228767216351,1.0,True
core_leveraged,BOEU,BA,0.040991676415175496,0.060728409503963694,479.0,259.0,0.055137942129139,0.07801059026916192,0.24738025540651984,0.001353273859095701,0.0016517162190598604,0.03933996019611564,1.0,True
whitelist_stock,FBYY,META,0.040000323720455574,0.20000161860227783,479.0,133.0,0.40896458880004594,0.22835535683184677,0.6268195678256754,0.025277688856890194,0.02429956087725486,0.015700762843200714,1.0,True
whitelist_stock,XBTY,IBIT,0.04000016231876648,0.20000081159383234,479.0,245.0,0.5034327013497057,0.2095203813519202,0.8409752041088587,0.0339139213850061,0.03200194649697907,0.007998215821787405,1.0,True
whitelist_stock,COYY,COIN,0.04000001917119384,0.20000009585596917,479.0,193.0,0.37206943632985867,0.24930004410053577,0.5223597259490844,0.02106514745497473,0.020916567916075286,0.019083451255118556,1.0,True
whitelist_stock,MTYY,MSTR,0.0400000062250238,0.20000003112511897,479.0,154.0,0.5268152234296178,0.26215984416513377,0.7033316974518128,0.028363185713946564,0.028911070477983636,0.011088935747040167,1.0,True
core_leveraged,GOOX,GOOGL,0.03299285000691826,0.04887829630654557,479.0,500.0,0.07731011660228165,0.07788420000324313,0.34742015466130294,0.0019005341095372464,0.0021056513078124284,0.030887198699105833,1.0,True
whitelist_stock,SMYY,SMCI,0.02668412850682378,0.13342064253411887,479.0,149.0,0.5259728418098171,0.27152227942055723,0.6779940674713497,0.02734139769089735,0.02818532474911626,-0.001501196242292481,1.0,True
core_leveraged,NVDU,NVDA,0.02554063547973037,0.03783797848848943,479.0,500.0,0.07708896070734375,0.07301989067273439,0.3695039255604509,0.002021341608175182,0.0021933935726427215,0.023347241907087646,1.0,True
inverse_decay_bucket4,PLTZ,PLTR,0.025000274339863213,0.2000021947189057,479.0,228.0,0.5773543754002757,0.24312271177557493,0.8311606509910509,0.016350214334803055,0.016689834333268587,0.008310440006594626,1.0,True
inverse_decay_bucket4,ETHD,ETHA,0.025000059147828425,0.2000004731826274,426.0,447.0,1.091930516281309,0.2776095867659333,1.3766660047683794,0.027081147571845723,0.02500000001115835,5.913667007473311e-08,1.0,True
inverse_decay_bucket4,CONI,COIN,0.025000049827877912,0.2000003986230233,479.0,417.0,0.528876145905843,0.4054560473911004,0.4565393764826309,0.008980834991247355,0.010755094336914666,0.014244955490963246,1.0,True
