etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-1.0,1.0
CLSZ,CLSK,-2.057321,1.0
CONI,COIN,-1.0,1.0
CRCD,CRCL,-2.011035,1.0
CORD,CRWV,-2.001825,1.0
DXD,DIA,-1.988299,1.0
SDOW,DIA,-2.988009,1.0
BTCZ,IBIT,-1.992842,1.0
TWM,IWM,-2.002629,1.0
TZA,IWM,-2.990856,1.0
LITZ,LITE,-1.0,1.0
MSTZ,MSTR,-1.982383,1.0
NBIZ,NBIS,-1.0,1.0
NVDS,NVDA,-1.448297,1.0
QBTZ,QBTS,-1.0,1.0
QID,QQQ,-1.992713,1.0
SNDQ,SNDK,-1.0,1.0
TSXD,SOXX,-1.902367,1.0
SSPC,SPCX,-1.0,1.0
HIBS,SPY,-4.473181,1.0
SPXS,SPY,-2.898468,1.0
SPXU,SPY,-2.891351,1.0
TBT,TLT,-1.980311,1.0
TBX,TLT,-0.426229,1.0
TMV,TLT,-2.962662,1.0
SCO,USO,-1.506257,1.0
DUG,XLE,-1.974232,1.0
SKF,XLF,-2.00155,1.0
FNGD,XLK,-2.838595,1.0
REW,XLK,-1.998282,1.0
TECS,XLK,-2.961884,1.0
TTXD,XLK,-1.848609,1.0
WEBS,XLK,-2.234466,1.0
DRIP,XOP,-1.999481,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
