symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,20856.782690818,20856.782690818,1
SVIX,SVIX,volatility_etp_bucket5,-22091.64,22091.64,1
