underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
NVTS,"NVTS, NVTX",10413.092298399999,110069.46770159999,2
MSTR,"MSTR, MSTU, MSTX, MTYY",3654.096931760003,59205.50306824,4
IONQ,"IONL, IONQ, IONX, IOYY, QPUX",3243.0853092304988,65381.9146907695,5
CVNA,CVNA,3012.4,3012.4,1
MARA,"MAAY, MARA",3011.608778073998,33495.771221926,2
GDX,"GDX, GDXU, NUGT",2885.0227519200034,31717.57724808,3
RCAT,"RCAT, RCAX",2650.9744200799996,28655.025579920002,2
FLY,"FLY, FLYT",2362.524991,19327.975009,2
ASTS,"ASTS, ASTX",2284.9047290400013,21118.15527096,2
HOOD,"HODU, HOOD, HOOG, HOOX, ROBN",2207.1784873935976,33312.0215126064,5
SOFI,"SOFA, SOFI, SOFX",2131.2503096919986,23821.149690308,3
ONDS,"ONDG, ONDS",2078.3256694400006,26099.75433056,2
TER,"TER, TERG",2028.0088680000008,22942.551132,2
MSFT,"MSFT, MSFU, MSFX",2003.6749317200047,61693.805068279995,3
RDW,"RDW, RDWU",1709.7771375000007,9349.4228625,2
META,"FBL, FBYY, META",1683.1160058599999,36162.30399414,3
RBLX,"RBLU, RBLX",1664.6810443499999,10893.79895565,2
QUBT,"QUBT, QUBX",1540.377180329997,51697.62281967,2
CRDO,"CRDO, CRDU",1400.4059308800024,35691.954069119995,2
PLTR,"PLTA, PLTR, PLTU, PTIR",1379.0980796000022,65210.58192040001,4
XRPZ,"UXRP, XRPT, XRPZ, XXRP",1322.171368440002,50992.18863156,4
MRNA,"MRNA, MRNX",1311.7486933744995,13918.8513066255,2
QBTS,"QBTS, QBTX, QBY",1306.040721110001,38441.95927889,3
EOSE,"EOSE, EOSU",1290.881596273599,19137.878403726398,2
NFLX,"NFLU, NFLX",1201.5195443400007,57233.320455659996,2
COPX,"COPX, COPZ",1106.2549439931008,14377.0450560069,2
IBIT,"BITU, BITX, BTCL, IBIT, XBTY",1002.3845398799949,83623.21546012,5
HIMS,"HIMS, HIMZ, HMYY",948.803951039999,25339.47604896,3
CIFR,"CIFG, CIFR",946.9765770758004,18553.123422924204,2
RKLB,"RKLB, RKLX",866.9501208000011,12785.7498792,2
BLSH,"BLSG, BLSH",858.541651374002,18677.458348625998,2
RKT,"RKT, RKTL",817.8999840000006,13360.220016,2
KLAC,"KLAC, KLAG",809.6196713328009,23176.8603286672,2
HUT,"HUT, HUTG",806.4433442119989,28863.956655788,2
ETHA,"ETHA, ETHT, ETHU, ETU",786.8771896899962,71288.24281031,4
RGTI,"RGTI, RGTX",735.7493708799993,18415.65062912,2
LEU,"LEU, LEUX",689.7445479999988,22071.455452,2
SNOW,"SNOU, SNOW",664.63967151,15198.46032849,2
CORZ,"CORZ, COZX",636.0992284700005,27680.10077153,2
FCX,"FCX, FCXG",573.7806495721,4538.6593504279,2
FIGR,"FGRU, FIGR",571.0707536009995,27107.649246399,2
CMG,"CMG, CMGG",549.36681288,12946.19318712,2
BA,"BA, BOEG, BOEU",545.9153326712003,36632.4846673288,3
UPST,"UPST, UPSX",526.3761989999994,11984.823800999999,2
PONY,"PONX, PONY",526.0274572000008,16113.972542799998,2
NU,"NU, NUG",520.0909996680011,15367.429000331998,2
GRAB,"GRAB, GRAG",501.61892340200075,8642.501076598,2
OPEN,"OPEG, OPEN, OPEX",445.48447794899766,59698.635522051,3
PLUG,"PLUG, PLUL",436.50704977499845,35840.192950225,2
BMNR,"BMNG, BMNR, BMNU",394.47640307000074,40673.10359693,3
OKLO,"OKLL, OKLO",386.9382820799983,16900.26171792,2
IREN,"IRE, IREG, IREN, IREX",385.552194999997,50677.807805,4
UBER,"UBER, UBRL",364.3491618367989,17230.9908381632,2
KTOS,"KTOS, KTUP",331.0550473599999,3013.1649526399997,2
NOW,"NOW, NOWL",328.50284379999994,3350.2971562000002,2
USAR,"USAR, USGG",312.5878024800004,34118.09219752,2
SOEZ,"SOEZ, SOLT",288.74441391000073,16828.29558609,2
EWW,"EWW, MEXX",259.50792432000026,5641.192075680001,2
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU, NVYY",247.6539639787959,82320.0260360212,6
AVAV,"AVAV, AVXX",236.72816578599986,4810.551834214,2
FXI,"FXI, YINN",219.38557199999923,19590.714428,2
NIO,"NIO, NIOG",213.68318940160043,5261.4568105984,2
UEC,"UEC, UECG",209.41530609350048,17752.424693906498,2
XPEV,"XPEG, XPEV",199.7125406908001,3603.5274593092,2
GDXJ,"GDXJ, JNUG",196.72421200000008,3648.335788,2
TEM,"TEM, TEMT",186.46779380000044,18900.552206200002,2
SBET,"SBET, SBTU",181.13122999999905,19425.16877,2
CRM,"CRM, CRMG",179.05760714999815,19481.82239285,2
LMND,"LMND, LMNX",171.98525233199996,1259.314747668,2
URA,"URA, URAA",166.59262608000245,17907.50737392,2
SATS,"SATG, SATS",158.84321908000084,8264.95678092,2
BABA,"BABA, BABX",138.07186187000116,15587.78813813,2
KEEL,"KEEL, KEEX",128.67554091049715,31961.824459089505,2
BULL,"BULG, BULL",116.12966303999974,7053.870336960001,2
ACHR,"ACHR, ARCX",115.81400566399861,12439.705994336,2
AAL,"AAL, AALG",113.74904545280015,4870.0709545472,2
IWM,"IWM, URTY",107.99661177999997,2670.80338822,2
NEM,"NEM, NEMG",105.17953043999955,3578.04046956,2
QS,"QS, QSU",96.11636783999984,8057.34363216,2
FIG,"FIG, FIGG",85.8805780288003,11810.2794219712,2
DJT,"DJT, DJTU",79.00462975999983,1576.9953702399998,2
DNN,"DNN, DNNG",78.94398201599961,5057.216017984,2
SPOT,"SPOG, SPOT",74.96561261000033,3431.1143873899996,2
KWEB,"CWEB, KWEB",65.1634971400008,15316.25650286,2
ZETA,"ZETA, ZETX",64.49548410000034,5251.9845159,2
LCID,"LCDL, LCID",61.42643850000002,1316.7135615000002,2
APH,"APH, APHU",53.181579707999845,5023.898420292,2
AI,"AI, AIYY",32.53206078000005,1645.50793922,2
MP,"MP, MPG",31.716768000000684,7912.283232,2
JOBY,"JOBX, JOBY",27.327763199999936,2471.1922368,2
DELL,"DELL, DLLL",23.38205169039975,9288.7779483096,2
AAPL,"AAPB, AAPL",23.366559879996203,34303.55344012,2
CLS,"CLS, CSEX",5.871707499999502,13457.488292500002,2
