underlying,pnl_total,pnl_share_b1,pnl_share_b2,pnl_share_b4,exp_net_total,exp_share_b1,exp_share_b2,exp_share_b4,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,diff_exp_b1,diff_exp_b2,diff_exp_b4,diff_pnl_b1,diff_pnl_b2,diff_pnl_b4,max_diff
IREN,629.4969,1.0,0.0,0.0,25531.679999999997,0.9848990667672477,0.0,0.0,0.9848990667672477,0.0,0.0,0.0,0.0,0.0,0.0151009332327523,0.0,0.0,0.0151009332327523
OPEN,-513.05573394,1.0,0.0,0.0,30072.059999999998,0.9851861003885667,0.0,0.0,0.9851861003885667,0.0,0.0,0.0,0.0,0.0,0.014813899611433312,0.0,0.0,0.014813899611433312
FIG,-3064.185767,1.0,0.0,0.0,5948.08,0.9855616303027531,0.0,0.0,0.9855616303027531,0.0,0.0,0.0,0.0,0.0,0.014438369697246878,0.0,0.0,0.014438369697246878
KWEB,-696.5217000000002,1.0,0.0,0.0,7690.71,0.9915269855266938,0.0,0.0,0.9915269855266938,0.0,0.0,0.0,0.0,0.0,0.008473014473306173,0.0,0.0,0.008473014473306173
MP,418.70310525,1.0,0.0,0.0,3972.0,0.9920149123867068,0.0,0.0,0.9920149123867068,0.0,0.0,0.0,0.0,0.0,0.007985087613293196,0.0,0.0,0.007985087613293196
NVDA,2469.8350523,1.0,0.0,0.0,41283.84,0.9923406513971618,0.0,0.0,0.9923406513971618,0.0,0.0,0.0,0.0,0.0,0.007659348602838234,0.0,0.0,0.007659348602838234
DELL,1126.030972,1.0,0.0,0.0,4656.08,0.9949781679673889,0.0,0.0,0.9949781679673889,0.0,0.0,0.0,0.0,0.0,0.005021832032611084,0.0,0.0,0.005021832032611084
SHOP,-48.569614,1.0,0.0,0.0,2423.45,0.9984285343951808,0.0,0.0,0.9984285343951808,0.0,0.0,0.0,0.0,0.0,0.0015714656048192444,0.0,0.0,0.0015714656048192444
AAPL,1808.39732607,1.0,0.0,0.0,17163.46,0.9986385868653526,0.0,0.0,0.9986385868653526,0.0,0.0,0.0,0.0,0.0,0.0013614131346474379,0.0,0.0,0.0013614131346474379
CLS,819.517153,1.0,0.0,0.0,6731.68,0.9991277500564496,0.0,0.0,0.9991277500564496,0.0,0.0,0.0,0.0,0.0,0.0008722499435503961,0.0,0.0,0.0008722499435503961
BE,4811.721715,1.0,0.0,0.0,15297.92,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEG,774.5407009999999,1.0,0.0,0.0,11557.800000000001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,-879.368436,1.0,0.0,0.0,9025.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASML,-21.259203999999954,1.0,0.0,0.0,8317.26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1075.06837825,1.0,0.0,0.0,3252.16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBAI,1867.384665,1.0,0.0,0.0,13681.77,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
