symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,3110.815888,0.0,0.0,-30.14,-56.29,1.2330049015365723,0.0,0.0,3025.618892901537
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,3084.03661,0.0,0.0,0.0,-392.26,28.404748643947162,0.0,0.0,2720.181358643947
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,2146.465835,0.0,0.0,-32.54,-141.64000000000001,5.391101376923156,0.0,0.0,1977.676936376923
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1922.027687,0.0,0.0,-74.0,-40.02,7.863917891788382,0.0,0.0,1815.8716048917884
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,1072.051913,0.0,0.0,0.0,-79.24,11.216656603775462,0.0,0.0,1004.0285696037755
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,1242.554206,0.0,0.0,0.0,-270.04,10.08092580166755,0.0,0.0,982.5951318016677
SDS,PROSHARES ULTRASHORT S&P500,0.0,919.55656,0.0,0.0,-84.78999999999999,-84.15,16.539628983579686,0.0,0.0,767.1561889835797
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,511.811216,0.0,0.0,-46.84,-97.59,9.993428615540243,0.0,0.0,377.37464461554026
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TSYY,GRANITE YIELDBOOST TSLA ETF,0.49581973,22.752349,0.0,0.0,-20.580000000000002,-2.16,0.43420633313671225,0.0,0.0,0.94237506313671
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,17.122057,0.0,0.0,-161.57,-61.72,2.0505219273646573,0.0,0.0,-44.23290612263531
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,23.719335,0.0,0.0,-171.68,-8.97,0.5893993619961785,0.0,0.0,-51.917403378003804
EWV,PROSHARES ULTSHRT MSCI JAPAN,-379.67922922,189.657545,0.0,0.0,-18.34,-25.06,4.944271687372036,0.0,0.0,-228.477412532628
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-3486.655048,0.0,0.0,-131.54000000000002,-369.85,25.17146772391112,0.0,0.0,-3966.2795385760887
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-3517.557632,0.0,0.0,0.0,-577.22,22.29154796468129,0.0,0.0,-4072.486084035319
