symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,18684.92583276,18684.92583276,1
SVIX,SVIX,volatility_etp_bucket5,-22139.18,22139.18,1
