symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,18378.3581819838,18378.3581819838,1
DUST,flow_program,16160.503224320002,16160.503224320002,1
ZSL,flow_program,14483.930057999998,14483.930057999998,1
SDS,flow_program,10636.37551306,10636.37551306,1
FAZ,flow_program,9674.897983140001,9674.897983140001,1
SQQQ,flow_program,7617.8663218,7617.8663218,1
TSLQ,flow_program,7278.399349639999,7278.399349639999,1
NVDQ,flow_program,6495.7907564550005,6495.7907564550005,1
LABD,flow_program,5227.28067978,5227.28067978,1
EWV,flow_program,3188.3454864,3188.3454864,1
SOXS,flow_program,1195.31411316,1195.31411316,1
TSYY,flow_program,-67.66058046,67.66058046,1
NVYY,flow_program,-94.817184,94.817184,1
TQQY,flow_program,-466.21260946499996,466.21260946499996,1
