cagr,total_return,max_drawdown,sharpe,pair,run
-0.36591578403519054,-0.7178966952290018,-0.7332722215937968,-1.3762900927200772,UVIX/SVIX,v6_dynamic
-0.3655571090064963,-0.717453210963667,-0.7324751710025332,-1.3750840415488053,UVIX/SVIX,static_h_0.5
-0.3710136202648854,-0.724151825370387,-0.7524314632825935,-1.3180078599323637,UVIX/SVIX,static_h_1
-0.31861908998424604,-0.6554959445451827,-0.7415441843979264,-1.188553926008367,MSTZ/MSTR,v6_dynamic
-0.31775640975861985,-0.6542830016353505,-0.7409238524102162,-1.1836454065806212,MSTZ/MSTR,static_h_0.5
-0.2274351834162065,-0.5116759342440824,-0.653558302720828,-0.7177274031305458,MSTZ/MSTR,static_h_1
-0.25396771132309304,-0.5568518336759736,-0.6639851894898722,-0.9180207888728954,ETHD/ETHA,v6_dynamic
-0.2541071330298461,-0.5570818438672627,-0.6643110505156133,-0.9178331396301629,ETHD/ETHA,static_h_0.5
-0.22585930617917982,-0.5089040171977743,-0.6369143251863121,-0.7391271144128883,ETHD/ETHA,static_h_1
-0.6103932883000909,-0.9270792387323965,-0.9307793812750633,-2.9691036724598585,CRCD/CRCL,v6_dynamic
-0.6104389698085403,-0.9271029862071917,-0.9308782850803086,-2.9716576653739706,CRCD/CRCL,static_h_0.5
-0.5700566325214269,-0.9041266446576831,-0.9117991491669001,-2.412882801944167,CRCD/CRCL,static_h_1
-0.5663836097818027,-0.9018341912002578,-0.907576874275992,-2.2541158465448996,CORD/CRWV,v6_dynamic
-0.5663970758138857,-0.9018426591781387,-0.907572278904266,-2.25339074536529,CORD/CRWV,static_h_0.5
-0.510041233856906,-0.862173720106856,-0.8728594873736413,-1.9399142600386645,CORD/CRWV,static_h_1
-0.19176954120611012,-0.44645444229124653,-0.5706451989409216,-0.6254804854061682,APLZ/APLD,v6_dynamic
-0.19728947514147643,-0.4568922593983967,-0.5786499961215159,-0.6502213939202152,APLZ/APLD,static_h_0.5
-0.16765103660399494,-0.39934343166269504,-0.5520050943883843,-0.47806621381613107,APLZ/APLD,static_h_1
-0.48601307133901583,-0.842569419889923,-0.8491729932797542,-1.9793174094387593,BEZ/BE,v6_dynamic
-0.4817041072612688,-0.8388759147953366,-0.8456395193802788,-1.9543024298274623,BEZ/BE,static_h_0.5
-0.2814251607328364,-0.60068913344747,-0.6281350752493569,-0.8657860823356609,BEZ/BE,static_h_1
-0.22018666028574507,-0.49884270578082623,-0.6798360735864319,-0.7416664086724041,NBIZ/NBIS,v6_dynamic
-0.2173332104762411,-0.49373221333592854,-0.6785435975262939,-0.7288610813452312,NBIZ/NBIS,static_h_0.5
-0.16977625276074182,-0.40359388511305627,-0.6800483981348926,-0.4725996288429519,NBIZ/NBIS,static_h_1
-0.34361435654834294,-0.6894664432385671,-0.7379149968756478,-1.2998281678242658,SMZ/SMR,v6_dynamic
-0.34204251280393605,-0.6873963954498257,-0.7363638409994846,-1.2915994789562744,SMZ/SMR,static_h_0.5
-0.2739667926421978,-0.5890698433164953,-0.6468450939063092,-0.9078644480624122,SMZ/SMR,static_h_1
-0.3516074873474172,-0.6998573219577116,-0.7149544754854403,-1.3692833267588074,CLSZ/CLSK,v6_dynamic
-0.3490809701170513,-0.6965973589123828,-0.7118801847860696,-1.3553202724693685,CLSZ/CLSK,static_h_0.5
-0.3689257140932991,-0.721600780998617,-0.7364988727046862,-1.3432926917412797,CLSZ/CLSK,static_h_1
-0.4985989289673983,-0.8530460478792146,-0.8700817100087304,-2.157438764530372,IREZ/IREN,v6_dynamic
-0.4975925383359887,-0.8522252529751435,-0.8692908464475253,-2.14888549611392,IREZ/IREN,static_h_0.5
-0.4706327236253317,-0.8291328456156777,-0.8563694598706932,-1.8054758548293726,IREZ/IREN,static_h_1
