date,a_px,b_px,cash,a_shares,b_shares,equity,h_used,rebalance,beta_notional,ret,cum_return,drawdown,beta_exposure_frac
2022-03-31,49.03800078393254,52.04384807363155,200000.0,-1018.0148134168302,-962.2383938781668,100000.0,0.5,True,50078.58878161056,0.0,0.0,0.0,0.5007858878161056
2022-04-01,46.696365470679154,51.15954509649969,199856.51174067237,-1018.0148134168302,-962.2383938781668,103091.24145360134,0.5,False,46146.84927401208,0.030912414536013344,0.030912414536013344,0.0,0.44763113357968015
2022-04-04,47.369642599618025,50.89673579920338,199710.95464017687,-1018.0148134168302,-962.2383938781668,102513.16345843795,0.5,False,47774.862653881515,-0.005607440428618382,0.025131634584379503,-0.005607440428618382,0.46603637076570115
2022-04-05,49.98803072724568,49.58108319615428,199557.35177528643,-1018.0148134168302,-962.2383938781668,100959.9741400074,0.5,False,54388.73492204438,-0.015151120753972847,0.009599741400073913,-0.0206736021755366,0.5387158166920702
2022-04-06,51.796500951253655,50.86517054699266,199398.19185596844,-1018.0148134168302,-962.2383938781668,97724.16659295603,0.5,False,56846.828815861976,-0.032050399919517414,-0.0227583340704397,-0.052061404877551065,0.5817069697062989
2022-04-07,51.50555421290236,53.646497490851495,199239.92595571643,-1018.0148134168302,-962.2383938781668,95185.78921095215,0.5,False,53576.28796903938,-0.025974919720490597,-0.04814210789047846,-0.07668403378581123,0.5628601539490609
2022-04-08,51.55817507873309,51.37598053644935,199081.4983624426,-1018.0148134168302,-962.2383938781668,97158.57138424489,0.5,False,55868.541521202744,0.02072559559201248,-0.02841428615755115,-0.05754776046640764,0.5750243208111057
2022-04-11,52.75736796878875,50.97405138066948,198919.38589779477,-1018.0148134168302,-962.2383938781668,96162.41445868668,0.5,False,58704.572792161576,-0.010252898034272095,-0.038375855413133264,-0.06721062718051707,0.6104731575493276
2022-04-12,54.3017600702614,52.65368375359194,198752.527836094,-1018.0148134168302,-962.2383938781668,92807.13560313612,0.5,False,60242.694341172246,-0.03489179087731886,-0.07192864396863874,-0.09975731890951978,0.6491170527962781
2022-04-13,53.880479303457385,50.82368900698473,198586.96428293386,-1018.0148134168302,-962.2383938781668,94831.33331697086,0.5,False,61143.144829749406,0.021810798282695165,-0.05168666683029133,-0.08012230738678261,0.6447567770177848
2022-04-14,53.96969526052162,51.59009324097954,198421.12658761608,-1018.0148134168302,-962.2383938781668,93837.20887658796,0.5,False,60587.899495813486,-0.010483079859903155,-0.06162791123412037,-0.08976545869979047,0.6456703073457457
2022-04-15,54.42034431468926,53.2323592283137,198253.9041410934,-1018.0148134168302,-962.2383938781668,91630.96763129716,0.5,False,59928.071793828574,-0.023511369015593697,-0.08369032368702845,-0.11116631889103934,0.6540154856267145
2022-04-18,55.22330014675754,53.3792550333123,198084.2143776072,-1018.0148134168302,-962.2383938781668,90502.50815277672,0.5,False,61426.71217309524,-0.012315263144018207,-0.09497491847223283,-0.12211253956516255,0.6787293902330441
2022-04-19,55.08393193907444,54.16195716840697,197914.9528637572,-1018.0148134168302,-962.2383938781668,89721.97949350899,0.5,False,60388.914916422305,-0.00862438704958457,-0.10278020506491015,-0.12968378080992948,0.6730671264424253
2022-04-20,54.962763361483546,56.644864169206464,197746.0636758497,-1018.0148134168302,-962.2383938781668,87287.29326791147,0.5,False,57752.286914198485,-0.027135895121146447,-0.1271270673208853,-0.1533005904561039,0.6616345260808925
2022-04-21,56.93736103718502,59.51997605626408,197571.10695826396,-1018.0148134168302,-962.2383938781668,82335.62382150086,0.5,False,59018.741277083915,-0.056728410986607414,-0.17664376178499142,-0.20133250254282786,0.716806875782387
2022-04-22,58.73229535559186,59.47540156045945,197390.63477928506,-1018.0148134168302,-962.2383938781668,80370.77320852454,0.5,False,62727.678336291596,-0.023863918456924704,-0.19629226791475463,-0.22039183857634204,0.7804787217057454
2022-04-25,59.48504975121915,58.73603141974056,197207.84954195906,-1018.0148134168302,-962.2383938781668,80133.12318227213,0.5,False,64976.58441055082,-0.0029569209896216364,-0.19866876817727874,-0.22269707831253593,0.8108580051566692
2022-04-26,62.147012216025146,57.44648730498495,197016.8846453251,-1018.0148134168302,-962.2383938781668,78473.08992152358,0.5,False,71654.33206097898,-0.020715943605150722,-0.21526910078476413,-0.23879964180233237,0.9131070553311504
2022-04-27,61.598751285137965,58.913953414042176,196827.60444097582,-1018.0148134168302,-962.2383938781668,77429.89523458527,0.5,False,69122.48973720032,-0.013293661406496793,-0.22570104765414722,-0.2489187816267162,0.8927106194291436
2022-04-28,64.20081691865364,56.97334766881086,196630.32862787528,-1018.0148134168302,-962.2383938781668,76451.00341652505,0.5,False,76304.3781971925,-0.012642298108431205,-0.23548996583474946,-0.2584141742930349,0.9980821020944134
2022-04-29,65.12957983044357,56.66004126962093,196430.1989187124,-1018.0148134168302,-962.2383938781668,75606.85475135615,0.5,False,78502.796226501,-0.011041695039236576,-0.24393145248643855,-0.2666025388259117,1.0383026312186714
2022-05-02,70.73598848873874,56.851151045219424,196212.84187694348,-1018.0148134168302,-962.2383938781668,69498.19748184807,0.5,False,89769.65673368375,-0.08079501904420261,-0.3050180251815193,-0.32585740066844204,1.2916832376426783
2022-05-03,68.71327597409378,56.18565101213285,196001.7002117873,-1018.0148134168302,-962.2383938781668,71986.57680284715,0.5,False,86278.75733450628,0.035804947626864925,-0.28013423197152854,-0.30171976020633706,1.198539521761144
