ticker,expense_ratio,expense_ratio_raw,source_url,ok
GEMG,0.0075,0.75%,https://etfdb.com/etf/GEMG/,True
GEVG,0.0075,0.75%,https://etfdb.com/etf/GEVG/,True
GEVX,0.013000000000000001,1.30%,https://etfdb.com/etf/GEVX/,True
GGLL,0.009899999999999999,0.99%,https://etfdb.com/etf/GGLL/,True
GLGG,0.0075,0.75%,https://etfdb.com/etf/GLGG/,True
GLXU,0.015,1.50%,https://etfdb.com/etf/GLXU/,True
GMEU,0.015,1.50%,https://etfdb.com/etf/GMEU/,True
GOOX,0.0105,1.05%,https://etfdb.com/etf/GOOX/,True
GOU,0.0115,1.15%,https://etfdb.com/etf/GOU/,True
GRAG,0.0075,0.75%,https://etfdb.com/etf/GRAG/,True
GSX,0.013000000000000001,1.30%,https://etfdb.com/etf/GSX/,True
HMYY,0.010700000000000001,1.07%,https://etfdb.com/etf/HMYY/,True
HOOG,0.0075,0.75%,https://etfdb.com/etf/HOOG/,True
HOYY,0.010700000000000001,1.07%,https://etfdb.com/etf/HOYY/,True
INTW,0.015,1.50%,https://etfdb.com/etf/INTW/,True
IONL,0.015,1.50%,https://etfdb.com/etf/IONL/,True
IOYY,0.010700000000000001,1.07%,https://etfdb.com/etf/IOYY/,True
IREG,0.0075,0.75%,https://etfdb.com/etf/IREG/,True
IREX,0.013000000000000001,1.30%,https://etfdb.com/etf/IREX/,True
ISUL,0.015,1.50%,https://etfdb.com/etf/ISUL/,True
IWML,0.0095,0.95%,https://etfdb.com/etf/IWML/,True
JOBX,0.013000000000000001,1.30%,https://etfdb.com/etf/JOBX/,True
KLAG,0.0075,0.75%,https://etfdb.com/etf/KLAG/,True
KTUP,0.015,1.50%,https://etfdb.com/etf/KTUP/,True
LABX,0.013000000000000001,1.30%,https://etfdb.com/etf/LABX/,True
LACG,0.0075,0.75%,https://etfdb.com/etf/LACG/,True
LCDL,0.0115,1.15%,https://etfdb.com/etf/LCDL/,True
LMTL,0.0097,0.97%,https://etfdb.com/etf/LMTL/,True
LRCU,0.013000000000000001,1.30%,https://etfdb.com/etf/LRCU/,True
LULG,0.0075,0.75%,https://etfdb.com/etf/LULG/,True
LYFX,0.013000000000000001,1.30%,https://etfdb.com/etf/LYFX/,True
MAAY,0.010700000000000001,1.07%,https://etfdb.com/etf/MAAY/,True
MDBX,0.013000000000000001,1.30%,https://etfdb.com/etf/MDBX/,True
METU,0.0106,1.06%,https://etfdb.com/etf/METU/,True
MPG,0.0075,0.75%,https://etfdb.com/etf/MPG/,True
MRAL,0.015,1.50%,https://etfdb.com/etf/MRAL/,True
MSFL,0.0115,1.15%,https://etfdb.com/etf/MSFL/,True
MSFU,0.009899999999999999,0.99%,https://etfdb.com/etf/MSFU/,True
MSFX,0.0105,1.05%,https://etfdb.com/etf/MSFX/,True
MSOO,0.0075,0.75%,https://etfdb.com/etf/MSOO/,True
MSTP,,,https://etfdb.com/etf/MSTP/,False
MSTU,0.0105,1.05%,https://etfdb.com/etf/MSTU/,True
MSTX,0.0131,1.31%,https://etfdb.com/etf/MSTX/,True
MTYY,0.010700000000000001,1.07%,https://etfdb.com/etf/MTYY/,True
MULL,0.015,1.50%,https://etfdb.com/etf/MULL/,True
MUU,0.0106,1.06%,https://etfdb.com/etf/MUU/,True
MVLL,0.015,1.50%,https://etfdb.com/etf/MVLL/,True
NBIG,0.0075,0.75%,https://etfdb.com/etf/NBIG/,True
NBIL,0.015,1.50%,https://etfdb.com/etf/NBIL/,True
NEBX,0.013000000000000001,1.30%,https://etfdb.com/etf/NEBX/,True
NEMG,0.0075,0.75%,https://etfdb.com/etf/NEMG/,True
NETG,0.0075,0.75%,https://etfdb.com/etf/NETG/,True
NETX,0.013000000000000001,1.30%,https://etfdb.com/etf/NETX/,True
NFLU,0.0105,1.05%,https://etfdb.com/etf/NFLU/,True
NFXL,,,https://etfdb.com/etf/NFXL/,False
NIOG,0.0075,0.75%,https://etfdb.com/etf/NIOG/,True
NNEX,0.013000000000000001,1.30%,https://etfdb.com/etf/NNEX/,True
NOWL,0.015,1.50%,https://etfdb.com/etf/NOWL/,True
NUG,0.0075,0.75%,https://etfdb.com/etf/NUG/,True
NUGY,0.010700000000000001,1.07%,https://etfdb.com/etf/NUGY/,True
NVDB,0.0095,0.95%,https://etfdb.com/etf/NVDB/,True
NVDG,0.0075,0.75%,https://etfdb.com/etf/NVDG/,True
NVDL,0.0105,1.05%,https://etfdb.com/etf/NVDL/,True
NVDO,0.0075,0.75%,https://etfdb.com/etf/NVDO/,True
NVDU,0.0097,0.97%,https://etfdb.com/etf/NVDU/,True
NVDX,0.0105,1.05%,https://etfdb.com/etf/NVDX/,True
NVTX,0.013000000000000001,1.30%,https://etfdb.com/etf/NVTX/,True
NVYY,,,https://etfdb.com/etf/NVYY/,False
NWMX,,,https://etfdb.com/etf/NWMX/,False
OKTG,,,https://etfdb.com/etf/OKTG/,False
OKTX,0.013000000000000001,1.30%,https://etfdb.com/etf/OKTX/,True
