symbol,qty,avg_cost,last,unrealized_pnl,realized_pnl,symbol_raw
AAPB,-162.0,27.814,28.91,-146.0,0.0,AAPB
AAPL,67.0,251.748,259.85,542.0,0.0,AAPL
AAPU,-161.0,29.501,30.08,-86.0,0.0,AAPU
ALAB,71.0,148.25,127.29,-1475.0,0.0,ALAB
AMD,130.0,230.197,207.5,-2952.0,0.0,AMD
AMDG,-197.0,26.926,22.37,855.0,0.0,AMDG
AMDL,-335.0,15.014,13.32,566.0,0.0,AMDL
AMUU,-95.0,52.286,46.63,524.0,0.0,AMUU
AMZN,88.0,238.953,198.28,-3588.0,0.0,AMZN
AMZU,-196.0,29.536,25.08,881.0,0.0,AMZU
AMZZ,-198.0,27.103,22.63,887.0,0.0,AMZZ
APP,6.0,556.351,377.07,-1070.0,0.0,APP
APPX,-132.0,23.517,8.96,1914.0,0.0,APPX
ASML,6.0,1416.169,1425.7,57.0,0.0,ASML
AVGG,-189.0,22.972,23.5,-87.0,0.0,AVGG
AVGO,54.0,325.407,328.4,157.0,0.0,AVGO
AVL,-116.0,38.789,38.02,68.0,0.0,AVL
BA,74.0,246.182,244.83,-100.0,0.0,BA
BABA,57.0,169.646,157.44,-690.0,0.0,BABA
BABX,-117.0,43.679,39.57,451.0,0.0,BABX
BITU,-370.0,16.247,12.49,1429.0,0.0,BITU
BITX,-292.0,20.174,15.76,1327.0,0.0,BITX
BLSH,283.0,34.676,32.68,-536.0,0.0,BLSH
BLSX,-605.0,8.837,7.3,698.0,0.0,BLSX
BOEG,-245.0,19.095,18.72,89.0,0.0,BOEG
BOEU,-96.0,47.714,47.72,27.0,0.0,BOEU
BRK-B,70.0,206.724,495.95,20251.0,0.0,BRK B
BRKC,-96.0,43.738,44.38,-26.0,0.0,BRKC
BRKU,-122.0,23.291,23.89,-75.0,0.0,BRKU
BTCL,-284.0,20.831,16.31,1299.0,0.0,BTCL
CEG,32.0,297.449,285.51,-387.0,0.0,CEG
CEGX,-272.0,19.004,17.2,457.0,0.0,CEGX
CELH,201.0,49.381,45.44,-774.0,0.0,CELH
CELT,-440.0,12.575,10.47,755.0,0.0,CELT
CLS,6.0,295.488,282.58,-80.0,0.0,CLS
CORZ,514.0,17.792,18.06,143.0,0.0,CORZ
COST,9.0,993.186,1014.73,192.0,0.0,COST
COTG,-295.0,15.118,15.65,-169.0,0.0,COTG
COZX,-343.0,13.277,13.35,-72.0,0.0,COZX
CRM,47.0,214.668,192.36,-1041.0,0.0,CRM
CRMG,-671.0,8.455,6.89,1062.0,0.0,CRMG
CRWD,11.0,455.025,424.66,-333.0,0.0,CRWD
CRWL,-98.0,28.505,24.04,455.0,0.0,CRWL
CRWV,96.0,90.484,96.83,631.0,0.0,CRWV
CSEX,-61.0,16.961,14.41,156.0,0.0,CSEX
CWVX,-138.0,32.055,35.12,-368.0,0.0,CWVX
DKNG,119.0,33.109,21.9,-1332.0,0.0,DKNG
DKUP,-306.0,8.987,4.28,1355.0,0.0,DKUP
ELIL,-99.0,27.767,26.32,135.0,0.0,ELIL
ETHA,745.0,23.225,15.34,-5938.0,0.0,ETHA
ETHT,-77.0,39.231,15.28,1857.0,0.0,ETHT
ETHU,-205.0,30.679,22.5,1656.0,0.0,ETHU
FBL,-159.0,30.186,30.28,12.0,0.0,FBL
FBYY,-744.0,16.629,16.75,68.0,0.0,FBYY
GEV,11.0,807.258,808.11,15.0,0.0,GEV
GEVX,-99.0,45.896,46.11,-13.0,0.0,GEVX
GGLL,-53.0,97.619,91.17,342.0,0.0,GGLL
GOOGL,57.0,318.002,306.24,-671.0,0.0,GOOGL
GOOX,-69.0,65.686,65.37,13.0,0.0,GOOX
GS,10.0,911.219,893.0,-178.0,0.0,GS
GSX,-141.0,32.221,30.47,129.0,0.0,GSX
HOOD,86.0,107.554,76.33,-2684.0,0.0,HOOD
HOOW,-201.0,35.478,27.11,1645.0,0.0,HOOW
IBIT,835.0,45.75,38.86,-5752.0,0.0,IBIT
INTC,195.0,46.346,47.06,137.0,0.0,INTC
INTW,-76.0,61.985,62.07,15.0,0.0,INTW
IREG,-288.0,19.594,16.75,882.0,0.0,IREG
IREN,218.0,46.143,42.51,-774.0,0.0,IREN
KLAC,6.0,1492.278,1478.21,-92.0,0.0,KLAC
KLAG,-212.0,22.315,21.44,161.0,0.0,KLAG
LABX,-607.0,9.868,7.33,1567.0,0.0,LABX
LLY,5.0,1074.719,1056.76,-86.0,0.0,LLY
MAAY,-1206.0,10.327,9.42,819.0,0.0,MAAY
MARA,815.0,10.594,7.78,-2287.0,0.0,MARA
MARO,-525.0,7.948,5.81,1142.0,0.0,MARO
MDB,25.0,381.162,363.43,-439.0,0.0,MDB
MDBX,-95.0,55.149,49.17,515.0,0.0,MDBX
META,25.0,657.37,646.61,-264.0,0.0,META
MSFL,-245.0,21.452,18.27,787.0,0.0,MSFL
MSFT,73.0,443.291,402.72,-2966.0,0.0,MSFT
MSFU,-177.0,29.814,27.83,365.0,0.0,MSFU
MSFW,-111.0,37.439,30.41,765.0,0.0,MSFW
MSFX,-209.0,22.069,18.27,795.0,0.0,MSFX
MSTR,124.0,143.309,132.69,-1302.0,0.0,MSTR
MSTW,-504.0,9.584,7.53,1056.0,0.0,MSTW
MTYY,-5100.0,5.906,5.76,84.0,0.0,MTYY
MU,22.0,375.131,404.95,678.0,0.0,MU
MUU,-24.0,164.701,186.46,-516.0,0.0,MUU
NBIS,96.0,94.169,96.7,242.0,0.0,NBIS
NEBX,-144.0,31.577,32.91,-192.0,0.0,NEBX
NFLU,-215.0,24.439,21.06,744.0,0.0,NFLU
NFLX,235.0,86.076,76.23,-2312.0,0.0,NFLX
NFXL,-227.0,22.35,19.89,578.0,0.0,NFXL
NU,534.0,16.692,16.69,2.0,0.0,NU
NUG,-278.0,15.637,16.35,3.0,0.0,NUG
NVDA,189.0,185.933,183.55,-454.0,0.0,NVDA
NVDB,-166.0,27.303,26.24,153.0,0.0,NVDB
NVDG,-280.0,16.299,15.78,149.0,0.0,NVDG
NVDL,-56.0,84.36,83.0,80.0,0.0,NVDL
NVDU,-40.0,114.243,110.7,154.0,0.0,NVDU
OPEG,-277.0,10.139,4.98,1395.0,0.0,OPEG
OPEN,626.0,6.052,4.43,-1015.0,0.0,OPEN
PALU,-308.0,16.089,14.78,538.0,0.0,PALU
PANG,-504.0,9.869,8.88,537.0,0.0,PANG
PANW,106.0,176.966,167.96,-950.0,0.0,PANW
PLTA,-313.0,18.563,14.38,1285.0,0.0,PLTA
PLTR,246.0,148.695,131.1,-4318.0,0.0,PLTR
PLTU,-121.0,42.236,37.58,583.0,0.0,PLTU
PLTW,-182.0,31.52,24.21,1335.0,0.0,PLTW
PTIR,-331.0,17.552,13.68,1287.0,0.0,PTIR
QCMU,-262.0,20.164,17.14,782.0,0.0,QCMU
QCOM,65.0,150.804,139.24,-746.0,0.0,QCOM
SNOU,-166.0,31.975,27.0,843.0,0.0,SNOU
SNOW,50.0,209.6,181.06,-1429.0,0.0,SNOW
SOEZ,648.0,17.572,14.03,-2249.0,0.0,SOEZ
SOLT,-1839.0,3.538,2.46,1990.0,0.0,SOLT
TEM,174.0,58.311,52.1,-1081.0,0.0,TEM
TEMT,-552.0,10.196,8.34,1031.0,0.0,TEMT
TER,30.0,245.221,315.04,2114.0,0.0,TER
