ETF,Underlying,Leverage,ExpectedLeverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,2.0,1.782846416863692,884,ols
AMUU,AMD,2.0,2.0,2.0071037604188966,220,ols
AMZU,AMZN,2.0,2.0,1.7311990410620566,865,ols
AVL,AVGO,2.0,2.0,1.9870701254859318,338,ols
BITX,IBIT,2.0,2.0,2.0004360841763527,527,ols
BOEU,BA,2.0,2.0,1.9876767294420088,207,ols
BRKU,BRK-B,2.0,2.0,1.9513239941472633,296,ols
BULU,BULL,2.0,2.0,1.9767775953499769,138,ols
CSCL,CSCO,2.0,2.0,2.02752028749474,164,ols
ELIL,LLY,2.0,2.0,1.992772554524404,225,ols
ETHU,ETHA,2.0,2.0,2.0003070363352675,394,ols
FRDU,F,2.0,2.0,1.9789260864439795,145,ols
GGLL,GOOGL,2.0,2.0,1.749720594382429,864,ols
GMEU,GME,2.0,2.0,1.9659175810358285,205,ols
LMTL,LMT,2.0,2.0,1.9749599648337477,135,ols
METU,META,2.0,2.0,1.998626201076906,426,ols
MUU,MU,2.0,2.0,1.9952441134916745,339,ols
MSFU,MSFT,2.0,2.0,1.7237414236477673,864,ols
MSTX,MSTR,2.0,2.0,1.9510038863199348,377,ols
NVDU,NVDA,2.0,2.0,1.9025440915888299,609,ols
NFXL,NFLX,2.0,2.0,1.9952414888311822,343,ols
PLTU,PLTR,2.0,2.0,1.9917443723495722,295,ols
PALU,PANW,2.0,2.0,2.005710989473898,224,ols
QCMU,QCOM,2.0,2.0,2.000333143994061,164,ols
SHPU,SHOP,2.0,2.0,2.0122339765005677,135,ols
TSMX,TSM,2.0,2.0,1.9942899811463555,344,ols
TSLL,TSLA,2.0,2.0,1.7993817764867601,884,ols
XOMX,XOM,2.0,2.0,1.96224694686358,206,ols
XXRP,XRPZ,2.0,2.0,2.027245838363146,58,ols
MSTU,MSTR,2.0,2.0,1.965115654118255,354,ols
NVDX,NVDA,2.0,2.0,1.9934453068688067,583,ols
TSLT,TSLA,2.0,2.0,1.992024006594747,583,ols
BTCL,IBIT,2.0,2.0,2.006171195434567,404,ols
ETU,ETHA,2.0,2.0,1.990174942102264,329,ols
CCUP,CRCL,2.0,2.0,1.9710469797922419,131,ols
CRWU,CRWV,2.0,2.0,1.9879388012884875,142,ols
