ETF,Underlying,Beta_used,Borrow_annual,TradingDays,TotalReturn,CAGR,AnnVol,MaxDD
AAPU,AAPL,1.7793616250431357,0.079632,780,0.0383557517857358,0.012234350760054857,0.03485037100601172,-0.061350624450287716
AMUU,AMD,2.00737802714434,0.013588000000000001,216,0.08432567563988314,0.09905568851194935,0.05249858337183259,-0.041611691392448025
AMZU,AMZN,1.7303642046937022,0.059952,780,0.2711721192893626,0.08060263855845595,0.05212216825696136,-0.03897471784081097
AVL,AVGO,1.9869140345044995,0.093558,335,0.12698468888119852,0.09409427671046422,0.0489956165077095,-0.015623457611252944
BITX,IBIT,2.0006989838332263,0.069104,523,0.32261890089525314,0.14422536017009513,0.03340867648228322,-0.021255702696212797
BOEU,BA,1.993283435056849,0.046956,203,0.03535570928426046,0.04407547812181889,0.023982077683420273,-0.00697867802756913
BRKU,BRK-B,1.9506345796098925,0.06964,292,0.03391096136000726,0.02919850795646628,0.018846907955517463,-0.004560795862066813
BULU,BULL,1.9681565882835288,0.36029999999999995,135,0.06713983162600035,0.12896328103876797,0.06331793661534776,-0.011218510061862141
CSCL,CSCO,2.0096781604661538,0.048144,160,0.024711096913846875,0.039195522749447376,0.014252748736641814,-0.0030623526660868983
ELIL,LLY,1.992866950528138,0.09284,221,0.03573192319738494,0.04084517302941393,0.02896633829722235,-0.014248497769674628
ETHU,ETHA,2.0000670085747023,0.0,391,0.4093009734837647,0.24747861276681138,0.05173723050730146,-0.03155420717203883
FRDU,F,1.986171337403535,0.05,141,0.032995644180434436,0.05973505767068099,0.026127732810434852,-0.004701006039632638
GGLL,GOOGL,1.7488036419092787,0.054134,780,0.10352709438997398,0.03233868066907908,0.04420610863961295,-0.08734205660328476
GMEU,GME,1.966035024109539,0.37305199999999994,202,0.029669676568431003,0.037148571159814736,0.04080113149768594,-0.014618767818119771
LMTL,LMT,1.9695598842979367,0.128934,131,-0.006677317111586256,-0.012805297478650224,0.018949145825908693,-0.0076465309489479605
METU,META,1.998515581798826,0.315398,422,-0.11864435763826664,-0.07264358257776182,0.016596114318161596,-0.1187584108932701
MUU,MU,1.995263352647602,0.0,335,0.22646969575284714,0.1659800021341331,0.04762483370373165,-0.014168301695315355
MSFU,MSFT,1.7226277616999832,0.080134,780,0.12812823044104982,0.039718597962358215,0.03901354924006566,-0.060043966731218146
MSTX,MSTR,1.9506820557501945,0.390264,374,0.46565541987351033,0.29381370413192687,0.11524439205608113,-0.06252475228562249
NVDU,NVDA,1.902836174606239,0.08008,606,0.2908174536005663,0.11199339113152917,0.056574529795202354,-0.033610894155904236
NFXL,NFLX,1.995664044565946,0.04318,340,0.08027777136243097,0.058901781371302864,0.022526681152643294,-0.012666732302657802
