Date,Equity,PnL,BorrowCost,AddTotal,ActivePairs,GrossShort,GrossShort_pct_equity
2006-07-14 00:00:00-04:00,1.0,0.0,0.0,0.0001,3,0.0001,0.0001
2006-07-17 00:00:00-04:00,0.9999998667562805,-1.3039530678084317e-07,2.8484126984126984e-09,9.999998667562806e-05,3,0.00019999998667562805,0.00020000001332437373
2006-07-18 00:00:00-04:00,1.0000000382703698,1.7721091430132653e-07,5.6968250172922935e-09,0.00010000000382703699,3,0.00029999999050266503,0.0002999999790215549
2006-07-19 00:00:00-04:00,0.9999999949182472,-3.4806884664355527e-08,8.545237824714798e-09,9.999999949182473e-05,3,0.00039999998999448976,0.00039999999202719087
2006-07-20 00:00:00-04:00,0.9999993128495211,-6.706750756031197e-07,1.1393650508652568e-08,9.999993128495213e-05,3,0.0004999999212794419,0.0005000002648548633
2006-07-21 00:00:00-04:00,0.9999999340059225,6.353984625561494e-07,1.4242061249777118e-08,9.999999340059226e-05,3,0.0005999999146800341,0.0005999999542764776
2006-07-24 00:00:00-04:00,1.000000307962276,3.9104682714522155e-07,1.709047376021145e-08,0.00010000003079622759,3,0.0006999999454762617,0.0006999997299027517
2006-07-25 00:00:00-04:00,1.0000003732888927,8.526550410729056e-08,1.9938887335827806e-08,0.00010000003732888928,3,0.000799999982805151,0.0007999996841741547
2006-07-26 00:00:00-04:00,0.9999991540771419,-1.1964244497029816e-06,2.2787301097521323e-08,9.999991540771419e-05,3,0.0008999998982128653,0.0009000006595439955
2006-07-27 00:00:00-04:00,0.9999986096455911,-5.187958394783151e-07,2.563571138639661e-08,9.999986096455912e-05,3,0.0009999997591774244,0.0010000011495334316
2006-07-28 00:00:00-04:00,0.9999975503675436,-1.0307939273289415e-06,2.8484120124506158e-08,9.999975503675437e-05,3,0.0010999995142141788,0.0011000022088152915
2006-07-31 00:00:00-04:00,0.9999995134621269,1.994427109134053e-06,3.133252584535466e-08,9.99999513462127e-05,3,0.0011999994655603914,0.0012000000494058632
2006-08-01 00:00:00-04:00,0.999998650265744,-8.290154457489004e-07,3.4180937157906704e-08,9.999986502657441e-05,3,0.0012999993305869658,0.0013000010852429634
2006-08-02 00:00:00-04:00,0.999999795804163,1.182567765059441e-06,3.702934601171921e-08,9.99999795804163e-05,3,0.001399999310167382,0.0013999995960414715
