ticker,inception,TradingDays,CAGR,AnnVol,MaxDD,Sharpe,Sortino,Calmar,TotalReturn,AvgGrossNotionalPctEquity,BorrowAnnualUsed,FinalDeployed_$,FinalGrossNotional_$,Leverage,Group,Benchmark
SDS,2006-07-13,4932,0.015001334483590867,0.03244663170898428,-0.09372633104714023,0.47591846465907384,0.5714139616482431,0.16005464330024669,0.3390068515839362,0.06263899307962753,0.049226,4932000.0,855917.9098713887,2.0,SPX,SPY
NVDQ,2023-10-19,585,0.014777860347663818,0.013853730021590044,-0.013492382675456827,1.073463892643488,1.5042824639196524,1.0952743264942615,0.03489467706645022,0.011078178088747106,0.127988,585000.0,208043.19262273755,2.0,NVDA,NVDA
REW,2007-02-02,4792,0.014485734714387855,0.026138026424361728,-0.07496291687737389,0.5642003255722524,0.737341837369084,0.1932386747714735,0.31512771222278846,0.04650089093018373,0.11052200000000001,4792000.0,548335.2711957123,2.0,TECH,XLK
TZA,2008-11-19,4337,0.014324223520982171,0.041024350616970254,-0.12208219999543901,0.3679990425750192,0.41755774365354115,0.11733261295682192,0.27802761791032293,0.038476029021161054,0.146066,4337000.0,463691.54317232803,3.0,RUT,IWM
FNGD,2018-01-23,2030,0.014025032820546235,0.028364245829292645,-0.05203709863176931,0.5063120065738819,0.6568218246188814,0.26951988464598553,0.119016630972971,0.020973078743075167,0.272214,2030000.0,366475.2316231548,3.0,TECH,XLK
DXD,2006-07-13,4932,0.013906906205557013,0.030971601749967548,-0.08309847472109322,0.46217607662306054,0.5676919719307975,0.16735453029954311,0.31098245171377137,0.0660101365243859,0.055122000000000004,4932000.0,1012335.1907100327,2.0,DJIA,DIA
FAZ,2008-11-19,4338,0.01351683459299502,0.031703869945009185,-0.08844750356084552,0.4401887018987277,0.540788755666635,0.15282324597998867,0.2606402257094709,0.0351778715485594,0.165362,4338000.0,607951.1306312418,3.0,FIN,XLF
SKF,2007-02-01,4793,0.012635109174534032,0.040478171237776715,-0.09126090990853608,0.33085474716020963,0.4119391394738384,0.13845039663967024,0.27022044071587614,0.055811383609599786,0.09571600000000001,4793000.0,939235.8714707403,2.0,FIN,XLF
TWM,2007-01-25,4798,0.012621461033381687,0.038694868697661346,-0.10796474452486415,0.34399269145070366,0.4165175462350168,0.11690354188236864,0.27019963684288184,0.059198155856699734,0.098484,4798000.0,841400.2672026984,2.0,RUT,IWM
SPXU,2009-06-25,4189,0.01252704817121808,0.027154215653207178,-0.06435293756240967,0.4728864160713746,0.5774568503364292,0.1946616369931724,0.230393273414786,0.03998030703261673,0.185644,4189000.0,521582.7660195516,3.0,SPX,SPY
SPXS,2008-11-19,4338,0.011567745640960636,0.02675356682491218,-0.06379793366822162,0.4441806377815264,0.5434273240651365,0.18131850008055425,0.2194648047233203,0.038961591958305876,0.21827000000000002,4338000.0,524754.9696542043,3.0,SPX,SPY
WEBS,2019-11-07,1578,0.009564218007021674,0.05198379085914616,-0.10176417657223902,0.20973953254128835,0.2611902492442224,0.09398413399662653,0.061662413511500036,0.037967948072426025,0.142364,1578000.0,624162.9643738995,3.0,TECH,XLK
DRIP,2015-05-29,2698,0.007554799621920516,8.003079104706023,-0.9857575317349802,0.30307582012412665,4.268894574296746,0.007663953232620713,0.084105904151492,0.08491522091671852,0.217108,2698000.0,611620.6088948476,2.0,XOP,XOP
TSXD,2025-10-02,95,0.003855631818046268,0.0037290885858240865,-0.0015388275903787108,1.0436103152069949,1.3826493193526859,2.5055645233767767,0.001465555536684926,0.00437449672618837,0.062854,95000.0,79858.08278613428,2.0,SOX,SOXX
ETHD,2024-06-07,426,-0.0015027781829698439,0.02699348577483799,-0.03290264878695903,-0.042636400106412245,-0.05631710746544206,-0.04567347123631792,-0.002557793971420863,0.012944609360904549,0.217414,426000.0,406932.86579018075,2.0,ETH,ETHA
CORD,2025-09-26,100,-0.0040396937578707215,0.014686202841550344,-0.00997195719894206,-0.2703052034261723,-0.5588538780639497,-0.40510540481454316,-0.0016167335729714294,0.005576531743134415,2.7243440000000003,100000.0,57250.50515595133,2.0,CRWV,CRWV
DUG,2007-02-01,4793,-0.005496197557125937,0.36738442815155237,-0.8214230562038509,0.12951917100820334,0.19660412759724225,-0.00669106803810235,-0.09966752435365112,0.09779147606712929,0.32645199999999996,4793000.0,601517.871557174,2.0,XLE,XLE
TTXD,2025-10-02,96,-0.006691983818915004,0.0035597954358043906,-0.0036058241892429344,-1.896011044819319,-2.386900966285216,-1.8558818921007982,-0.002570343496306471,0.005540754644536319,0.066806,96000.0,120028.03207301431,2.0,TECH,XLK
TBX,2011-04-05,3741,-0.012913681039879554,0.019196694830053568,-0.18726726596310816,-0.6689409163193911,-0.8013722535187534,-0.06895856023456637,-0.17582660358661029,0.19554052769608127,0.050567999999999995,3741000.0,4139261.9891280406,2.0,TLT,TLT
BTCZ,2024-07-10,405,-0.012936344717552228,0.020915855707647917,-0.04027170011124204,-0.614164933859805,-0.7030159455017042,-0.32122668478902844,-0.020778275461961315,0.01373760829345214,0.411774,405000.0,524148.959150097,2.0,BTC,IBIT
CRCD,2025-09-26,100,-0.021785419380335624,0.017250387241376876,-0.017245631449720578,-1.2775172046725225,-2.02464366694294,-1.2632427779667414,-0.008765813964991098,0.007648594026298919,1.154718,100000.0,153040.17597781052,2.0,CRCL,CRCL
SCO,2008-11-25,4334,-0.02592919672478855,0.9330946129048423,-0.959937519308816,0.31719368363798367,0.5470668431885221,-0.027011337929012665,-0.3641417180508957,0.24030177147545012,0.31516,4334000.0,869386.7265350899,2.0,WTI,USO
MSTZ,2024-09-18,356,-0.028073150273206893,0.06984544003999496,-0.10344839121786042,-0.37589127813906725,-0.569489246649428,-0.2713734833641381,-0.039653401447904746,0.017203932198377136,0.654722,356000.0,603786.9988135843,2.0,MSTR,MSTR
TBT,2008-05-22,4464,-0.05183057014727388,0.09463487871391761,-0.644806774482735,-0.5159992846345325,-0.5838307966116719,-0.08038155335581336,-0.6111333099628761,0.21566615638786793,0.238586,4464000.0,4350023.065492416,2.0,TLT,TLT
TMV,2009-04-16,4238,,4.070858454772807,-1.3297712885711022,-0.24774531825785873,-0.19867556600660752,,-1.3025055692692629,0.4400118844969514,0.6558660000000001,4238000.0,3815160.482809818,3.0,TLT,TLT
