ticker,inception,TradingDays,CAGR,AnnVol,MaxDD,Sharpe,Sortino,Calmar,TotalReturn,AvgGrossNotionalPctEquity,BorrowAnnualUsed,FinalDeployed_$,FinalGrossNotional_$,Leverage,Group,Benchmark
SOXS,2010-03-11,4010,0.020987408475167557,0.02340724922738069,-0.03447963237399909,0.9007118143135844,1.2547276979465853,0.6086900303204523,0.3925395920765651,0.021610054089472617,0.0,4010000.0,109799.00753403564,3.0,SOX,SOXX
SQQQ,2010-02-11,4029,0.018733591579874753,0.02141960331244519,-0.03023510210039626,0.8789222755963367,1.1342132216136454,0.6195974307501754,0.34624625975945955,0.029190441780471896,0.03433800000000001,4029000.0,394743.2063414964,3.0,NDX,QQQ
TSLQ,2022-07-14,904,0.018519157879228754,0.026100377743903586,-0.025860480568714483,0.7191598395604661,1.0908565797642151,0.7161180872111432,0.06834895265647778,0.0220498354209293,0.028224,904000.0,203103.83847924572,2.0,TSLA,TSLA
QID,2006-07-13,4932,0.01788446737009597,0.0261706174351394,-0.07545147795838858,0.691616156950312,0.8646456781359944,0.237032697755228,0.4155806305897609,0.045679088038229024,0.01375,4932000.0,640697.1381740257,2.0,NDX,QQQ
DUST,2010-12-08,3822,0.017727500488902148,0.08745727970301671,-0.22451262720175813,0.24491250177488488,0.30444131025523535,0.07895992626272794,0.30618030191601076,0.04987331018733709,0.08033799999999999,3822000.0,137447.64903614993,3.0,GDX,GDX
SDOW,2010-02-11,4030,0.017529069142946163,0.0280610327083156,-0.07509275409217608,0.6344254285468047,0.765960183495423,0.2334322313099516,0.3210355324737224,0.041434703735579954,0.026358000000000003,4030000.0,626453.2906443985,3.0,DJIA,DIA
ZSL,2008-12-03,4329,0.017183182423155863,0.05815251346895399,-0.18368383697844215,0.3226803612440439,0.39391609709627784,0.09354760171507387,0.340790597719123,0.09152300989867936,0.05,4329000.0,106761.37179407327,2.0,SLV,SLV
LABD,2015-05-28,2699,0.016180871358886018,0.0474594170136867,-0.11072374805798091,0.36264445034341347,0.4542400435617852,0.1461373160020996,0.18799757117976035,0.033807798730020475,0.138688,2699000.0,286473.90781466366,3.0,BIOTECH,XBI
TECS,2008-12-30,4311,0.01568500212621249,0.021321761957703828,-0.03281654465082784,0.7419473175280344,0.9893724500381665,0.4779601963918774,0.30569822610144226,0.028734045046808272,0.166878,4311000.0,339969.91422197944,3.0,TECH,XLK
NVDS,2022-07-14,904,0.015050960201821617,0.012274379508052848,-0.013407249380231412,1.2285664680065478,1.8294045289720982,1.1225986609911058,0.055299630191150584,0.013166399545306948,0.164634,904000.0,279195.602308622,1.5,NVDA,NVDA
