Underlying,ETF,Leverage
AAL,AALG,2.0
AAPL,AAPB,2.0
AAPL,AAPU,2.0
AAPL,AAPW,1.0
AAPL,AAPX,2.0
AAPL,APLY,1.0
ABNB,ABNG,2.0
ABNB,ABNY,1.0
ACHR,ARCX,2.0
ADBE,ADBG,2.0
AFRM,AFRU,2.0
AI,AIYY,1.0
ALAB,LABX,2.0
AMD,AMDG,2.0
AMD,AMDL,2.0
AMD,AMDW,1.0
AMD,AMDY,1.0
AMD,AMUU,2.0
AMD,AMYY,2.0
AMZN,AMZU,2.0
AMZN,AMZW,1.0
AMZN,AMZY,1.0
AMZN,AMZZ,2.0
AMZN,AZYY,2.0
APLD,APLX,2.0
APP,APPX,2.0
ARKK,TARK,2.0
ARM,ARMG,2.0
ARM,ARMU,2.0
ARM,ARMW,1.0
ASML,ASMG,2.0
ASTS,ASTX,2.0
AUR,AURU,2.0
AVGO,AVGG,2.0
AVGO,AVGU,2.0
AVGO,AVGW,1.0
AVGO,AVL,2.0
AXON,AXUP,2.0
BA,BOEG,2.0
BA,BOEU,2.0
BABA,BABO,1.0
BABA,BABW,1.0
BABA,BABX,2.0
BABA,BBYY,2.0
BBAI,BAIG,2.0
BE,BEG,2.0
BE,BEX,2.0
BIDU,BIDG,2.0
BKNG,BKNU,2.0
BLSH,BLSG,2.0
BLSH,BLSX,2.0
BMNR,BMNG,2.0
BMNR,BMNU,2.0
BRK-B,BRKC,1.0
BRK-B,BRKU,2.0
BRKB,BRKW,1.0
BULL,BULG,2.0
BULL,BULU,2.0
BULL,BULX,2.0
CEG,CEGX,2.0
CELH,CELT,2.0
CIFR,CIFG,2.0
CIFR,CIFU,2.0
CLS,CSEX,2.0
CLSK,CLSX,2.0
CMG,CMGG,2.0
CNC,CNCG,2.0
COIN,COIA,2.0
COIN,COIG,2.0
COIN,COIO,2.0
COIN,COIW,1.0
COIN,CONL,2.0
COIN,CONY,1.0
COIN,COYY,2.0
CORZ,COZX,2.0
COST,COSW,1.0
COST,COTG,2.0
CRCL,CCUP,2.0
CRCL,CRCA,2.0
CRCL,CRCG,2.0
CRCL,CRCO,1.0
CRDO,CRDU,2.0
CRM,CRMG,2.0
CRWD,CRWL,2.0
CRWV,CRWG,2.0
CRWV,CRWU,2.0
CRWV,CWVX,2.0
CSCO,CSCL,2.0
CVNA,CVNY,1.0
DASH,DASX,2.0
DDOG,DOGD,2.0
DELL,DLLL,2.0
DIS,DISO,1.0
DJT,DJTU,2.0
DKNG,DKUP,2.0
DKNG,DRAY,1.0
