source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-24,CONI,COIN,10246.91677744,10246.91677744
2026-07-24,CORD,CRWV,43815.5306316,28222.8
2026-07-24,DAMD,AMD,16799.94844416,1629.5120089410966
2026-07-24,IREZ,IREN,464.126719158872,0.0
2026-07-24,LITZ,LITE,21265.9408456,19173.72
2026-07-24,MSTZ,MSTR,10583.89051428,10583.89051428
2026-07-24,MUZ,MU,4060.476588000001,4060.476588000002
2026-07-24,NBIZ,NBIS,21982.53765174849,21982.53765174849
2026-07-24,QBTZ,QBTS,77505.70722986001,0.0
2026-07-24,RKLZ,RKLB,25674.44070576,13718.04
2026-07-24,SNDQ,SNDK,36660.026307600005,36660.026307600005
2026-07-24,SPCG,SPCX,531.2,2456.6722303569454
2026-07-24,SSPC,SPCX,2998.96,2456.6722303569454
2026-07-24,UVIX,SVIX,32444.38777671,29619.25
