etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-1.0,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-1.974356,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.037651,1.0
CONI,COIN,-1.0,1.0
CRCD,CRCL,-2.011021,1.0
CORD,CRWV,-2.005437,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.989501,1.0
SDOW,DIA,-2.988453,1.0
DKUP,DKNG,-1.0,1.0
BTCZ,IBIT,-1.992707,1.0
IREZ,IREN,-2.010729,1.0
TWM,IWM,-2.003707,1.0
TZA,IWM,-2.991252,1.0
LITZ,LITE,-1.0,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.982226,1.0
NBIZ,NBIS,-1.986371,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVDS,NVDA,-1.454182,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.0,1.0
QID,QQQ,-1.99291,1.0
QSX,QS,-1.0,1.0
SNDQ,SNDK,-1.0,1.0
TSXD,SOXX,-1.883142,1.0
SSPC,SPCX,-1.0,1.0
HIBS,SPY,-4.463863,1.0
SPXS,SPY,-2.901421,1.0
SPXU,SPY,-2.8955,1.0
TBT,TLT,-1.982105,1.0
TBX,TLT,-0.42289,1.0
TMV,TLT,-2.966168,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.356523,1.0
DUG,XLE,-1.974992,1.0
SKF,XLF,-2.004175,1.0
FNGD,XLK,-2.842157,1.0
REW,XLK,-1.99931,1.0
TECS,XLK,-2.963251,1.0
TTXD,XLK,-1.892594,1.0
WEBS,XLK,-2.247188,1.0
DRIP,XOP,-1.998522,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
