pair_key,bucket,d_total,d_real,d_unr,d_borrow,d_pil,day
AAOI/AAOX,bucket_1,-8419.019199021322,0.0,-8401.0,-35.15999999999997,0.0,2026-06-02
CRML/CRMU,bucket_1,-5039.180816447733,0.0,-5008.369998,-39.72000000000003,0.0,2026-06-02
MSTR/(spot),bucket_2,-3649.637356428462,0.0,-3649.637356428462,0.0,0.0,2026-06-02
LUNR/(spot),bucket_1,-3130.34,0.0,-3130.3399999999997,0.0,0.0,2026-06-02
CRML/CRMX,bucket_1,-2741.7994090870698,0.0,-2673.8399999999997,-72.63000000000002,0.0,2026-06-02
NBIS/NBIG,bucket_1,-2707.972887263034,0.0,-2709.0,-4.3799999999999955,0.0,2026-06-02
NBIS/NEBX,bucket_1,-2624.8696394757444,0.0,-2625.4799999999996,-4.6200000000000045,0.0,2026-06-02
CRCL/(spot),bucket_1,-2394.8971845126453,0.0,-2394.8971845126443,0.0,0.0,2026-06-02
CRWV/CWVX,bucket_1,-2205.226064904685,0.0,-2203.4,-6.180000000000007,0.0,2026-06-02
COIN/(spot),bucket_2,-2193.617082653581,0.0,-2193.6170826535817,0.0,0.0,2026-06-02
CRWV/CRWG,bucket_1,-2172.8669658389545,0.0,-2173.28,-3.8700000000000045,0.0,2026-06-02
NBIS/NBIL,bucket_1,-2101.814022401114,0.0,-2097.5600000000004,-8.430000000000007,0.0,2026-06-02
NVTS/(spot),bucket_1,-2036.8751110000012,0.0,-2036.8751110000012,0.0,0.0,2026-06-02
BE/(spot),bucket_1,-1971.8382629526786,0.0,-1971.8382629526786,0.0,0.0,2026-06-02
ASTS/(spot),bucket_1,-1948.9611116359467,135.771541,-2084.7326526359466,0.0,0.0,2026-06-02
RKLB/(spot),bucket_1,-1736.0858696487894,0.0,-1736.0858696487899,0.0,0.0,2026-06-02
CRWV/CRWU,bucket_1,-1586.972875632831,0.0,-1582.3600000000001,-7.739999999999995,0.0,2026-06-02
RDW/(spot),bucket_1,-1559.8899999999994,0.0,-1559.8900000000003,0.0,0.0,2026-06-02
META/(spot),bucket_2,-1538.9444399041195,-1.0244399041214365,-1537.9199999999983,0.0,0.0,2026-06-02
IONQ/(spot),bucket_2,-1520.3922757425462,135.26409749012146,-1655.6563732326704,0.0,0.0,2026-06-02
EOSE/EOSU,bucket_1,-1438.545439689262,358.84281037999995,-1787.282878000001,-13.530000000000001,0.0,2026-06-02
HOOD/(spot),bucket_2,-1383.8255592053183,1.3344407946849586,-1385.160000000003,0.0,0.0,2026-06-02
KEEL/KEEX,bucket_1,-1320.900046776349,0.0,-1313.7600000000002,-9.210000000000008,0.0,2026-06-02
RCAT/RCAX,bucket_1,-1194.9401054532846,0.0,-1164.9400000000005,-29.75999999999999,0.0,2026-06-02
IBIT/(spot),bucket_2,-1170.1712428146711,0.0,-1170.1712428146711,0.0,0.0,2026-06-02
FLY/(spot),bucket_1,-1060.769186,0.0,-1060.769186,0.0,0.0,2026-06-02
LITE/LITX,bucket_1,-988.3555649684539,0.0,-985.66,-4.140000000000001,0.0,2026-06-02
ALAB/(spot),bucket_1,-946.8880630000021,0.0,-946.8880630000012,0.0,0.0,2026-06-02
PL/(spot),bucket_1,-914.6351289999999,0.0,-914.635129,0.0,0.0,2026-06-02
CLS/CSEX,bucket_1,-846.1816598298042,0.0,-846.6899999999999,-1.0800000000000054,0.0,2026-06-02
RIOT/RTYY,bucket_2,-750.4961483259277,0.0,-672.049347,-88.5,0.0,2026-06-02
ARM/ARMG,bucket_1,-723.7795968600385,0.0,-724.8799999999999,-0.35999999999999943,0.0,2026-06-02
HUT/HUTG,bucket_1,-722.3922948849086,0.0,-714.3699999999999,-9.090000000000003,0.0,2026-06-02
CLSK/CLSX,bucket_1,-696.0592049090719,0.0,-688.0,-8.52000000000001,0.0,2026-06-02
QBTS/(spot),bucket_2,-673.028011813084,0.0,-673.0280118130836,0.0,0.0,2026-06-02
IONQ/(spot),bucket_1,-636.2777242574502,-135.26409749012146,-501.0136267673297,0.0,0.0,2026-06-02
USAR/USGG,bucket_1,-625.6098681955509,0.0,-604.5700000000002,-21.810000000000002,0.0,2026-06-02
IREN/IREG,bucket_1,-564.2557981590271,0.0,-544.3199999999997,-20.129999999999995,0.0,2026-06-02
SNDK/SNXX,bucket_1,-561.5604820983954,0.0,-557.2599999999993,-4.829999999999998,0.0,2026-06-02
CRDO/(spot),bucket_1,-556.0799999999999,0.0,-556.0799999999999,0.0,0.0,2026-06-02
SNDK/SNDU,bucket_1,-533.87852171343,0.0,-527.7999999999997,-6.6000000000000085,0.0,2026-06-02
BBAI/BAIG,bucket_1,-519.1809753597936,0.0,-515.2599999999998,-4.650000000000006,0.0,2026-06-02
AMZN/AMZO,bucket_3,-510.6898784301429,0.0,-499.9459829999996,-11.189999999999998,0.0,2026-06-02
BMNR/(spot),bucket_1,-505.2600000000002,0.0,-505.2600000000002,0.0,0.0,2026-06-02
