date,bucket,underlying,symbols,cum_pnl_usd
2026-02-28,bucket_3,LABD,LABD,35.13341712532483
2026-02-28,bucket_3,NVDQ,NVDQ,-198.9749859815883
2026-02-28,bucket_3,NVYY,NVYY,-45.8750062926912
2026-02-28,bucket_3,SDS,SDS,11.271693807629308
2026-02-28,bucket_3,SOXS,SOXS,-13.022058775026204
2026-02-28,bucket_3,SQQQ,SQQQ,0.3580347753942154
2026-02-28,bucket_3,TQQY,TQQY,46.3897135686396
2026-02-28,bucket_3,TSLQ,TSLQ,-14.673758768143736
2026-02-28,bucket_3,TSYY,TSYY,0.6455317458467018
2026-02-28,bucket_3,ZSL,ZSL,-36.356278656392966
2026-02-28,bucket_4,CLSK,CLSZ,48.76088773738038
2026-02-28,bucket_4,DIA,"DXD, SDOW",-1.1002403951517636
2026-02-28,bucket_4,QQQ,QID,1.4472067445564358
2026-02-28,bucket_4,XLK,"TTXD, WEBS",39.14862710827438
2026-03-02,bucket_1,AAPL,"AAPB, AAPL, AAPU, AAPX",129.1481750887417
2026-03-02,bucket_1,ALAB,"ALAB, LABX",50.310196022543096
2026-03-02,bucket_1,AMD,"AMD, AMDG, AMDL, AMUU",1093.361133857357
2026-03-02,bucket_1,AMZN,"AMZN, AMZU, AMZZ",-1972.204981616293
2026-03-02,bucket_1,APP,"APP, APPX",116.24710102264748
2026-03-02,bucket_1,ASHR,"ASHR, CHAU",-4.406502164305685
2026-03-02,bucket_1,ASML,"ASMG, ASML, ASMU",-341.6850734390744
2026-03-02,bucket_1,ASTS,"ASTS, ASTX",29.193847750000003
2026-03-02,bucket_1,AVGO,"AVGG, AVGO, AVL",107.10509545368105
2026-03-02,bucket_1,BA,"BA, BOEG, BOEU",-34.18080679748164
2026-03-02,bucket_1,BABA,"BABA, BABU, BABX",-284.7823336027561
2026-03-02,bucket_1,BKNG,BKNU,-43.44836925
2026-03-02,bucket_1,BLSH,"BLSH, BLSX",75.38546243487781
2026-03-02,bucket_1,CEG,"CEG, CEGX",49.666098761402736
2026-03-02,bucket_1,CELH,"CELH, CELT",-77.13809079419559
2026-03-02,bucket_1,CLS,"CLS, CSEX",23.016870377410896
2026-03-02,bucket_1,CLSK,CLSK,-114.50635173434094
2026-03-02,bucket_1,CMG,"CMG, CMGG",111.907039702051
2026-03-02,bucket_1,CNC,"CNC, CNCG",62.78769074999991
2026-03-02,bucket_1,COIN,"COIA, COIG, COIN",-440.3946768367766
2026-03-02,bucket_1,COPX,"COPX, COPZ",-2.590176425564941
2026-03-02,bucket_1,CORZ,"CORZ, COZX",49.24205299851394
2026-03-02,bucket_1,COST,"COST, COTG",11.078815457977214
2026-03-02,bucket_1,CRM,"CRM, CRMG",27.48785137448704
2026-03-02,bucket_1,CRWD,"CRWD, CRWL",60.933693749999975
2026-03-02,bucket_1,CRWV,"CRWG, CRWV, CWVX",673.2573205879753
2026-03-02,bucket_1,CSCO,"CSCL, CSCO",57.96888939229441
2026-03-02,bucket_1,DASH,"DASH, DASX",50.82799398980291
2026-03-02,bucket_1,DIA,DIA,8.430851703426935
2026-03-02,bucket_1,DKNG,"DKNG, DKUP",-386.9902792988464
2026-03-02,bucket_1,ENPH,"ENPH, ENPX",421.89916215
2026-03-02,bucket_1,ETHA,"ETHA, ETHT, ETHU, ETU",-407.128682537209
2026-03-02,bucket_1,EWJ,EWJ,32.212389954700946
2026-03-02,bucket_1,F,"F, FRDU",-1.5650340765501198
2026-03-02,bucket_1,FXI,"FXI, YINN",-5.744930181021594
2026-03-02,bucket_1,GDX,"GDX, GDXU, NUGT",-128.59035986815456
2026-03-02,bucket_1,GEV,"GEV, GEVX",-3.851601421116016
2026-03-02,bucket_1,GLXY,"GLXU, GLXY",1.1607847500000048
2026-03-02,bucket_1,GOOGL,"GGLL, GOOGL, GOOX",-150.16979638973388
2026-03-02,bucket_1,IBIT,"BITU, BITX, BTCL, IBIT",3308.225750559576
2026-03-02,bucket_1,INTC,"INTC, INTW",141.02147957098302
2026-03-02,bucket_1,IREN,"IREG, IREN",108.38002347682846
2026-03-02,bucket_1,ISRG,"ISRG, ISUL",79.18365675000001
2026-03-02,bucket_1,KLAC,"KLAC, KLAG",18.30390883870029
2026-03-02,bucket_1,KWEB,"CWEB, KWEB",1.983429703275668
2026-03-02,bucket_1,LLY,"ELIL, LLY",87.52969665
2026-03-02,bucket_1,LMT,"LMT, LMTL",-11.765477500000088
2026-03-02,bucket_1,MDB,"MDB, MDBX",114.22553724289672
2026-03-02,bucket_1,META,"FBL, META, METU",209.8025133242398
2026-03-02,bucket_1,MRNA,"MRNA, MRNX",47.79520752997291
2026-03-02,bucket_1,MRVL,"MRVL, MRVU",-7.736058739032444
2026-03-02,bucket_1,MSFT,"MSFL, MSFT, MSFU, MSFX",1526.062129981464
2026-03-02,bucket_1,MSTR,"MSTR, MSTU",76.46618333137513
2026-03-02,bucket_1,MU,"MU, MUU",145.63388127891812
2026-03-02,bucket_1,NBIS,"NBIS, NEBX",115.76563903654927
2026-03-02,bucket_1,NFLX,"NFLU, NFLX, NFXL",-3140.483755575755
2026-03-02,bucket_1,NU,"NU, NUG",8.700190744523866
2026-03-02,bucket_1,NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU",326.0643471014644
2026-03-02,bucket_1,OPEN,"OPEG, OPEN",-120.71657053375144
2026-03-02,bucket_1,PANW,"PALU, PANG, PANW",71.21529240677728
2026-03-02,bucket_1,PLTR,"PLTA, PLTR, PLTU, PTIR",937.1592364437288
2026-03-02,bucket_1,PLUG,"PLUG, PLUL",-95.3603847988432
2026-03-02,bucket_1,QCOM,"QCMU, QCOM",18.66111540060126
2026-03-02,bucket_1,QQQ,QQQ,-655.2111934758846
2026-03-02,bucket_1,RBLX,"RBLU, RBLX",-700.9443817264356
2026-03-02,bucket_1,RKT,"RKT, RKTL",31.962759427805807
2026-03-02,bucket_1,SLV,SLV,14.249725109812411
