symbol,label,pnl_a,label_b,pnl_b,pair_key,pnl_chg,day_a,day_b
FBY,META | FBY,0.0,META | FBY,0.0,FBY  META | FBY,0.0,2026-06-02,2026-06-03
CONY,COIN | CONY,0.0,COIN | CONY,0.0,CONY  COIN | CONY,0.0,2026-06-02,2026-06-03
CVNY,CVNA | CVNY,0.0,CVNA | CVNY,0.0,CVNY  CVNA | CVNY,0.0,2026-06-02,2026-06-03
MSFO,MSFT | MSFO,0.0,MSFT | MSFO,0.0,MSFO  MSFT | MSFO,0.0,2026-06-02,2026-06-03
COIW,COIN | COIW,0.0,COIN | COIW,0.0,COIW  COIN | COIW,0.0,2026-06-02,2026-06-03
BABO,BABA | BABO,0.0,BABA | BABO,0.0,BABO  BABA | BABO,0.0,2026-06-02,2026-06-03
ARMW,ARM | ARMW,0.0,ARM | ARMW,0.0,ARMW  ARM | ARMW,0.0,2026-06-02,2026-06-03
APLY,AAPL | APLY,0.0,AAPL | APLY,0.0,APLY  AAPL | APLY,0.0,2026-06-02,2026-06-03
AMZY,AMZN | AMZY,0.0,AMZN | AMZY,0.0,AMZY  AMZN | AMZY,0.0,2026-06-02,2026-06-03
AMZW,AMZN | AMZW,0.0,AMZN | AMZW,0.0,AMZW  AMZN | AMZW,0.0,2026-06-02,2026-06-03
AMDY,AMD | AMDY,0.0,AMD | AMDY,0.0,AMDY  AMD | AMDY,0.0,2026-06-02,2026-06-03
AIYY,AI | AIYY,0.0,AI | AIYY,0.0,AIYY  AI | AIYY,0.0,2026-06-02,2026-06-03
AI,AI (spot),0.0,AI (spot),0.0,AI  AI (spot),0.0,2026-06-02,2026-06-03
ABNY,ABNB | ABNY,0.0,ABNB | ABNY,0.0,ABNY  ABNB | ABNY,0.0,2026-06-02,2026-06-03
METW,META | METW,0.0,META | METW,0.0,METW  META | METW,0.0,2026-06-02,2026-06-03
ABNB,ABNB (spot),0.0,ABNB (spot),0.0,ABNB  ABNB (spot),0.0,2026-06-02,2026-06-03
MSFW,MSFT | MSFW,0.0,MSFT | MSFW,0.0,MSFW  MSFT | MSFW,0.0,2026-06-02,2026-06-03
PYPY,PYPL | PYPY,0.0,PYPL | PYPY,0.0,PYPY  PYPL | PYPY,0.0,2026-06-02,2026-06-03
XYLD,SPY | XYLD,0.0,SPY | XYLD,0.0,XYLD  SPY | XYLD,0.0,2026-06-02,2026-06-03
XOMO,XOM | XOMO,0.0,XOM | XOMO,0.0,XOMO  XOM | XOMO,0.0,2026-06-02,2026-06-03
XOM,XOM (spot),0.0,XOM (spot),0.0,XOM  XOM (spot),0.0,2026-06-02,2026-06-03
TSMY,TSM | TSMY,0.0,TSM | TSMY,0.0,TSMY  TSM | TSMY,0.0,2026-06-02,2026-06-03
TSLY,TSLA | TSLY,0.0,TSLA | TSLY,0.0,TSLY  TSLA | TSLY,0.0,2026-06-02,2026-06-03
TSLW,TSLA | TSLW,0.0,TSLA | TSLW,0.0,TSLW  TSLA | TSLW,0.0,2026-06-02,2026-06-03
SPYI,SPY | SPYI,0.0,SPY | SPYI,0.0,SPYI  SPY | SPYI,0.0,2026-06-02,2026-06-03
SNOY,SNOW | SNOY,0.0,SNOW | SNOY,0.0,SNOY  SNOW | SNOY,0.0,2026-06-02,2026-06-03
RDYY,RDDT | RDYY,0.0,RDDT | RDYY,0.0,RDYY  RDDT | RDYY,0.0,2026-06-02,2026-06-03
