pair_key,bucket,d_total,d_real,d_unr,d_borrow,d_pil,day
LEU/(spot),bucket_1,111.43000000000006,0.0,111.43,0.0,0.0,2026-06-03
URA/(spot),bucket_1,115.20000000000005,0.0,115.2,0.0,0.0,2026-06-03
PLTR/PLTU,bucket_1,115.83433493525149,0.0,116.38,-0.12000000000000455,0.0,2026-06-03
CNC/CNCG,bucket_1,117.32307166520695,0.0,117.87000000000012,-0.019999999999999574,0.0,2026-06-03
MP/(spot),bucket_1,120.94999999999993,0.0,120.94999999999999,0.0,0.0,2026-06-03
SOXX/SOXS,bucket_3,121.68387461748307,0.0,122.07999999999993,-0.020000000000003126,0.0,2026-06-03
COIN/COIA,bucket_1,122.25686872106597,0.0,123.43,-0.6899999999999977,0.0,2026-06-03
NOW/NOWL,bucket_1,123.36177221016325,0.0,124.02000000000001,-0.23000000000000043,0.0,2026-06-03
CVNA/CVNX,bucket_1,124.72275449983033,0.0,125.55000000000001,-0.41999999999999815,0.0,2026-06-03
DNN/(spot),bucket_1,128.16,0.0,128.16,0.0,0.0,2026-06-03
META/(spot),bucket_1,129.83702049730175,130.18069549730092,-0.3436749999991946,0.0,0.0,2026-06-03
COIN/CONX,bucket_1,130.1944508266232,0.0,131.30999999999995,-0.6099999999999994,0.0,2026-06-03
MSTR/MSTU,bucket_1,132.6940067636905,22.03466068,110.744337,-0.3299999999999983,0.0,2026-06-03
KEEL/BTFL,bucket_1,134.3199999999997,0.0,134.3199999999997,0.0,0.0,2026-06-03
MSTR/MSTP,bucket_1,134.77859450310746,0.0,135.19,0.0,0.0,2026-06-03
HOOD/ROBN,bucket_1,138.17672535948398,0.0,139.23000000000002,-0.379999999999999,0.0,2026-06-03
PLTR/PTIR,bucket_1,140.49445069542048,0.0,141.12,-0.10999999999999943,0.0,2026-06-03
TSLA/TSLQ,bucket_3,146.11603522087364,0.0,147.55999999999995,-0.5100000000000051,0.0,2026-06-03
TTD/TTDU,bucket_1,147.9975667058866,0.0,148.82,-0.36999999999999744,0.0,2026-06-03
LAC/(spot),bucket_1,150.24,0.0,150.23999999999995,0.0,0.0,2026-06-03
AVGO/(spot),bucket_1,151.19999999999982,0.0,151.19999999999993,0.0,0.0,2026-06-03
ASML/(spot),bucket_1,153.5999999999999,0.0,153.59999999999994,0.0,0.0,2026-06-03
ETHA/ETHT,bucket_1,161.05593993206048,0.0,162.0,-0.3200000000000003,0.0,2026-06-03
COIN/CONL,bucket_1,161.68960867402097,0.0,162.81,-0.5000000000000036,0.0,2026-06-03
CRDO/(spot),bucket_1,162.39999999999964,0.0,162.40000000000055,0.0,0.0,2026-06-03
MU/(spot),bucket_2,171.59999999999945,0.0,171.59999999999945,0.0,0.0,2026-06-03
SOUN/SOUX,bucket_1,172.99979751478287,0.0,174.98,-1.3300000000000054,0.0,2026-06-03
PLUG/(spot),bucket_1,176.25,0.0,176.25,0.0,0.0,2026-06-03
TSM/(spot),bucket_2,176.70711046436782,-29.72050698991461,206.42761745428197,0.0,0.0,2026-06-03
ETHA/ETU,bucket_1,177.12100466119023,0.0,178.01999999999998,-0.20000000000000284,0.0,2026-06-03
SHOP/SHPU,bucket_1,181.07567526619061,0.0,181.98000000000002,-0.26000000000000156,0.0,2026-06-03
GDX/DUST,bucket_3,188.39568658704593,0.0,193.27999999999997,-3.430000000000007,0.0,2026-06-03
UPST/UPSX,bucket_1,188.62721421793452,0.0,190.07999999999998,-0.6700000000000017,0.0,2026-06-03
OPEN/(spot),bucket_1,195.4000000000001,0.0,195.39999999999986,0.0,0.0,2026-06-03
BLSH/BLSG,bucket_1,199.04993172594527,0.0,199.53574900000012,-0.40000000000000213,0.0,2026-06-03
WDC/(spot),bucket_1,202.80000000000018,0.0,202.80000000000018,0.0,0.0,2026-06-03
ETHA/ETHU,bucket_1,204.256695437075,0.0,205.19999999999982,-0.14999999999999858,0.0,2026-06-03
TEM/TEMT,bucket_1,206.92857020100746,0.0,208.16999899999996,-0.5100000000000051,0.0,2026-06-03
SOXX/(spot),bucket_1,231.6300000000001,0.0,231.6300000000001,0.0,0.0,2026-06-03
XRPZ/XRPT,bucket_1,232.09579330746828,0.0,233.20000000000005,-0.3000000000000007,0.0,2026-06-03
TDOG/TXXD,bucket_1,244.99171661438288,0.0,246.629999,-0.7899999999999991,0.0,2026-06-03
XRPZ/UXRP,bucket_1,254.14103059276295,0.0,255.26999999999998,-0.25,0.0,2026-06-03
XRPZ/XXRP,bucket_1,256.7778116981981,0.0,258.0000000000001,-0.3200000000000003,0.0,2026-06-03
MU/(spot),bucket_1,257.40000000000146,0.0,257.40000000000146,0.0,0.0,2026-06-03
RDDT/RDTL,bucket_1,259.50986893802,0.0,261.08000000000004,-0.6099999999999994,0.0,2026-06-03
GLW/(spot),bucket_1,260.7,0.0,260.7,0.0,0.0,2026-06-03
GLXY/GLGG,bucket_1,262.1600757130673,0.0,264.859999,-1.7500000000000036,0.0,2026-06-03
ONDS/(spot),bucket_1,273.0,0.0,273.0,0.0,0.0,2026-06-03
NBIS/NBIL,bucket_1,275.70088314396435,0.0,280.4400000000005,-2.6899999999999977,0.0,2026-06-03
U/UNX,bucket_1,276.8832928396787,0.0,278.53999999999996,-0.5499999999999972,0.0,2026-06-03
DELL/DLLL,bucket_1,288.49715131268385,0.0,289.6199999999999,-0.14999999999999858,0.0,2026-06-03
FIGR/FGRU,bucket_1,298.4323244947634,0.0,302.17,-2.539999999999992,0.0,2026-06-03
DUOL/DUOG,bucket_1,299.6135668226784,0.0,300.71999999999997,-0.10999999999999943,0.0,2026-06-03
AMD/(spot),bucket_1,313.8987066029367,0.05386989096587058,313.8448367119727,0.0,0.0,2026-06-03
SOEZ/SOLT,bucket_1,321.2172651135361,0.0,322.85000000000036,-0.5700000000000074,0.0,2026-06-03
CRCL/CRCA,bucket_1,322.29560477089655,0.0,325.52000000000004,-1.8500000000000085,0.0,2026-06-03
OSCR/OSCX,bucket_1,325.63080625788325,0.0,327.19000000000005,-0.5300000000000011,0.0,2026-06-03
SNDK/SNDU,bucket_1,341.551881992822,0.0,345.7999999999997,-2.339999999999989,0.0,2026-06-03
PL/(spot),bucket_1,352.08000000000004,0.0,352.08,0.0,0.0,2026-06-03
NBIS/NBIG,bucket_1,355.7889976890019,0.0,360.0,-1.5900000000000034,0.0,2026-06-03
SNDK/SNXX,bucket_1,357.6620116325339,0.0,361.41999999999916,-1.7199999999999989,0.0,2026-06-03
GEMI/GEMG,bucket_1,363.5982272478112,0.0,370.40999800000003,-5.3500000000000085,0.0,2026-06-03
SRPT/SRPU,bucket_1,365.685665375614,0.0,367.749999,-0.9000000000000057,0.0,2026-06-03
SBET/SBTU,bucket_1,376.39268410741596,0.0,379.0300000000001,-1.2700000000000102,0.0,2026-06-03
RKLB/(spot),bucket_1,390.35620286801986,0.0,390.3562028680202,0.0,0.0,2026-06-03
WULF/(spot),bucket_1,412.5100000000002,0.0,412.5100000000002,0.0,0.0,2026-06-03
NBIS/NEBX,bucket_1,414.1924973871355,0.0,418.4399999999987,-1.539999999999992,0.0,2026-06-03
QBTZ/QBTS,bucket_4,414.4233829376399,0.0,431.2801969708253,-14.180000000000007,0.0,2026-06-03
RCAT/(spot),bucket_1,421.0799999999999,0.0,421.0799999999999,0.0,0.0,2026-06-03
CRML/CRMX,bucket_1,435.9435763244801,0.0,462.77999999999975,-23.019999999999982,0.0,2026-06-03
QBTS/(spot),bucket_2,437.457369800396,0.0,437.45736980039555,0.0,0.0,2026-06-03
SNOW/SNOU,bucket_1,439.31871213190385,0.0,441.03000000000003,-0.2600000000000051,0.0,2026-06-03
BMNR/BMNG,bucket_1,440.42083594427686,0.0,445.85,-3.7100000000000364,0.0,2026-06-03
SMST/MSTR,bucket_4,440.87075326554054,0.0,440.87075326554054,0.0,0.0,2026-06-03
BBAI/BAIG,bucket_1,473.7103236701414,0.0,476.8299999999999,-1.2799999999999727,0.0,2026-06-03
CRCL/CRCG,bucket_1,474.3219343384177,0.0,477.39999999999986,-1.0999999999999943,0.0,2026-06-03
TSUI/TXXS,bucket_1,476.4423952892471,0.0,479.93066799999997,-2.4299999999999997,0.0,2026-06-03
IONQ/(spot),bucket_1,476.85026368468243,96.151737252168,380.6985264325158,0.0,0.0,2026-06-03
AMD/(spot),bucket_2,480.0443271170643,8.96409782903902,471.0802292880235,0.0,0.0,2026-06-03
SMCI/(spot),bucket_1,489.39279598879375,441.53671458197005,47.85608140682433,0.0,0.0,2026-06-03
CBRZ/CBRS,bucket_4,540.2047934258278,0.0,406.9886138758569,0.0,0.0,2026-06-03
USAR/(spot),bucket_1,556.2600000000002,0.0,556.2600000000002,0.0,0.0,2026-06-03
CRCL/CCUP,bucket_1,564.483849017357,0.0,571.9000000000001,-5.189999999999998,0.0,2026-06-03
