date,pair,etf,underlying,delta,pair_pnl_cum,etf_leg_pnl_cum,und_leg_pnl_cum
2026-01-30,ASTN|ASTS,ASTN,ASTS,-2.003824,0.0,,
2026-01-30,QBTZ|QBTS,QBTZ,QBTS,-2.006635,0.0,,
2026-01-30,RKLZ|RKLB,RKLZ,RKLB,-2.012522,0.0,,
2026-01-30,UVIX|SVIX,UVIX,SVIX,-1.984847,0.0,,
2026-01-30,BEZ|BE,BEZ,BE,-2.009837,0.0,,
2026-01-30,CLSZ|CLSK,CLSZ,CLSK,-2.024298,0.0,,
2026-01-30,CRCD|CRCL,CRCD,CRCL,-2.008946,0.0,,
2026-01-30,CORD|CRWV,CORD,CRWV,-2.013539,0.0,,
2026-01-30,NBIZ|NBIS,NBIZ,NBIS,-2.044717,0.0,,
2026-01-30,IREZ|IREN,IREZ,IREN,-2.017476,0.0,,
2026-01-30,MSDD|MSTR,MSDD,MSTR,-1.989383,0.0,,
2026-01-30,MSTZ|MSTR,MSTZ,MSTR,-2.001553,0.0,,
2026-02-27,CLSZ|CLSK,CLSZ,CLSK,-2.036506,0.0,,
2026-02-27,UVIX|SVIX,UVIX,SVIX,-1.0,0.0,,
2026-02-27,CRCD|CRCL,CRCD,CRCL,-2.012717,0.0,,
2026-02-27,CORD|CRWV,CORD,CRWV,-1.999552,0.0,,
2026-02-27,IREZ|IREN,IREZ,IREN,-1.0,0.0,,
2026-02-27,MSDD|MSTR,MSDD,MSTR,-1.0,0.0,,
2026-02-27,MSTZ|MSTR,MSTZ,MSTR,-1.982952,0.0,,
2026-02-27,NBIZ|NBIS,NBIZ,NBIS,-1.0,0.0,,
2026-02-27,QBTZ|QBTS,QBTZ,QBTS,-1.0,0.0,,
2026-02-27,RKLZ|RKLB,RKLZ,RKLB,-1.0,0.0,,
2026-02-28,CLSZ|CLSK,CLSZ,CLSK,-2.035246,48.76088773738038,48.76088773738038,0.0
2026-02-28,UVIX|SVIX,UVIX,SVIX,-1.0,0.0,,
2026-02-28,CRCD|CRCL,CRCD,CRCL,-2.012717,0.0,,
2026-02-28,CORD|CRWV,CORD,CRWV,-1.999552,0.0,,
2026-02-28,IREZ|IREN,IREZ,IREN,-1.0,0.0,,
2026-02-28,MSDD|MSTR,MSDD,MSTR,-1.0,0.0,,
2026-02-28,MSTZ|MSTR,MSTZ,MSTR,-1.982952,0.0,,
2026-02-28,NBIZ|NBIS,NBIZ,NBIS,-1.0,0.0,,
2026-02-28,QBTZ|QBTS,QBTZ,QBTS,-1.0,0.0,,
2026-02-28,RKLZ|RKLB,RKLZ,RKLB,-1.0,0.0,,
2026-03-02,CLSZ|CLSK,CLSZ,CLSK,-1.977499,48.76088773738038,48.76088773738038,0.0
2026-03-02,UVIX|SVIX,UVIX,SVIX,-1.0,0.0,,
2026-03-02,CRCD|CRCL,CRCD,CRCL,-2.011571,0.0,,
2026-03-02,CORD|CRWV,CORD,CRWV,-1.999262,0.0,,
2026-03-02,IREZ|IREN,IREZ,IREN,-1.0,0.0,,
2026-03-02,MSDD|MSTR,MSDD,MSTR,-1.0,0.0,,
2026-03-02,MSTZ|MSTR,MSTZ,MSTR,-1.982596,0.0,,
2026-03-02,NBIZ|NBIS,NBIZ,NBIS,-1.0,0.0,,
2026-03-02,QBTZ|QBTS,QBTZ,QBTS,-1.0,0.0,,
2026-03-02,RKLZ|RKLB,RKLZ,RKLB,-1.0,0.0,,
2026-03-03,CLSZ|CLSK,CLSZ,CLSK,-1.835789,430.0536777796521,430.0536777796521,0.0
2026-03-03,UVIX|SVIX,UVIX,SVIX,-1.0,0.0,,
2026-03-03,CRCD|CRCL,CRCD,CRCL,-2.011736,0.0,,
2026-03-03,CORD|CRWV,CORD,CRWV,-1.999622,0.0,,
2026-03-03,IREZ|IREN,IREZ,IREN,-1.0,0.0,,
2026-03-03,MSDD|MSTR,MSDD,MSTR,-1.0,0.0,,
2026-03-03,MSTZ|MSTR,MSTZ,MSTR,-1.98265,0.0,,
2026-03-03,NBIZ|NBIS,NBIZ,NBIS,-1.0,0.0,,
2026-03-03,QBTZ|QBTS,QBTZ,QBTS,-1.0,0.0,,
2026-03-03,RKLZ|RKLB,RKLZ,RKLB,-1.0,0.0,,
2026-03-04,CLSZ|CLSK,CLSZ,CLSK,-1.940526,105.02213931437213,105.02213931437213,0.0
2026-03-04,UVIX|SVIX,UVIX,SVIX,-1.0,0.0,,
2026-03-04,RKLZ|RKLB,RKLZ,RKLB,-1.0,0.0,,
2026-03-04,CRCD|CRCL,CRCD,CRCL,-2.011076,0.0,,
2026-03-04,CORD|CRWV,CORD,CRWV,-2.001479,0.0,,
2026-03-04,IREZ|IREN,IREZ,IREN,-1.0,0.0,,
2026-03-04,MSDD|MSTR,MSDD,MSTR,-1.0,0.0,,
2026-03-04,MSTZ|MSTR,MSTZ,MSTR,-1.982689,0.0,,
2026-03-04,NBIZ|NBIS,NBIZ,NBIS,-1.0,0.0,,
2026-03-04,QBTZ|QBTS,QBTZ,QBTS,-1.0,0.0,,
2026-03-05,CLSZ|CLSK,CLSZ,CLSK,-2.07431,341.78757941,341.78757941,0.0
2026-03-05,UVIX|SVIX,UVIX,SVIX,-1.0,0.0,,
