Date,Cumulative PnL,Daily PnL,Net Capital Deployed
2/27/2026,0,-,-
3/2/2026,1900.688264,1900.688264,136496.68
3/3/2026,2901.498259,1000.809995,137685.26
3/4/2026,1332.378272,-1569.119987,138164.32
3/5/2026,1478.913015,146.5347433,408927.1
3/6/2026,841.1670727,-637.7459423,408428.73
3/10/2026,5113.85133,4272.684257,443380.29
3/11/2026,4723.56029,-390.2910392,444798.4
3/12/2026,5806.090284,1082.529994,446006.37
3/13/2026,2532.640285,-3273.449999,442790.94
3/17/2026,7221.411768,4688.771483,460985.3
3/18/2026,6575.388028,-646.0237404,437274.81
3/19/2026,3526.548045,-3048.839983,434376.23
3/20/2026,3106.654877,-419.8931677,423073.92
3/23/2026,1984.062479,-1122.592398,422092.74
3/24/2026,5961.83774,3977.775261,425969.63
3/25/2026,4508.624269,-1453.213471,437048.57
3/26/2026,7259.397503,2750.773234,442442.59
3/27/2026,4216.536262,-3042.861241,439526.39
3/31/2026,2195.358605,-2021.177657,404673.24
4/1/2026,9379.268588,7183.909983,414393.3
4/2/2026,11036.90685,1657.638265,452185.52
4/3/2026,13822.66584,2785.758992,454524.9
4/7/2026,14808.38679,985.720942,442637.97
4/8/2026,13881.15677,-927.230012,443278.31
4/9/2026,15906.90679,2025.750012,544670.77
4/10/2026,17058.71208,1151.805297,545660.17
4/14/2026,19497.16647,2438.45439,548431.88
4/15/2026,18593.01687,-904.1496086,547740.98
4/16/2026,18381.11836,-211.8985015,647042.96
4/17/2026,18762.69703,381.5786709,648289.73
4/21/2026,24076.90461,5314.207575,655311.32
4/22/2026,20614.39642,-3462.508192,651747.47
4/23/2026,22713.22909,2098.832672,697766.86
4/24/2026,22014.10425,-699.1248387,755572.98
4/28/2026,27431.12521,5417.020961,803415.97
4/29/2026,25837.63514,-1593.490076,807643.14
4/30/2026,22821.5151,-3016.120032,805020.31
5/1/2026,29823.67513,7002.160028,812380.86
5/4/2026,35754.65516,5930.980029,818691.91
5/5/2026,36725.81727,971.1621129,814501.27
