date,symbol,underlying,bucket,pair,type,category,amount_usd,ex_date,description
2026-03-31,PALU,PANW,bucket_1,PANW | PALU,Payment In Lieu Of Dividends,pil_dividends,-19.03,2026-03-24,PALU(US25461A3793) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,PLTA,PLTR,bucket_1,PLTR | PLTA,Payment In Lieu Of Dividends,pil_dividends,-35.34,2026-03-25,PLTA(US74349Y3817) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,PLTU,PLTR,bucket_1,PLTR | PLTU,Payment In Lieu Of Dividends,pil_dividends,-37.27,2026-03-24,PLTU(US25461A4452) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,PLTW,PLTR,bucket_2,PLTR | PLTW,Payment In Lieu Of Dividends,pil_dividends,-31.42,2026-03-30,PLTW(US77926X7268) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,QCMU,QCOM,bucket_1,QCOM | QCMU,Payment In Lieu Of Dividends,pil_dividends,-31.66,2026-03-24,QCMU(US25461A2704) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,SDS,SPY,bucket_3,SPY | SDS,Payment In Lieu Of Dividends,pil_dividends,-26.99,2026-03-25,SDS(US74350P6676) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,SHPU,SHOP,bucket_1,SHOP | SHPU,Payment In Lieu Of Dividends,pil_dividends,-5.16,2026-03-24,SHPU(US25461A2217) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,SOFA,SOFI,bucket_1,SOFI | SOFA,Payment In Lieu Of Dividends,pil_dividends,-13.16,2026-03-24,SOFA(US25461H6302) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,SOXS,SOXX,bucket_3,SOXX | SOXS,Payment In Lieu Of Dividends,pil_dividends,-25.53,2026-03-24,SOXS(US25461H5726) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,SQQQ,QQQ,bucket_3,QQQ | SQQQ,Payment In Lieu Of Dividends,pil_dividends,-29.37,2026-03-25,SQQQ(US74350P6759) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,TQQY,QQQ,bucket_3,QQQ | TQQY,Payment In Lieu Of Dividends,pil_dividends,-1.54,2026-03-27,TQQY(US38747R6374) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,TSLI,TSLA,bucket_1,TSLA | TSLI,Payment In Lieu Of Dividends,pil_dividends,-26.8,2026-03-25,TSLI(US74349Y3734) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,TSLL,TSLA,bucket_1,TSLA | TSLL,Payment In Lieu Of Dividends,pil_dividends,-28.43,2026-03-24,TSLL(US25460G2865) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,TSYY,TSLA,bucket_3,TSLA | TSYY,Payment In Lieu Of Dividends,pil_dividends,-0.66,2026-03-27,TSYY(US38747R6119) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,URAA,URA,bucket_1,URA | URAA,Payment In Lieu Of Dividends,pil_dividends,-42.69,2026-03-24,URAA(US25461A6432) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,XBTY,IBIT,bucket_2,IBIT | XBTY,Payment In Lieu Of Dividends,pil_dividends,-205.4,2026-03-27,XBTY(US38747R4213) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,XOMX,XOM,bucket_1,XOM | XOMX,Payment In Lieu Of Dividends,pil_dividends,-15.55,2026-03-24,XOMX(US25461A3538) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,YINN,FXI,bucket_1,FXI | YINN,Payment In Lieu Of Dividends,pil_dividends,-5.57,2026-03-24,YINN(US25460G1958) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-01,ALB,ALB,bucket_1,ALB (spot),Dividends,dividends,5.67,2026-03-13,ALB(US0126531013) CASH DIVIDEND USD 0.405 PER SHARE (Ordinary Dividend)
2026-04-01,NAN,NAN,,,Dividends,dividends,0.72,2026-03-13,NAN(US67066X1072) CASH DIVIDEND USD 0.072 PER SHARE (Ordinary Dividend)
2026-04-01,NVDA,NVDA,bucket_1,NVDA (spot),Dividends,dividends,1.44,2026-03-11,NVDA(US67066G1040) CASH DIVIDEND USD 0.01 PER SHARE (Ordinary Dividend)
2026-04-06,BRKC,BRKC,,,Payment In Lieu Of Dividends,pil_dividends,-17.11,2026-04-02,BRKC(US88634T8320) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-06,MARO,MARA,bucket_2,MARA | MARO,Payment In Lieu Of Dividends,pil_dividends,-51.24,2026-04-02,MARO(US88636R6027) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,HOOW,HOOD,bucket_2,HOOD | HOOW,Payment In Lieu Of Dividends,pil_dividends,-35.51,2026-04-06,HOOW(US77926X6351) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,MAAY,MARA,bucket_2,MARA | MAAY,Payment In Lieu Of Dividends,pil_dividends,-327.5,2026-04-02,MAAY(US38747R2498) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,MSFW,MSFT,bucket_2,MSFT | MSFW,Payment In Lieu Of Dividends,pil_dividends,-8.78,2026-04-06,MSFW(US77926X7342) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,MSTW,MSTR,bucket_2,MSTR | MSTW,Payment In Lieu Of Dividends,pil_dividends,-24.39,2026-04-06,MSTW(US77926X5932) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,MTYY,MSTR,bucket_2,MSTR | MTYY,Payment In Lieu Of Dividends,pil_dividends,-699.8,2026-04-02,MTYY(US38747R2803) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,NFLW,NFLX,bucket_2,NFLX | NFLW,Payment In Lieu Of Dividends,pil_dividends,-41.33,2026-04-06,NFLW(US77926X6435) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,NVYY,NVDA,bucket_3,NVDA | NVYY,Payment In Lieu Of Dividends,pil_dividends,-0.84,2026-04-02,NVYY(US38747R4395) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,PLTW,PLTR,bucket_2,PLTR | PLTW,Payment In Lieu Of Dividends,pil_dividends,-23.29,2026-04-06,PLTW(US77926X7268) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,TQQY,QQQ,bucket_3,QQQ | TQQY,Payment In Lieu Of Dividends,pil_dividends,-1.81,2026-04-02,TQQY(US38747R6374) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,TSYY,TSLA,bucket_3,TSLA | TSYY,Payment In Lieu Of Dividends,pil_dividends,-0.77,2026-04-02,TSYY(US38747R6119) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-07,XBTY,IBIT,bucket_2,IBIT | XBTY,Payment In Lieu Of Dividends,pil_dividends,-244.27,2026-04-02,XBTY(US38747R4213) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-08,BITU,IBIT,bucket_1,IBIT | BITU,Dividends,dividends,-0.19,2026-04-01,BITU(US74349Y7040) CASH DIVIDEND USD 0.013393 PER SHARE (Ordinary Dividend)
2026-04-08,BITU,IBIT,bucket_1,IBIT | BITU,Payment In Lieu Of Dividends,pil_dividends,-4.74,2026-04-01,BITU(US74349Y7040) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-08,ETHT,ETHA,bucket_1,ETHA | ETHT,Payment In Lieu Of Dividends,pil_dividends,-0.44,2026-04-01,ETHT(US74349Y5713) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-04-09,FBYY,META,bucket_2,META | FBYY,Payment In Lieu Of Dividends,pil_dividends,-103.24,2026-04-02,FBYY(US38747R3140) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
