date,symbol,underlying,bucket,pair,type,category,amount_usd,ex_date,description
2026-03-20,MARO,MARA,bucket_2,MARA | MARO,Payment In Lieu Of Dividends,pil_dividends,-77.59,2026-03-19,MARO(US88636R6027) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-20,SOXX,SOXX,bucket_1,SOXX (spot),Payment In Lieu Of Dividends,pil_dividends,4.16,2026-03-17,SOXX(US4642875235) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,FBYY,META,bucket_2,META | FBYY,Payment In Lieu Of Dividends,pil_dividends,-99.75,2026-03-20,FBYY(US38747R3140) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,HOOW,HOOD,bucket_2,HOOD | HOOW,Payment In Lieu Of Dividends,pil_dividends,-42.06,2026-03-23,HOOW(US77926X6351) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,MAAY,MARA,bucket_2,MARA | MAAY,Payment In Lieu Of Dividends,pil_dividends,-363.72,2026-03-20,MAAY(US38747R2498) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,MSFW,MSFT,bucket_2,MSFT | MSFW,Payment In Lieu Of Dividends,pil_dividends,-14.77,2026-03-23,MSFW(US77926X7342) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,MSTW,MSTR,bucket_2,MSTR | MSTW,Payment In Lieu Of Dividends,pil_dividends,-43.47,2026-03-23,MSTW(US77926X5932) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,MTYY,MSTR,bucket_2,MSTR | MTYY,Payment In Lieu Of Dividends,pil_dividends,-778.59,2026-03-20,MTYY(US38747R2803) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,NFLW,NFLX,bucket_2,NFLX | NFLW,Payment In Lieu Of Dividends,pil_dividends,-27.91,2026-03-23,NFLW(US77926X6435) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-24,NVYY,NVDA,bucket_3,NVDA | NVYY,Payment In Lieu Of Dividends,pil_dividends,-0.46,2026-03-20,NVYY(US38747R4395) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
