symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,15277.388945120001,15277.388945120001,1
ZSL,flow_program,11911.2364215,11911.2364215,1
FAZ,flow_program,10875.81175488,10875.81175488,1
LABD,flow_program,10520.601373649999,10520.601373649999,1
SQQQ,flow_program,10164.15580905,10164.15580905,1
SOXS,flow_program,10025.42056472,10025.42056472,1
TSLQ,flow_program,9175.05301734,9175.05301734,1
SDS,flow_program,9022.31241219,9022.31241219,1
NVDQ,flow_program,8591.714364239999,8591.714364239999,1
EWV,flow_program,227.4267765,227.4267765,1
