bucket,etf,underlying,w_book,frac_sleeve,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,prev_w_book,delta_w_book,haircut_factor,ema_applied
core_leveraged,NVTX,NVTS,0.09999999995683673,0.14814814808420254,0.0,0.0,1.086582317545798,0.17177853290483888,2.213919310579444,0.09999999983600098,1.2083574418841891e-10,1.0,False
core_leveraged,ASTX,ASTS,0.09999999989172849,0.1481481479877459,0.0,0.0,0.9163964475529239,0.11627323270271583,2.7584917799918687,0.09999999981369462,7.803387103155757e-11,1.0,False
core_leveraged,IRE,IREN,0.099999999780019,0.14814814782225036,0.0,0.0,0.8984756171362082,0.1350732174805186,2.328118570530297,0.09999999978908407,-9.065068140579058e-12,1.0,False
core_leveraged,SMU,SMR,0.09999999957579231,0.1481481475196923,0.0,0.0,0.8355048127329259,0.1351590893931274,2.1635739465953625,0.0999999997789837,-2.0319139426572264e-10,1.0,False
core_leveraged,CLSX,CLSK,0.09956374884564635,0.14750185014169828,0.0,0.0,0.7775148405313508,0.14135964308787097,1.9250911238988706,0.09999999966540439,-0.00043625081975803837,1.0,False
core_leveraged,NBIG,NBIS,0.05125457381123606,0.07593270194257194,0.0,0.0,0.8369972523656957,0.12251775776005384,2.391074107818089,0.099999994529909,-0.04874542071867294,1.0,False
core_leveraged,NEBX,NBIS,0.04874542424885413,0.07221544333163574,0.0,0.0,0.8353244859694027,0.11922771256839328,2.452144420044801,5.2171612061543005e-09,0.048745419031692924,1.0,False
core_leveraged,WULX,WULF,0.04037384378617758,0.059813101905448265,0.0,0.0,0.7380507593462613,0.16847516205867977,1.533269133649621,0.07499999922719273,-0.034626155441015154,1.0,False
whitelist_stock,IOYY,IONQ,0.03999999996371252,0.19999999981856256,0.0,0.0,0.5932301134989253,0.26826695080684526,0.7739698800025493,0.03999999998821572,-2.450319808167123e-11,1.0,False
whitelist_stock,MAAY,MARA,0.03999999995899141,0.199999999794957,0.0,0.0,0.5770089807709469,0.2539926558008446,0.7951141052998896,0.039999999984814204,-2.5822795290952882e-11,1.0,False
whitelist_stock,XBTY,IBIT,0.03999999992110454,0.19999999960552267,0.0,0.0,0.5029723900564718,0.21170235870678145,0.8315464107019702,0.03999999994840279,-2.7298246996210196e-11,1.0,False
whitelist_stock,MTYY,MSTR,0.039999999916300405,0.199999999581502,0.0,0.0,0.5278188691463831,0.26318686433342864,0.7019218252746583,0.039999999967520114,-5.1219709029659555e-11,1.0,False
whitelist_stock,SMYY,SMCI,0.03999999991227885,0.19999999956139422,0.0,0.0,0.5250177588623346,0.2740435310679673,0.6705365928022674,0.03999999996595929,-5.368044203590827e-11,1.0,False
core_leveraged,OKLL,OKLO,0.029277839098357954,0.04337457644201178,0.0,0.0,0.7306534225250771,0.11656279734761259,2.193913527325061,1.4298919970302954e-09,0.029277837668465957,1.0,False
inverse_decay_bucket4,PLTZ,PLTR,0.025000000002623098,0.20000000002098478,0.0,0.0,0.6241217588356408,0.2664824843433857,0.8197259798546163,0.024999999981367278,2.125582002077131e-11,1.0,False
inverse_decay_bucket4,CONI,COIN,0.025000000002540122,0.20000000002032098,0.0,0.0,0.6562780248116088,0.4465912411484712,0.5143345581372457,0.024999999988053467,1.4486654931200604e-11,1.0,False
inverse_decay_bucket4,CORD,CRWV,0.02499999999920778,0.19999999999366225,0.0,0.0,0.8738330124831828,0.9925464042879254,0.3081382926257553,0.025000000005028118,-5.820337267703479e-12,1.0,False
inverse_decay_bucket4,ETHD,ETHA,0.024999999997738498,0.19999999998190798,0.0,0.0,1.1318838934892521,0.30106243085983114,1.3158711353981007,0.025000000010597465,-1.2858967363138518e-11,1.0,False
inverse_decay_bucket4,MSDD,MSTR,0.0249999999778606,0.1999999998228848,0.0,0.0,1.0779873420469552,0.4337188320447181,0.8699082028274338,0.025000000014953682,-3.709308207811013e-11,1.0,False
core_leveraged,GLXU,GLXY,0.005784566301949858,0.00856972785474053,0.0,0.0,0.7149912162360028,0.13466254262433763,1.858326159641172,1.9557349201790714e-10,0.005784566106376366,1.0,False
core_leveraged,NBIL,NBIS,1.8259886933714928e-09,2.7051684346244338e-09,0.0,0.0,0.7875313943789994,0.11080868412212674,2.487494461434631,7.429339859783934e-11,1.7516952947736535e-09,1.0,False
whitelist_stock,FBYY,META,2.6734850985645345e-10,1.336742549282267e-09,0.0,0.0,0.40931923359077504,0.24684670181291274,0.5803672105181724,9.903134342121277e-11,1.6831716643524067e-10,1.0,False
core_leveraged,CRDU,CRDO,1.951819738267149e-10,2.891584797432813e-10,0.0,0.0,0.6979184811544733,0.14488467048212014,1.685971798059965,1.0598531912886938e-10,8.919665469784552e-11,1.0,False
core_leveraged,LABX,ALAB,1.8135275690238494e-10,2.686707509664962e-10,0.0,0.0,0.6810095650415675,0.4255360963749884,0.5601248631902387,2.108857591465619e-10,-2.953300224417696e-11,1.0,False
core_leveraged,IREX,IREN,1.142422900775469e-10,1.6924783715192133e-10,0.0,0.0,0.7370736239491547,0.17214028327508052,1.4986368296487482,3.104864115204314e-11,8.319364892550376e-11,1.0,False
core_leveraged,RKLX,RKLB,1.0477390666767245e-10,1.5522060247062584e-10,0.0,0.0,0.5765411427278755,0.09303654940465053,2.1689260967439723,1.408661015767728e-11,9.068729650999517e-11,1.0,False
core_leveraged,QUBX,QUBT,7.038309332363867e-11,1.0427124936835358e-10,0.0,0.0,0.4952303000782936,0.1596750865129377,1.08552065831108,1.2235086729025114e-11,5.8148006594613555e-11,1.0,False
core_leveraged,APPX,APP,6.609030986910358e-11,9.791157017644974e-11,0.0,0.0,0.48721524137870775,0.11157769070000063,1.5283103047995483,8.135667354108046e-12,5.7954642514995536e-11,1.0,False
core_leveraged,ETU,ETHA,6.527280636537135e-11,9.670045387462422e-11,0.0,0.0,0.4912273071094564,0.09084638978511317,1.8925304340105271,1.276704631672135e-11,5.2505760048650004e-11,1.0,False
core_leveraged,ETHU,ETHA,6.315409976392866e-11,9.356162927989431e-11,0.0,0.0,0.4850380921273799,0.1916539002469368,0.8857807330080478,1.0932030554918048e-11,5.2222069209010615e-11,1.0,False
core_leveraged,CWVX,CRWV,6.106521208470681e-11,9.046698086623231e-11,0.0,0.0,0.5452518591995311,0.43763207758042444,0.4360698415320463,1.902175316169965e-11,4.2043458923007164e-11,1.0,False
whitelist_stock,COYY,COIN,6.02638208755763e-11,3.0131910437788144e-10,0.0,0.0,0.3731802257351789,0.2510734642979833,0.5202185717734639,4.605664061564134e-11,1.4207180259934964e-11,1.0,False
core_leveraged,QBTX,QBTS,5.7382910806817655e-11,8.501171971380393e-11,0.0,0.0,0.5549250789620555,0.4464807506895772,0.435010417216747,1.5374139487297898e-11,4.200877131951976e-11,1.0,False
