symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,3942.946606,0.0,0.0,0.0,-544.3,60.0284084250743,0.0,0.0,3458.6750144250746
SOXS,DIREX DAI SEMI BE 3X ETF-USD,0.0,2845.255889,0.0,0.0,-30.14,-56.81,4.7902695891421745,0.0,0.0,2763.0961585891423
LABD,DIRE DLY SP BT BE 3X ETF-USD,0.0,1918.205835,0.0,0.0,-32.54,-157.35,14.215576564140262,0.0,0.0,1742.5314115641404
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,1476.127687,0.0,0.0,-74.0,-46.88,21.55073097295681,0.0,0.0,1376.7984179729567
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,219.671913,0.0,0.0,0.0,-90.76,32.299551175601884,0.0,0.0,161.21146417560186
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TSYY,GRANITE YIELDBOOST TSLA ETF,0.49581973,35.292349,0.0,0.0,-23.21,-2.7399999999999998,0.9218715418208195,0.0,0.0,10.76004027182082
NVYY,GRANITE YIELDBOOST NVDA,129.68969726,0.0,0.0,0.0,-175.33,-9.59,0.0,0.0,0.0,-55.23030274000001
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-4114.257632,0.0,0.0,0.0,-679.2,56.27571319098305,0.0,0.0,-4737.181918809017
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-4456.895048,0.0,0.0,-131.54000000000002,-512.82,65.68457363143222,0.0,0.0,-5038.976432668567
