symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,31028.4648975,31028.4648975,1
SVIX,SVIX,volatility_etp_bucket5,-30351.7,30351.7,1
