symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,-344.98423,0.0,0.0,0.0,-34.11,6.282562364302235,0.0,0.0,-372.8116676356978
EWV,PROSHARES ULTSHRT MSCI JAPAN,-403.14137552,-12.772977,0.0,0.0,0.0,-2.39,0.17044528604156534,0.0,0.0,-418.13390723395844
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,-418.538703,0.0,0.0,0.0,-6.34,4.965877686305792,0.0,0.0,-419.91282531369416
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,-444.519684,0.0,0.0,0.0,-14.16,4.920265180150094,0.0,0.0,-453.75941881984994
SDS,PROSHARES ULTRASHORT S&P500,0.0,-484.931713,0.0,0.0,0.0,-11.77,6.603967581781017,0.0,0.0,-490.09774541821895
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,-488.441031,0.0,0.0,0.0,-19.92,4.953102884310421,0.0,0.0,-503.40792811568963
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,-488.929621,0.0,0.0,0.0,-24.77,5.077976917593475,0.0,0.0,-508.62164408240653
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,-811.818026,0.0,0.0,0.0,-6.4799999999999995,7.249995781719116,0.0,0.0,-811.0480302182809
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-3000.417632,0.0,0.0,0.0,-63.12,9.196372314367869,0.0,0.0,-3054.341259685632
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-4024.869378,0.0,0.0,0.0,-32.19,11.298397914600686,0.0,0.0,-4049.166938385399
