symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,16333.097959199999,16333.097959199999,1
ZSL,flow_program,13540.686873480001,13540.686873480001,1
LABD,flow_program,11045.174774789999,11045.174774789999,1
FAZ,flow_program,10812.273479,10812.273479,1
SQQQ,flow_program,10746.657483750001,10746.657483750001,1
SOXS,flow_program,10696.727409279998,10696.727409279998,1
TSLQ,flow_program,9776.48643135,9776.48643135,1
SDS,flow_program,9286.78622256,9286.78622256,1
NVDQ,flow_program,9101.9065158,9101.9065158,1
EWV,flow_program,244.35391444999996,244.35391444999996,1
