underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
AAL,AAL,spot,2150.72,2150.72,1.0,0.0,0.0
AAL,AALG,core_levered_etf,-1948.2880527701998,1948.2880527701998,1.0,0.0,0.0
AAPL,AAPL,spot,16112.56,16112.56,1.0,0.0,0.0
AAPL,AAPB,core_levered_etf,-7786.6375557599995,7786.6375557599995,1.0,0.0,0.0
AAPL,AAPU,core_levered_etf,-7853.593224959999,7853.593224959999,1.0,0.0,0.0
ACHR,ACHR,spot,2249.3999999999996,2249.3999999999996,1.0,0.0,0.0
ACHR,ARCX,core_levered_etf,-2105.9471003999997,2105.9471003999997,1.0,0.0,0.0
ADBE,ADBE,spot,2259.52,2259.52,1.0,0.0,0.0
ADBE,ADBG,core_levered_etf,-2279.21100057,2279.21100057,1.0,0.0,0.0
AFRM,AFRM,spot,2337.26,2337.26,1.0,0.0,0.0
AFRM,AFRU,core_levered_etf,-2300.23411178,2300.23411178,1.0,0.0,0.0
ALAB,ALAB,spot,8561.7,8561.7,1.0,0.0,0.0
ALAB,LABX,core_levered_etf,-9079.65318944,9079.65318944,1.0,0.0,0.0
ALB,ALB,spot,2373.98,2373.98,1.0,0.0,0.0
ALB,ALBG,core_levered_etf,-2315.940996348,2315.940996348,1.0,0.0,0.0
AMD,AMD,spot,25537.68,25537.68,1.0,0.0,0.0
AMD,AMUU,core_levered_etf,-8496.10048463,8496.10048463,1.0,0.0,0.0
AMD,AMDG,core_levered_etf,-8542.84686444,8542.84686444,1.0,0.0,0.0
AMD,AMDL,core_levered_etf,-8565.7207752,8565.7207752,1.0,0.0,0.0
AMZN,AMZN,spot,17719.670000000002,17719.670000000002,1.0,0.0,0.0
AMZN,AMZU,core_levered_etf,-8724.8062575,8724.8062575,1.0,0.0,0.0
AMZN,AMZZ,core_levered_etf,-8730.45191424,8730.45191424,1.0,0.0,0.0
APP,APP,spot,3620.61,3620.61,1.0,0.0,0.0
APP,APPX,core_levered_etf,-4203.3087558,4203.3087558,1.0,0.0,0.0
ASHR,ASHR,spot,8169.119999999999,8169.119999999999,1.0,0.0,0.0
ASHR,CHAU,core_levered_etf,-8008.719505919999,8008.719505919999,1.0,0.0,0.0
ASML,ASML,spot,8144.52,8144.52,1.0,0.0,0.0
ASML,ASMU,core_levered_etf,-7940.1621260544,7940.1621260544,1.0,0.0,0.0
