underlying,net_notional_usd,gross_notional_usd,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,ratio_spot_source,net_bucket_1,net_bucket_2,net_bucket_4
PLTR,35822.47,35822.47,0.8974328790204236,0.10256712097957635,0.0,sleeve_balance,32148.262385722755,3674.2076142772444,0.0
IBIT,33573.54,33573.54,0.8060652393170337,0.1384406760007077,0.0,sleeve_balance,27062.463554820002,4647.9435733368,0.0
MSFT,30705.750000000004,30705.750000000004,0.8735226918199605,0.12647730818003952,0.0,sleeve_balance,26822.169394350753,3883.580605649249,0.0
NFLX,30282.559999999998,30282.559999999998,0.4773086688509822,0.2047677847751313,0.0,sleeve_balance,14454.128402999999,6200.89272852,0.0
NVDA,26301.600000000002,26301.600000000002,0.9992336361739224,0.0007663638260775917,0.0,sleeve_balance,26281.44340519204,20.15659480796239,0.0
AMD,25537.68,25537.68,1.0,0.0,0.0,sleeve_balance,25537.68,0.0,0.0
ETHA,21610.219999999998,21610.219999999998,0.9379827732471026,0.0,0.0,sleeve_balance,20270.01408608,0.0,0.0
MSTR,19453.0,19453.0,0.0,0.9506226977561301,0.0,sleeve_balance,0.0,18492.463339449998,0.0
AVGO,18324.75,18324.75,1.0,0.0,0.0,sleeve_balance,18324.75,0.0,0.0
XRPZ,18148.2,18148.2,0.9414566127373514,0.0,0.0,sleeve_balance,17085.74289928,0.0,0.0
PANW,17830.8,17830.8,1.0,0.0,0.0,sleeve_balance,17830.8,0.0,0.0
AMZN,17719.670000000002,17719.670000000002,0.9850780613713461,0.0,0.0,sleeve_balance,17455.258171740003,0.0,0.0
CRML,17325.719999999998,17325.719999999998,0.8668704765100671,0.0,0.0,sleeve_balance,15019.155152279998,0.0,0.0
BA,16650.0,16650.0,0.9823300412814414,0.0,0.0,sleeve_balance,16355.795187336,0.0,0.0
GOOGL,16543.440000000002,16543.440000000002,0.9941400960404847,0.0,0.0,sleeve_balance,16446.497030439998,0.0,0.0
AAPL,16112.56,16112.56,0.9706856502455227,0.0,0.0,sleeve_balance,15640.230780719998,0.0,0.0
META,15537.36,15537.36,0.5449534880346468,0.4347810985293834,0.0,sleeve_balance,8467.13852685,6755.350449046501,0.0
TSM,13948.0,13948.0,0.9626138865729854,0.0,0.0,sleeve_balance,13426.53848992,0.0,0.0
TSLA,12757.76,12757.76,0.9990103343263513,0.0009896656736486738,0.0,sleeve_balance,12745.134082855353,12.625917144648104,0.0
QBTS,12566.4,12566.4,1.0,0.0,0.0,sleeve_balance,12566.4,0.0,0.0
BLSH,11358.900000000001,11358.900000000001,0.9190907622393012,0.0,0.0,sleeve_balance,10439.8600592,0.0,0.0
CEG,11304.65,11304.65,0.9823532624185624,0.0,0.0,sleeve_balance,11105.159808,0.0,0.0
GSOL,10688.86,10688.86,1.0,0.0,0.0,sleeve_balance,10688.86,0.0,0.0
LEU,10380.05,10380.05,0.9003930760083046,0.0,0.0,sleeve_balance,9346.125148620002,0.0,0.0
CRM,10138.289999999999,10138.289999999999,1.0,0.0,0.0,sleeve_balance,10138.289999999999,0.0,0.0
CRCL,10065.6,10065.6,1.0,0.0,0.0,sleeve_balance,10065.6,0.0,0.0
MRVL,10006.2,10006.2,1.0,0.0,0.0,sleeve_balance,10006.2,0.0,0.0
ASTS,9604.32,9604.32,0.8396403587135789,0.0,0.0,sleeve_balance,8064.17469,0.0,0.0
TER,9486.08,9486.08,0.8867745029544344,0.0,0.0,sleeve_balance,8412.013876986,0.0,0.0
SNOW,9324.84,9324.84,1.0,0.0,0.0,sleeve_balance,9324.84,0.0,0.0
MARA,9231.56,9231.56,0.0,0.9708640117357415,0.0,sleeve_balance,0.0,8962.589376179201,0.0
FXI,9156.48,9156.48,1.0,0.0,0.0,sleeve_balance,9156.48,0.0,0.0
MRNA,9141.36,9141.36,1.0,0.0,0.0,sleeve_balance,9141.36,0.0,0.0
FIG,9083.04,9083.04,0.9892727789814864,0.0,0.0,sleeve_balance,8985.604222400001,0.0,0.0
XOP,9061.92,9061.92,1.0,0.0,0.0,sleeve_balance,9061.92,0.0,0.0
BMNR,9004.5,9004.5,0.947081376211894,0.0,0.0,sleeve_balance,8527.9942521,0.0,0.0
SOFI,8981.619999999999,8981.619999999999,1.0,0.0,0.0,sleeve_balance,8981.619999999999,0.0,0.0
VRT,8723.550000000001,8723.550000000001,1.0,0.0,0.0,sleeve_balance,8723.550000000001,0.0,0.0
SOEZ,8652.8944,8652.8944,0.9456897127971422,0.0,0.0,sleeve_balance,8182.953219999999,0.0,0.0
FIGR,8584.32,8584.32,1.0,0.0,0.0,sleeve_balance,8584.32,0.0,0.0
KLAC,8574.599999999999,8574.599999999999,0.9670873205428594,0.0,0.0,sleeve_balance,8292.3869387268,0.0,0.0
ALAB,8561.7,8561.7,1.0,0.0,0.0,sleeve_balance,8561.7,0.0,0.0
XLE,8504.32,8504.32,1.0,0.0,0.0,sleeve_balance,8504.32,0.0,0.0
DASH,8476.32,8476.32,0.9899632061484231,0.0,0.0,sleeve_balance,8391.244923540002,0.0,0.0
XOM,8424.64,8424.64,0.9908959797926085,0.0,0.0,sleeve_balance,8347.9419072,0.0,0.0
INTC,8341.14,8341.14,0.9917775562836736,0.0,0.0,sleeve_balance,8272.55544582,0.0,0.0
GEV,8301.0,8301.0,0.9743934497771353,0.0,0.0,sleeve_balance,8088.4400266,0.0,0.0
IREN,8272.92,8272.92,0.9011919690808082,0.0,0.0,sleeve_balance,7455.489064848,0.0,0.0
UNH,8269.93,8269.93,0.9952080329482836,0.0,0.0,sleeve_balance,8230.30076792,0.0,0.0
CSCO,8230.679999999998,8230.679999999998,0.9776074571770984,0.0,0.0,sleeve_balance,8046.374145638399,0.0,0.0
NU,8229.87,8229.87,0.9752104937029623,0.0,0.0,sleeve_balance,8025.8555858111995,0.0,0.0
KWEB,8215.26,8215.26,0.9784464751499039,0.0,0.0,sleeve_balance,8038.19218944,0.0,0.0
UBER,8196.24,8196.24,0.9828638041404352,0.0,0.0,sleeve_balance,8055.787626048,0.0,0.0
ASHR,8169.119999999999,8169.119999999999,0.98036502168165,0.0,0.0,sleeve_balance,8008.719505919999,0.0,0.0
QCOM,8148.490000000001,8148.490000000001,0.9735877300186905,0.0,0.0,sleeve_balance,7933.2698821799995,0.0,0.0
ASML,8144.52,8144.52,0.9749085429287913,0.0,0.0,sleeve_balance,7940.1621260544,0.0,0.0
PLUG,8124.860000000001,8124.860000000001,1.0,0.0,0.0,sleeve_balance,8124.860000000001,0.0,0.0
COST,8042.4,8042.4,1.0,0.0,0.0,sleeve_balance,8042.4,0.0,0.0
NBIS,7880.0199999999995,7880.0199999999995,0.945790968269116,0.0,0.0,sleeve_balance,7452.851745779999,0.0,0.0
CRWV,7813.049999999999,7813.049999999999,0.9157720413026923,0.0,0.0,sleeve_balance,7154.972747299999,0.0,0.0
