symbol,net_notional_usd,gross_notional_usd,n_legs
SOXS,10465.7583888,10465.7583888,1
DUST,10355.75197292,10355.75197292,1
FAZ,10032.639355399999,10032.639355399999,1
LABD,9360.32954175,9360.32954175,1
SQQQ,9243.590223999998,9243.590223999998,1
ZSL,8735.3411886,8735.3411886,1
SDS,8386.56165824,8386.56165824,1
TSLQ,8325.995738239999,8325.995738239999,1
NVDQ,8181.3104523599995,8181.3104523599995,1
TSYY,-12.63842496,12.63842496,1
NVYY,-20.172053940399998,20.172053940399998,1
TQQY,-73.8237503892,73.8237503892,1
