ETF,Underlying,Leverage,is_yieldboost,scenario_style,Delta_product_class,Delta,Delta_n_obs,Delta_source,Delta_se,Delta_resid_sigma_annual,Delta_horizon_chosen,Delta_quality,Delta_prior_mu,Delta_prior_tau,Delta_prior_source
AAPU,AAPL,2.0,False,,letf_long,1.997139,500,posterior.nominal_L,0.01231769095974776,0.026479527556955314,1,ok,2.0,240.0,nominal_L
AMUU,AMD,2.0,False,,letf_long,1.987996,306,posterior.nominal_L,0.013090580823245906,0.08366388656582457,1,ok,2.0,240.0,nominal_L
AMZU,AMZN,2.0,False,,letf_long,1.997401,500,posterior.nominal_L,0.00644215755677432,0.025970004188992427,1,ok,2.0,240.0,nominal_L
ASMU,ASML,2.0,False,,letf_long,1.996685,91,posterior.nominal_L,0.01071048892456767,0.08971283806265587,1,ok,2.0,240.0,nominal_L
AVL,AVGO,2.0,False,,letf_long,1.996002,425,posterior.nominal_L,0.017656504403951577,0.07179378768850718,1,ok,2.0,240.0,nominal_L
BOEU,BA,2.0,False,,letf_long,1.993458,293,posterior.nominal_L,0.009772758536205212,0.05192547684252029,1,ok,2.0,240.0,nominal_L
BABU,BABA,2.0,False,,letf_long,2.009317,90,posterior.nominal_L,0.012188179568247741,0.053890088091442655,1,ok,2.0,240.0,nominal_L
BRKU,BRK-B,2.0,False,,letf_long,1.982783,382,posterior.nominal_L,0.00897687398153318,0.03699931451117878,1,ok,2.0,240.0,nominal_L
CONX,COIN,2.0,False,,letf_long,2.0034,147,posterior.nominal_L,0.009356468773079944,0.07672433449832465,1,ok,2.0,240.0,nominal_L
CSCL,CSCO,2.0,False,,letf_long,1.998393,250,posterior.nominal_L,0.029550672919638612,0.05584425300450527,1,ok,2.0,240.0,nominal_L
GGLL,GOOGL,2.0,False,,letf_long,1.998034,500,posterior.nominal_L,0.00840384780114819,0.02650707905472566,1,ok,2.0,240.0,nominal_L
HODU,HOOD,2.0,False,,letf_long,2.000865,147,posterior.nominal_L,0.009045851253744127,0.07364213822701518,1,ok,2.0,240.0,nominal_L
LINT,INTC,2.0,False,,letf_long,1.991073,147,posterior.nominal_L,0.012248409089846812,0.1108482219806171,1,ok,2.0,240.0,nominal_L
ELIL,LLY,2.0,False,,letf_long,1.987991,311,posterior.nominal_L,0.012983398755288901,0.05897090979989199,1,ok,2.0,240.0,nominal_L
LMTL,LMT,2.0,False,,letf_long,1.998746,221,posterior.nominal_L,0.007471971773198365,0.05151600338243782,1,ok,2.0,240.0,nominal_L
METU,META,2.0,False,,letf_long,2.001239,500,posterior.nominal_L,0.008770376509755646,0.03585953941138271,1,ok,2.0,240.0,nominal_L
MRVU,MRVL,2.0,False,,letf_long,1.992697,90,posterior.nominal_L,0.02091588226787581,0.16477124684725425,1,ok,2.0,240.0,nominal_L
MSFU,MSFT,2.0,False,,letf_long,2.002067,500,posterior.nominal_L,0.009446739646304807,0.027527586008706598,1,ok,2.0,240.0,nominal_L
MUU,MU,2.0,False,,letf_long,1.988241,425,posterior.nominal_L,0.012450970581313345,0.10068663927540028,1,ok,2.0,240.0,nominal_L
NFXL,NFLX,2.0,False,,letf_long,2.00179,430,posterior.nominal_L,0.011341734715308017,0.0419192440352113,1,ok,2.0,240.0,nominal_L
NVDU,NVDA,2.0,False,,letf_long,1.996703,500,posterior.nominal_L,0.010590510043437005,0.05291153469389152,1,ok,2.0,240.0,nominal_L
ORCU,ORCL,2.0,False,,letf_long,2.001371,147,posterior.nominal_L,0.015197925903609143,0.09880988252544765,1,ok,2.0,240.0,nominal_L
PALU,PANW,2.0,False,,letf_long,1.998759,311,posterior.nominal_L,0.006549959382494038,0.04083538110952652,1,ok,2.0,240.0,nominal_L
PLTU,PLTR,2.0,False,,letf_long,1.999028,382,posterior.nominal_L,0.010037326785941218,0.06514519092294749,1,ok,2.0,240.0,nominal_L
QCMU,QCOM,2.0,False,,letf_long,2.005128,250,posterior.nominal_L,0.011165178997045989,0.09951046632385221,1,ok,2.0,240.0,nominal_L
SHPU,SHOP,2.0,False,,letf_long,2.00527,221,posterior.nominal_L,0.01744796310820694,0.06910065304312384,1,ok,2.0,240.0,nominal_L
SOFA,SOFI,2.0,False,,letf_long,2.001443,91,posterior.nominal_L,0.020967686426247304,0.07995803636506721,1,ok,2.0,240.0,nominal_L
TSLL,TSLA,2.0,False,,letf_long,1.995967,500,posterior.nominal_L,0.009553007210300729,0.05947860131950819,1,ok,2.0,240.0,nominal_L
TSMX,TSM,2.0,False,,letf_long,1.995599,430,posterior.nominal_L,0.005980468232656493,0.042929492365605094,1,ok,2.0,240.0,nominal_L
XOMX,XOM,2.0,False,,letf_long,2.004606,293,posterior.nominal_L,0.011224854723946088,0.05886828926983188,1,ok,2.0,240.0,nominal_L
YINN,FXI,3.0,False,,letf_long,2.989207,500,posterior.nominal_L,0.026506496606587365,0.08103472306954998,1,ok,3.0,540.0,nominal_L
MEXX,EWW,3.0,False,,letf_long,2.986051,500,posterior.nominal_L,0.009676313139124742,0.06293121245375084,1,ok,3.0,540.0,nominal_L
KORU,EWY,3.0,False,,letf_long,2.982474,500,posterior.nominal_L,0.04084047099150343,0.17121580473947023,1,ok,3.0,540.0,nominal_L
