ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,short_credit_usd,margin_cost_usd,txn_cost_usd,end_etf_usd,end_underlying_usd,last_target_etf_usd,last_target_underlying_usd,Delta,pnl_usd,end_weight,long_usd,short_usd,hedge_ratio,n_rebals,rebalance_dates
AMUU,AMD,core_leveraged,-15796.076002084179,534.2348915314204,348.0712838200039,3.2621606925087816,191.77446301916711,-44397.17162763793,41056.264677613566,-43651.355814158014,41752.40098134529,1.987996,-16177.276233507271,0.07715227747746004,41752.40098134529,-43651.355814158014,0.9564972313598376,4,2026-03-02;2026-04-24;2026-05-22;2026-06-26
NVTX,NVTS,core_leveraged,-4786.568527328627,382.74164894113693,39.90001552680167,0.0,145.73222447257885,-4296.943785875255,22338.77150651772,-23341.870720071212,46170.266968042306,1.978002,-5275.142385215542,0.024048255820966195,46170.266968042306,-23341.870720071212,1.9780020000000003,1,2026-05-29
GDXU,GDX,core_leveraged,-3907.349471625727,36.92855652175391,52.85727526251907,4.741752621293326,121.12362252525853,-2401.8568063125176,28743.211554836427,-14787.478560977184,45036.1827811268,3.045562,-4017.2861280315137,0.028119559144120163,45036.1827811268,-14787.478560977184,3.0455620000000003,1,2026-03-02
CRMX,CRML,core_leveraged,-1752.8012814676795,1062.0842478490265,55.465129414227995,0.0,168.9702573801487,-10081.6541022074,32892.77620394948,-24885.619790238143,49449.54317344787,1.987073,-2928.3906572826268,0.03879978751904944,49449.54317344787,-24885.619790238143,1.9870729999999996,1,2026-05-29
AAOX,AAOI,core_leveraged,-2065.119609108437,680.4429345169457,102.74043286683747,0.0,258.10828200409946,-12083.221866116097,52121.473126580764,-42447.27872177693,84550.64959135003,1.991898,-2900.9303927626443,0.05796769161789483,84550.64959135003,-42447.27872177693,1.9918980000000002,1,2026-05-22
CRMU,CRML,core_leveraged,-1893.2948593551394,334.77005940402535,57.568096911702014,4.085649909387461,442.75132970482025,-12352.56843497799,38251.08904317022,-22923.1267377649,51292.4000764483,1.991506,-2617.3338014616706,0.04568789263409067,51292.4000764483,-22923.1267377649,2.2375830602526925,5,2026-03-02;2026-03-06;2026-05-22;2026-05-29;2026-06-26
NEBX,NBIS,core_leveraged,-1478.2012213148562,700.074506009881,282.9820865145821,3.3919524901229896,216.6408370503677,-20286.843448150437,27754.141387123225,-28816.174760810616,31681.727395646547,1.989054,-2115.3264303506458,0.04337416437018933,31681.727395646547,-28816.174760810616,1.099442506114067,4,2026-03-02;2026-03-13;2026-05-29;2026-06-26
AXTX,AXTI,core_leveraged,-1486.4822524901547,189.53205448146178,34.33247743679992,0.0,275.67231039488314,-20429.965549508113,62490.14606494248,-43327.77086949186,86874.43363741638,2.005052,-1917.3541399296996,0.07486504623275045,86874.43363741638,-43327.77086949186,2.0050519999999996,1,2026-06-26
IREZ,IREN,inverse_decay_bucket4,-1105.3289960179986,625.5771122534571,52.70864712581893,0.0,27.176875288589,-6736.007909032773,-3284.4119976601414,-3804.8579241203784,-4791.803719659194,-2.014306,-1705.3743364342256,0.009047011454521525,-4791.803719659194,-3804.8579241203784,1.2593909720734136,3,2026-04-20;2026-05-27;2026-06-22
LITZ,LITE,inverse_decay_bucket4,-1308.3395859400182,275.3144714790932,41.856415104377476,0.0,52.695194425643685,-15696.16114145168,-10418.455714404783,-18280.39053540684,-9917.97890909372,-1.995909,-1594.4928367403775,0.023577778179492283,-9917.97890909372,-18280.39053540684,0.5425474302577852,2,2026-06-16;2026-07-06
