date,book_equity_start,book_equity,daily_price_pnl,daily_borrow_cost,daily_short_credit,daily_margin_cost,daily_txn_cost,daily_net_pnl,pnl_recon_residual,long_notional,short_notional,gross_notional,net_notional,pair_gross_notional,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,underlying_internalized_usd,gross_leverage,net_exposure_pct,turnover_usd,n_positions,largest_pair_gross_share,top5_gross_share,gross_hhi,n_stale_etf,n_stale_underlying,is_rebalance,active_plan_date,drawdown,core_leveraged,core_leveraged__price_pnl,core_leveraged__borrow_cost,core_leveraged__short_credit,core_leveraged__margin_cost,core_leveraged__txn_cost,core_leveraged__net_cap,core_leveraged__gross_cap,yieldboost,yieldboost__price_pnl,yieldboost__borrow_cost,yieldboost__short_credit,yieldboost__margin_cost,yieldboost__txn_cost,yieldboost__net_cap,yieldboost__gross_cap,inverse_decay_bucket4,inverse_decay_bucket4__price_pnl,inverse_decay_bucket4__borrow_cost,inverse_decay_bucket4__short_credit,inverse_decay_bucket4__margin_cost,inverse_decay_bucket4__txn_cost,inverse_decay_bucket4__net_cap,inverse_decay_bucket4__gross_cap,volatility_etp_bucket5,volatility_etp_bucket5__price_pnl,volatility_etp_bucket5__borrow_cost,volatility_etp_bucket5__short_credit,volatility_etp_bucket5__margin_cost,volatility_etp_bucket5__txn_cost,volatility_etp_bucket5__net_cap,volatility_etp_bucket5__gross_cap,core_leveraged_cum_pnl,yieldboost_cum_pnl,inverse_decay_bucket4_cum_pnl,volatility_etp_bucket5_cum_pnl
2026-02-27,1050000.0,1050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0,,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,1050000.0,1045164.6293931609,0.0,0.0,0.0,0.0,4835.370606839074,-4835.370606839075,-9.094947017729282e-13,1434947.2340853896,707052.7659146104,2142000.0,727894.4681707793,2142000.0,,,,2257500.0,2142000.0,0.9488372093023256,0.0,2.0494378969212526,0.6964400130852173,2142000.0,23,0.09,0.4428636277948496,0.060058909812945475,0,0,1,2026-02-28,-0.004605114863656223,-4835.370606839074,0.0,0.0,0.0,0.0,4835.370606839074,727894.4681707794,2141999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4835.370606839074,0.0,0.0,0.0
2026-03-03,1045164.6293931609,1045793.0344171022,929.3094219330978,328.61578970930435,67.08108921052991,39.36969749299604,0.0,628.4050239413045,-2.2737367544323206e-11,1364328.8332714173,635505.0556787046,1999833.888950122,728823.7775927127,1999833.8889501223,,,,2213696.9235298303,1999833.8889501223,0.9033910051974529,0.0,1.9122654513230501,0.6969101472347634,0.0,23,0.09362493625632282,0.4468957083356797,0.06029202468956821,0,0,0,2026-03-02,-0.004006633888474109,628.4050239413273,929.3094219330978,328.61578970930435,67.08108921052991,39.36969749299604,0.0,728823.7775927127,1999833.8889501223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4206.965582897747,0.0,0.0,0.0
2026-03-04,1045793.0344171022,1050764.403016712,5303.428459215036,358.5990557746891,73.69959175138773,47.16039558193368,0.0,4971.368599609821,2.000888343900442e-11,1432333.8647492856,698206.6586973576,2130540.5234466433,734127.206051928,2130540.5234466423,,,,2259143.466485931,2130540.5234466423,0.9430744682898209,0.0,2.027610106823116,0.6986601410785058,0.0,23,0.09335543125843133,0.4402876907306541,0.060128267631592944,0,0,0,2026-03-03,0.0,4971.368599609801,5303.428459215036,358.5990557746891,73.69959175138773,47.16039558193368,0.0,734127.2060519278,2130540.523446643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.4030167120545,0.0,0.0,0.0
2026-03-05,1050764.403016712,1049904.4822204001,-548.3767362473282,338.9179728345786,68.59027745384206,41.21636468391732,0.0,-859.9207963119261,5.5933924159035087e-11,1383381.4578257636,649802.628510083,2033184.0863358467,733578.8293156807,2033184.0863358462,,,,2201809.3697173046,2033184.0863358462,0.9234151304374236,1.1641532182693481e-10,1.9365419624039977,0.6987100652854293,0.0,23,0.10216551063882315,0.43986712536455963,0.060050134326941305,0,0,0,2026-03-04,-0.0008183764065885502,-859.920796311982,-548.3767362473282,338.9179728345786,68.59027745384206,41.21636468391731,0.0,733578.8293156802,2033184.086335847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.51777959992751,0.0,0.0,0.0
2026-03-06,1049904.4822204001,1044621.1597830451,-2727.720661227954,303.74310672981466,62.11573400371855,33.66929616703,2280.305107233924,-5283.322437355062,-5.820766091346741e-11,636250.1636088686,278464.0916531931,914714.2552620617,357786.0719556755,914714.2552620617,,,,2233555.661260803,914714.2552620617,0.4095327782186191,0.0,0.8756420896663022,0.34250318271361,993066.5503049529,14,0.18187306697008543,0.5979284841924574,0.10175827155831144,0,0,1,2026-03-05,-0.005846451608019776,-5283.322437355004,-2727.720661227954,303.74310672981466,62.11573400371855,33.669296167029984,2280.305107233924,357786.0719556755,914714.2552620617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5378.840216954932,0.0,0.0,0.0
2026-03-09,1044621.1597830451,1048678.5191784925,4201.553140806483,176.22351195018865,32.029766591155834,0.0,0.0,4057.35939544742,-2.955857780762017e-11,665427.5191179584,303439.89402147627,968867.4131394346,361987.6250964821,968867.4131394345,,,,2194248.961511882,968867.4131394345,0.4415485344342445,0.0,0.9238936389184554,0.34518455224967687,0.0,14,0.18437688550821857,0.6020843520542857,0.10378779747934726,0,0,0,2026-03-06,-0.0019851108699828757,4057.3593954474495,4201.553140806483,176.22351195018865,32.029766591155834,0.0,0.0,361987.6250964819,968867.4131394346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1321.4808215074822,0.0,0.0,0.0
2026-03-10,1048678.5191784925,1048495.534494891,-38.88746486062067,176.4765224559783,32.37930371510161,0.0,0.0,-182.98468360153493,-3.7545078157563694e-11,668700.0359852155,306751.2983535942,975451.3343388096,361948.73763162125,975451.3343388098,,,,2194248.961511882,975451.3343388098,0.44454906961273166,0.0,0.9303342763483774,0.345207705444343,0.0,14,0.18360639478483426,0.600099156787701,0.10282095834366992,0,0,0,2026-03-06,-0.0021592552196355586,-182.98468360149738,-38.88746486062067,176.4765224559783,32.37930371510161,0.0,0.0,361948.73763162125,975451.3343388095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1504.4655051089796,0.0,0.0,0.0
2026-03-11,1048495.534494891,1048363.1902834558,18.548924402481873,184.43833465232333,33.54519881465338,0.0,0.0,-132.3442114351783,9.777068044058979e-12,679763.9069053716,317796.62034934794,997560.5272547195,361967.28655602364,997560.5272547194,,,,2171673.236026508,997560.5272547194,0.45935111724264166,0.0,0.9515409702481062,0.3452689773075256,0.0,14,0.18312400964397624,0.5984820883059967,0.10329530388155996,0,0,0,2026-03-10,-0.0022852056335012083,-132.34421143518807,18.548924402481873,184.43833465232333,33.54519881465338,0.0,0.0,361967.28655602376,997560.5272547194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1636.8097165441677,0.0,0.0,0.0
2026-03-12,1048363.1902834558,1047138.4222844448,-1083.8548123938526,172.98416618965092,32.07097957250089,0.0,0.0,-1224.7679990109755,2.7284841053187847e-11,664713.7645357435,303830.33279211377,968544.0973278573,360883.43174362974,968544.0973278573,,,,2144800.613460494,968544.0973278573,0.4515776857062603,0.0,0.9249437101303899,0.34463775186123324,0.0,14,0.18265052917175703,0.5968301508853499,0.10184234705676463,0,0,0,2026-03-11,-0.0034508027887670822,-1224.7679990110028,-1083.8548123938526,172.98416618965092,32.07097957250089,0.0,0.0,360883.4317436299,968544.0973278575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2861.5777155551705,0.0,0.0,0.0
