,nav
2026-02-27,1050000.0
2026-03-02,1045164.6293931609
2026-03-03,1045793.0344171022
2026-03-04,1050764.403016712
2026-03-05,1049904.4822204001
2026-03-06,1044621.1597830451
2026-03-09,1048678.5191784925
2026-03-10,1048495.534494891
2026-03-11,1048363.1902834558
2026-03-12,1047138.4222844448
2026-03-13,1046783.0714539944
2026-03-16,1047123.535029379
2026-03-17,1048953.3578778838
2026-03-18,1048935.5324292313
2026-03-19,1048771.849522811
2026-03-20,1046816.2127251376
2026-03-23,1049427.2600407049
2026-03-24,1047650.7726647859
2026-03-25,1050111.8557497296
2026-03-26,1047582.3097760683
2026-03-27,1046795.471120555
2026-03-30,1045585.0652002204
2026-03-31,1052404.3607736845
2026-04-01,1051311.6415588092
2026-04-02,1051788.9885351015
2026-04-06,1052087.139362303
2026-04-07,1049205.2169904034
2026-04-08,1056202.5555827909
2026-04-09,1054591.6215219053
2026-04-10,1055177.3104032662
2026-04-13,1056051.3142060325
2026-04-14,1059330.7063445929
2026-04-15,1062027.4501244358
2026-04-16,1062394.3296326739
2026-04-17,1067312.9006170724
2026-04-20,1067023.0143884986
2026-04-21,1066292.2053873022
2026-04-22,1065722.1459033322
2026-04-23,1080617.2774448707
2026-04-24,1067186.6277826547
2026-04-27,1069565.5990846846
2026-04-28,1071292.738848082
2026-04-29,1075359.6259192901
2026-04-30,1065198.3682104421
2026-05-01,1073604.7321142014
2026-05-04,1074870.7653502258
2026-05-05,1073795.0265829149
2026-05-06,1067254.2973032352
2026-05-07,1072762.07935517
2026-05-08,1068692.2883679094
2026-05-11,1062942.087158173
2026-05-12,1070622.9677306556
2026-05-13,1064524.644140797
2026-05-14,1065921.994172939
2026-05-15,1071381.7660469858
2026-05-18,1081035.18312956
2026-05-19,1079724.215907231
2026-05-20,1079598.3706867911
2026-05-21,1079874.8163185702
2026-05-22,1077160.7640582423
2026-05-26,1079692.0448870927
2026-05-27,1079325.3091756226
2026-05-28,1075446.330221584
2026-05-29,1081835.4359802434
2026-06-01,1083295.0488164718
2026-06-02,1080995.1803825398
2026-06-03,1086999.5784729845
2026-06-04,1082001.035544912
2026-06-05,1097294.4136281363
2026-06-08,1092208.93895074
2026-06-09,1088232.9441094303
2026-06-10,1092880.6409086152
2026-06-11,1086983.5659864661
2026-06-12,1089969.4156366466
2026-06-15,1090377.396938594
2026-06-16,1104463.435814632
2026-06-17,1100080.3220471747
2026-06-18,1094064.531979449
2026-06-22,1099818.243068466
2026-06-23,1102461.143073937
2026-06-24,1098357.9036672749
2026-06-25,1083313.347001737
2026-06-26,1091152.4528815725
2026-06-29,1097834.7961204725
2026-06-30,1090366.9507291445
2026-07-01,1116105.3867880497
2026-07-02,1115837.63527829
2026-07-06,1115858.226952659
2026-07-07,1124861.8150015043
2026-07-08,1109234.2854266858
2026-07-09,1111839.9114875211
2026-07-10,1119382.1415190147
2026-07-13,1107594.4754866976
