symbol,borrow_fee_annual,net_sale_rebate_annual,shares_available,net_financing_annual,source_endpoint,borrow_fee_annual_final,shares_available_final,borrow_source
PBRG,,,,,,,,studio_missing
PDDL,,,,,,,,studio_missing
PLOO,,,,,,,,studio_missing
PLTA,,,,,,,,studio_missing
PLTG,,,,,,,,studio_missing
PLTU,,,,,,,,studio_missing
PLTW,,,,,,,,studio_missing
PLTY,,,,,,,,studio_missing
PLUL,,,,,,,,studio_missing
PLYY,,,,,,,,studio_missing
PONX,,,,,,,,studio_missing
PTIR,,,,,,,,studio_missing
PYPG,,,,,,,,studio_missing
PYPU,,,,,,,,studio_missing
PYPY,,,,,,,,studio_missing
QBTX,,,,,,,,studio_missing
QBY,,,,,,,,studio_missing
QCML,,,,,,,,studio_missing
QCMU,,,,,,,,studio_missing
QID,,,,,,,,studio_missing
QQQX,,,,,,,,studio_missing
QUBX,,,,,,,,studio_missing
QYLD,,,,,,,,studio_missing
QYLG,,,,,,,,studio_missing
RBLU,,,,,,,,studio_missing
RBLY,,,,,,,,studio_missing
RCAX,,,,,,,,studio_missing
RDTL,,,,,,,,studio_missing
RDWU,,,,,,,,studio_missing
RDYY,,,,,,,,studio_missing
REW,,,,,,,,studio_missing
RGTU,,,,,,,,studio_missing
RGYY,,,,,,,,studio_missing
RKTL,,,,,,,,studio_missing
ROBN,,,,,,,,studio_missing
RTXG,,,,,,,,studio_missing
RTYY,,,,,,,,studio_missing
RVNL,,,,,,,,studio_missing
RYLD,,,,,,,,studio_missing
SATG,,,,,,,,studio_missing
SBTU,,,,,,,,studio_missing
SBU,,,,,,,,studio_missing
SCO,,,,,,,,studio_missing
SDOW,,,,,,,,studio_missing
SDS,,,,,,,,studio_missing
SEMY,,,,,,,,studio_missing
SHPU,,,,,,,,studio_missing
SKF,,,,,,,,studio_missing
SMCL,,,,,,,,studio_missing
SMCY,,,,,,,,studio_missing
SMU,,,,,,,,studio_missing
SMUP,,,,,,,,studio_missing
SMYY,,,,,,,,studio_missing
SMZ,,,,,,,,studio_missing
SNAG,,,,,,,,studio_missing
SNDU,,,,,,,,studio_missing
SNOU,,,,,,,,studio_missing
SNOY,,,,,,,,studio_missing
SNPX,,,,,,,,studio_missing
SNXX,,,,,,,,studio_missing
SOFA,,,,,,,,studio_missing
SOLT,,,,,,,,studio_missing
SOLX,,,,,,,,studio_missing
SOXL,,,,,,,,studio_missing
SOXS,,,,,,,,studio_missing
SPOG,,,,,,,,studio_missing
SPXS,,,,,,,,studio_missing
SPXU,,,,,,,,studio_missing
SPYI,,,,,,,,studio_missing
SQQQ,,,,,,,,studio_missing
SRPU,,,,,,,,studio_missing
TARK,,,,,,,,studio_missing
TBT,,,,,,,,studio_missing
TBX,,,,,,,,studio_missing
TECS,,,,,,,,studio_missing
TEMT,,,,,,,,studio_missing
TERG,,,,,,,,studio_missing
TMV,,,,,,,,studio_missing
TOPW,,,,,,,,studio_missing
TQQY,,,,,,,,studio_missing
TSLG,,,,,,,,studio_missing
TSLI,,,,,,,,studio_missing
TSLL,,,,,,,,studio_missing
TSLO,,,,,,,,studio_missing
TSLQ,,,,,,,,studio_missing
TSLR,,,,,,,,studio_missing
TSLT,,,,,,,,studio_missing
TSLW,,,,,,,,studio_missing
TSLY,,,,,,,,studio_missing
TSMG,,,,,,,,studio_missing
TSMU,,,,,,,,studio_missing
TSMX,,,,,,,,studio_missing
TSMY,,,,,,,,studio_missing
TSXD,,,,,,,,studio_missing
TSYW,,,,,,,,studio_missing
